ticker,rd_expense,market_cap,analyst_rating,patent_activity,news_sentiment,revenue_growth,Tot.Ret.Idx.Gross,Last.Price,Volume,Number.of.Employees,GM,Volatil.360D,BEst.Target.Px,Rec.Consensus,Tot.Analyst.Rec,Percent.Change.in.Institutional.Holdings,Shrt.Int,industry,Earnings.Conference.Call.Date,rd_intensity,rd_intensity_log,rd_intensity_score,analyst_sentiment_score,patent_activity_log,patent_activity_score,news_sentiment_score,growth_momentum_score,DAII_3.5_Score,innovation_quartile
0170016D US,1713.626,111818663296.5,3.9559012750624998,452,0,7.4481073355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,#N/A N/A,#N/A N/A,1.532504458094016e-8,1.532504444926565e-8,0.09750797537789149,79.11802550125,6.115892125483034,29.005414061353747,73.80936067525212,23.903940494424695,33.305133490012004,Q2
035420 KS,1857936,40200000000000,4.470588207,452,0,11.03417451,256500,256500,1408642,NA,NA,40.09288,322324,4.470588207,34,69.36867976,NA,Media & Entertainment,#N/A N/A,4.621731343283582e-8,4.621731246380667e-8,0.29406482837112585,89.41176413999999,6.115892125483034,29.005414061353747,73.80936067525212,27.270722057785402,40.95238295847723,Q2
ABBV US,12791,418000000000,4.272727489,53175,0,3.711476858,236.775,235.56,1162405,55000,69.99325452,27.59024421,246.4516144,4.272727489,33,15.05601106,18891139,"Pharmaceuticals, Biotechnology",#N/A N/A,3.060047846889952e-8,3.060047790524908e-8,0.19470029310614612,85.45454978000001,10.881362445721418,100.00000000000001,73.80936067525212,20.39580247342046,87.30171338370113,Q4
AIEQ US,1713.626,113697998,0,452,0,7.4481073355,43.73,44.01,1287,NA,NA,22.22169486,NA,0,0,-4.304487084,36,#N/A N/A,#N/A N/A,1.5071734156655951e-5,1.5071620579268995e-5,95.89552664682186,0,6.115892125483034,29.005414061353747,73.80936067525212,23.903940494424695,70.96447033185522,Q4
AMAT US,3570,185000000000,4.116279125,452,0.106781477,4.386223138,231.68,231.28,1560477,36500,48.67456289,47.80869677,242.3027802,4.116279125,43,13.73138947,17115618,Semiconductors & Semiconductor,#N/A N/A,1.9297297297297298e-8,1.9297297129452938e-8,0.12278204996976164,82.32558250000001,6.115892125483034,29.005414061353747,100,21.029288469333782,41.57701898822787,Q3
ANET US,996.717,156000000000,4.571428776,452,0,19.50418486,124.02,125.84,1524487,4412,64.13264838,54.55498737,163.6324005,4.571428776,28,13.47959154,12518459,Technology Hardware & Equipmen,#N/A N/A,6.389211538461538e-9,6.3892115838186596e-9,0.0406523509841423,91.42857552000001,6.115892125483034,29.005414061353747,73.80936067525212,35.22279693542078,45.384770406970596,Q3
APH US,453,164000000000,4.300000191,269.1,0,21.2510056,134.33,136.065,1086665,125000,33.76339283,35.62482545,148.3157959,4.300000191,20,23.9261019,9434248,Technology Hardware & Equipmen,1/28/2026,2.7621951219512194e-9,2.762195135468247e-9,0.017574895534549367,86.00000381999999,5.59879226079857,20.964286386480705,73.80936067525212,36.86280075457626,37.054688812597306,Q2
ARES US,1713.626,46365436647,4.105263233,452,0,4.615722324,141.52,142.175,201136,3200,NA,39.02358457,184.5882416,4.105263233,19,33.75997881,6191029,Financial Services,#N/A N/A,3.695912567472558e-8,3.695912507686158e-8,0.23515817327079394,82.10526465999999,6.115892125483034,29.005414061353747,73.80936067525212,21.244753933485004,34.0045212923827,Q2
ASAN US,341.467,2830238162,3.133333445,452,0,10.93817049,11.98,12.165,811481,1819,89.33615702,70.66699947,16.10769272,3.133333445,15,54.26792771,14334482,Software & Services,12/2/2025,1.2064956390761858e-7,1.2064955661685642e-7,0.767651541559717,62.666668900000005,6.115892125483034,29.005414061353747,73.80936067525212,27.18058861944857,25.73078082513859,Q1
BABA US,57151,382000000000,4.840000153,452,-0.007304744,5.862821515,160.13,160.435,2451277,124320,39.95214519,46.62626311,201.7665863,4.840000153,50,-0.892945676,41333243,Consumer Discretionary Distrib,11/25/2025,1.4960994764397905e-7,1.496099363501952e-7,0.951916455330202,96.80000306000001,6.115892125483034,29.005414061353747,72.01770241355177,22.415593842396152,43.19042541684109,Q3
