"ticker","rd_expense","market_cap","analyst_rating","patent_activity","news_sentiment","revenue_growth","Tot.Ret.Idx.Gross","Last.Price","Volume","Number.of.Employees","GM","Volatil.360D","BEst.Target.Px","Rec.Consensus","Tot.Analyst.Rec","Percent.Change.in.Institutional.Holdings","Shrt.Int","industry","Earnings.Conference.Call.Date","rd_intensity","rd_intensity_log","rd_intensity_score","analyst_sentiment_score","patent_activity_log","patent_activity_score","news_sentiment_score","growth_momentum_score","DAII_3.5_Score","innovation_quartile"
"0170016D US",1713.626,111818663296.5,3.9559012750625,452,0,7.4481073355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"#N/A N/A","#N/A N/A",0.0000000153250445809402,0.0000000153250444492657,0.0975079753778915,79.11802550125,6.11589212548303,29.0054140613537,73.8093606752521,23.9039404944247,33.305133490012,"Q2"
"035420 KS",1857936,40200000000000,4.470588207,452,0,11.03417451,256500,256500,1408642,NA,NA,40.09288,322324,4.470588207,34,69.36867976,NA,"Media & Entertainment","#N/A N/A",0.0000000462173134328358,0.0000000462173124638067,0.294064828371126,89.41176414,6.11589212548303,29.0054140613537,73.8093606752521,27.2707220577854,40.9523829584772,"Q2"
"ABBV US",12791,418000000000,4.272727489,53175,0,3.711476858,236.775,235.56,1162405,55000,69.99325452,27.59024421,246.4516144,4.272727489,33,15.05601106,18891139,"Pharmaceuticals, Biotechnology","#N/A N/A",0.0000000306004784688995,0.0000000306004779052491,0.194700293106146,85.45454978,10.8813624457214,100,73.8093606752521,20.3958024734205,87.3017133837011,"Q4"
"AIEQ US",1713.626,113697998,0,452,0,7.4481073355,43.73,44.01,1287,NA,NA,22.22169486,NA,0,0,-4.304487084,36,"#N/A N/A","#N/A N/A",0.000015071734156656,0.000015071620579269,95.8955266468219,0,6.11589212548303,29.0054140613537,73.8093606752521,23.9039404944247,70.9644703318552,"Q4"
"AMAT US",3570,185000000000,4.116279125,452,0.106781477,4.386223138,231.68,231.28,1560477,36500,48.67456289,47.80869677,242.3027802,4.116279125,43,13.73138947,17115618,"Semiconductors & Semiconductor","#N/A N/A",0.0000000192972972972973,0.0000000192972971294529,0.122782049969762,82.3255825,6.11589212548303,29.0054140613537,100,21.0292884693338,41.5770189882279,"Q3"
"ANET US",996.717,156000000000,4.571428776,452,0,19.50418486,124.02,125.84,1524487,4412,64.13264838,54.55498737,163.6324005,4.571428776,28,13.47959154,12518459,"Technology Hardware & Equipmen","#N/A N/A",0.00000000638921153846154,0.00000000638921158381866,0.0406523509841423,91.42857552,6.11589212548303,29.0054140613537,73.8093606752521,35.2227969354208,45.3847704069706,"Q3"
"APH US",453,164000000000,4.300000191,269.1,0,21.2510056,134.33,136.065,1086665,125000,33.76339283,35.62482545,148.3157959,4.300000191,20,23.9261019,9434248,"Technology Hardware & Equipmen","1/28/2026",0.00000000276219512195122,0.00000000276219513546825,0.0175748955345494,86.00000382,5.59879226079857,20.9642863864807,73.8093606752521,36.8628007545763,37.0546888125973,"Q2"
"ARES US",1713.626,46365436647,4.105263233,452,0,4.615722324,141.52,142.175,201136,3200,NA,39.02358457,184.5882416,4.105263233,19,33.75997881,6191029,"Financial Services","#N/A N/A",0.0000000369591256747256,0.0000000369591250768616,0.235158173270794,82.10526466,6.11589212548303,29.0054140613537,73.8093606752521,21.244753933485,34.0045212923827,"Q2"
"ASAN US",341.467,2830238162,3.133333445,452,0,10.93817049,11.98,12.165,811481,1819,89.33615702,70.66699947,16.10769272,3.133333445,15,54.26792771,14334482,"Software & Services","12/2/2025",0.000000120649563907619,0.000000120649556616856,0.767651541559717,62.6666689,6.11589212548303,29.0054140613537,73.8093606752521,27.1805886194486,25.7307808251386,"Q1"
"BABA US",57151,382000000000,4.840000153,452,-0.007304744,5.862821515,160.13,160.435,2451277,124320,39.95214519,46.62626311,201.7665863,4.840000153,50,-0.892945676,41333243,"Consumer Discretionary Distrib","11/25/2025",0.000000149609947643979,0.000000149609936350195,0.951916455330202,96.80000306,6.11589212548303,29.0054140613537,72.0177024135518,22.4155938423962,43.1904254168411,"Q3"
