"ticker","anomaly_score","anomaly_rank","is_anomaly","ai_profile","ai_score_phase2","innovation_score","ai_rd_efficiency","ai_patent_momentum","industry"
"SYN130",0.767939618291869,1,TRUE,"AI Leader",100,54.9,181883922.4,0.045798031,"Consumer"
"SYN012",0.742430305958398,2,TRUE,"AI Leader",86.2,26.1,1011262782,0.004032095,"Healthcare"
"SYN146",0.689647824437905,3,TRUE,"AI Follower",31.6,28.6,5920848.746,11000,"Consumer"
"SYN069",0.601600445280829,4,TRUE,"AI Adopter",65.9,38.2,7973218.331,17.48750892,"Technology"
"SYN025",0.597372542427861,5,TRUE,"AI Leader",84.1,42.2,11458964.39,0.147314852,"Technology"
"SYN134",0.577856650115647,6,TRUE,"AI Adopter",57.6,11.8,79436905.94,0.063543025,"Industrials"
"SYN190",0.574689344009591,7,TRUE,"AI Adopter",62.4,57.9,4674648.316,1.900669366,"Consumer"
NA,0.572154821758041,8,TRUE,"AI Leader",100,40,75.52046784,0.999941524,"Unknown"
"SYN013",0.556644674503936,9,TRUE,"AI Adopter",52.9,35.4,32841757.43,46.53465347,"Healthcare"
"SYN153",0.542744618097539,10,TRUE,"AI Adopter",53.6,14.6,105121821.2,0.946870068,"Technology"
"SYN131",0.534609461364565,11,FALSE,"AI Follower",32.8,37.5,158601.0418,44.92512479,"Industrials"
"SYN003",0.532964977148885,12,FALSE,"AI Adopter",68.2,34.8,87871739.55,0.067301221,"Technology"
"SYN021",0.52081031079519,13,FALSE,"AI Adopter",52.9,24.4,17347249.15,0.872946592,"Consumer"
"SYN127",0.516684760118452,14,FALSE,"AI Adopter",60,59,1341150.174,1.166615499,"Healthcare"
"SYN032",0.505123748194691,15,FALSE,"AI Follower",34.2,27.1,80193578.83,0.031494823,"Energy"
"SYN017",0.504965470270952,16,FALSE,"AI Adopter",53.6,43.4,13619093.39,0.308930531,"Financials"
"SYN150",0.501413982170825,17,FALSE,"AI Follower",43,33.6,10966275.53,1.01220784,"Financials"
"SYN095",0.495884474786968,18,FALSE,"AI Follower",41.1,26.6,36295290.5,0.352541504,"Financials"
"SYN074",0.478248653160639,19,FALSE,"AI Follower",42.2,16.5,75131494.82,0.090576428,"Industrials"
"SYN088",0.477227401326804,20,FALSE,"AI Follower",39.9,30.7,7230368.712,2.838251895,"Financials"
"SYN187",0.47014670505439,21,FALSE,"AI Follower",31,23.7,38434862.47,0.368768172,"Financials"
"SYN079",0.469936580682429,22,FALSE,"AI Adopter",61.8,41.5,9851468.844,3.035172291,"Technology"
"SYN152",0.465292321476454,23,FALSE,"AI Follower",38.2,25.8,72840284.63,0.108565225,"Consumer"
"SYN154",0.463492298180965,24,FALSE,"AI Laggard",16.6,35.8,966797.3073,14.93614659,"Financials"
"SYN085",0.461897502391364,25,FALSE,"AI Follower",47.3,17.5,35375752.18,0.657808183,"Industrials"
"SYN043",0.458007280878674,26,FALSE,"AI Follower",31.2,34.7,4237802.344,8.288213244,"Financials"
"SYN196",0.456718090031058,27,FALSE,"AI Laggard",24,45.7,5520657.2,1.418773886,"Energy"
"SYN033",0.456071507401827,28,FALSE,"AI Laggard",22.9,27,1257604.838,28.71410737,"Consumer"
"SYN105",0.453185137875764,29,FALSE,"AI Follower",40.8,57.8,6399448.322,1.149955771,"Consumer"
"SYN188",0.45016130046544,30,FALSE,"AI Follower",43.8,52.3,129659.5232,5.671986157,"Healthcare"
"SYN089",0.449807591882841,31,FALSE,"AI Follower",37.4,55.2,5406771.178,1.556729731,"Financials"
"SYN037",0.449297246721704,32,FALSE,"AI Follower",41.1,28.8,8646035.282,7.097634122,"Industrials"
"SYN143",0.448021361781112,33,FALSE,"AI Follower",34.8,60.4,3711761.937,9.545307965,"Energy"
"SYN133",0.447204394427807,34,FALSE,"AI Follower",48.2,47.9,3722805.048,7.86635096,"Technology"
"SYN145",0.446074418346143,35,FALSE,"AI Follower",38.1,26.9,6801017.946,0,"Consumer"
"SYN147",0.441923982773014,36,FALSE,"AI Follower",48.5,54.5,12455729.68,1.454413235,"Energy"
"SYN160",0.441634473933808,37,FALSE,"AI Follower",37.2,28.8,56061032.87,0.078064012,"Financials"
"SYN068",0.441543706353349,38,FALSE,"AI Laggard",18.6,3.7,27696882.32,0.051093026,"Energy"
"SYN004",0.441168401818132,39,FALSE,"AI Follower",36.7,34,8244674.254,26.67617689,"Healthcare"
"SYN099",0.438358003268832,40,FALSE,"AI Follower",36.3,39.5,5095499.651,5.033614894,"Industrials"
"SYN141",0.437704259165503,41,FALSE,"AI Follower",45,29.5,19818034.55,0.529072536,"Industrials"
"SYN174",0.435911347947105,42,FALSE,"AI Laggard",27.1,41.3,40732.01521,3.917271607,"Consumer"
"SYN138",0.434815228382748,43,FALSE,"AI Follower",44.4,43.8,4043109.988,2.396496157,"Technology"
"SYN163",0.434715507882012,44,FALSE,"AI Laggard",21.4,32.7,2488698.479,16.23985009,"Energy"
"SYN116",0.434549273632744,45,FALSE,"AI Follower",40.2,12.3,49077544.92,0.181088103,"Industrials"
"SYN023",0.431975066430599,46,FALSE,"AI Follower",34.9,38.6,7395453.614,3.627063474,"Energy"
"SYN100",0.431667699816285,47,FALSE,"AI Follower",48,59.5,828097.4766,0.955446731,"Industrials"
"SYN083",0.431597839287415,48,FALSE,"AI Adopter",58.9,42.7,8318289.762,0.975844829,"Technology"
"SYN117",0.430451894735961,49,FALSE,"AI Follower",44.1,35.8,1064952.062,12.08170361,"Technology"
"SYN178",0.429853733946114,50,FALSE,"AI Follower",47.7,56.2,2725354.652,3.604493272,"Healthcare"
"SYN062",0.428619429290945,51,FALSE,"AI Adopter",58,51.9,6325642.572,1.402218263,"Technology"
"SYN164",0.428392127947593,52,FALSE,"AI Laggard",15.6,34.1,1379017.823,0.949963463,"Energy"
"SYN157",0.427787036599852,53,FALSE,"AI Adopter",62.9,51.2,1026845.936,0.696328084,"Technology"
"SYN045",0.426290049383196,54,FALSE,"AI Adopter",57.8,42.2,93803.46898,0.470568464,"Technology"
"SYN102",0.425090817530386,55,FALSE,"AI Follower",47.8,22.2,14411723.97,1.63611574,"Healthcare"
"SYN192",0.422981931680511,56,FALSE,"AI Laggard",23,43,3713935.745,9.60371296,"Consumer"
"SYN030",0.422192504886174,57,FALSE,"AI Laggard",19.2,32.8,4874144.492,7.872539831,"Financials"
"SYN035",0.415720800136306,58,FALSE,"AI Follower",45.5,15.3,42449698.74,0.548713572,"Healthcare"
"SYN050",0.414876516697712,59,FALSE,"AI Laggard",23.8,10.9,39009155.16,0.228328478,"Financials"
"SYN014",0.413057293281499,60,FALSE,"AI Follower",44.9,51.5,1281874.865,5.977451606,"Healthcare"
"SYN053",0.412056765550756,61,FALSE,"AI Laggard",28.9,24.1,20707553.12,1.05734973,"Financials"
"SYN028",0.41191649261125,62,FALSE,"AI Laggard",27.3,47,2912621.131,4.01432622,"Energy"
"SYN135",0.411045463279721,63,FALSE,"AI Laggard",24,34,5334768.472,13.04576539,"Consumer"
"SYN097",0.40849141733744,64,FALSE,"AI Laggard",29.3,29.1,1316060.848,4.282942844,"Industrials"
"SYN110",0.408312599683184,65,FALSE,"AI Follower",47.5,30.3,15291667.53,0.284867159,"Industrials"
"SYN022",0.407290054441216,66,FALSE,"AI Laggard",18.2,4.8,586945.7104,0.390873557,"Energy"
"SYN077",0.402352713356773,67,FALSE,"AI Follower",46.7,15.4,7196282.218,5.995388163,"Technology"
"SYN020",0.40211356933451,68,FALSE,"AI Laggard",20.4,27.7,602135.5064,3.149212697,"Consumer"
"SYN093",0.402098332819489,69,FALSE,"AI Laggard",18.5,15.8,19595294.28,0.612837329,"Financials"
"SYN029",0.400836834045204,70,FALSE,"AI Follower",37.8,29.5,41075928.8,0.118954686,"Consumer"
"SYN076",0.400154048058709,71,FALSE,"AI Follower",32.4,21.9,25649919.95,0.07783965,"Consumer"
"SYN159",0.399882230794274,72,FALSE,"AI Laggard",24.4,35,5630068.396,2.663102663,"Energy"
"SYN118",0.399680352550077,73,FALSE,"AI Laggard",26.8,25.2,17535756.29,0.338117334,"Consumer"
"SYN104",0.39879240251889,74,FALSE,"AI Follower",40.5,52.6,2143032.188,8.962426749,"Industrials"
"SYN180",0.398663717271293,75,FALSE,"AI Follower",37.2,21.6,2821344.678,11.24297314,"Healthcare"
"SYN027",0.39797961070953,76,FALSE,"AI Laggard",18.1,8.4,13351139.08,0.60354923,"Financials"
"SYN016",0.397942434130415,77,FALSE,"AI Follower",32.2,31.8,7775285.287,1.069518717,"Consumer"
"SYN072",0.397630366393013,78,FALSE,"AI Laggard",18.5,28.3,4947057.95,3.135415381,"Financials"
