Start Date,1/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000660 KS Equity,005380 KS Equity,005930 KS Equity,0170016D US Corp,035420 KS Equity,035720 KS Equity,051910 KS Equity,207940 KS Equity,6501 JT Equity,7974 JP Equity,8TRA GR Equity,9984 JT Equity,AAPL US Equity,ABBV US Equity,ABT US Equity,ADBE US Equity,AFRM US Equity,ALIZF US Equity,AMAT US Equity,AMD US Equity,AMT US Equity,AMZN US Equity,ANET US Equity,ANT US Equity,APD US Equity,APH US Equity,APO US Equity,ARES US Equity,ASAN US Equity,ASML US Equity,AVGO US Equity,AXP US Equity,AZN US Equity,BA US Equity,BABA US Equity,BAC US Equity,BAM US Equity,BIDU US Equity,BILI US Equity,BILL US Equity,BIO US Equity,BLK US Equity,BP US Equity,BRK/B US Equity,BX US Equity,BYDDF US Equity,CAJPY US Equity,CAT US Equity,CBOE US Equity,USU1718RAD09 Corp,CME US Equity,COIN US Equity,CRM US Equity,CRWD US Equity,CSCO US Equity,USU1268FAB41 Corp,CVX US Equity,DDOG US Equity,DE US Equity,DIS US Equity,DOCU US Equity,DUK US Equity,EADSY US Equity,FANUY US Equity,FRCOY US Equity,FSLY US Equity,GE US Equity,GOOGL US Equity,GRAB US Equity,GS US Equity,HD US Equity,HDB US Equity,HMC US Equity,HOOD US Equity,HSBC US Equity,HTHIY US Equity,HUBS US Equity,IBM US Equity,IBN US Equity,ICE US Equity,INF US Equity,INFY US Equity,INTC US Equity,IQ US Equity,ITOCY US Equity,J US Equity,BL484563 Corp,JBL US Equity,JD US Equity,JNJ US Equity,JPM US Equity,KAOCF US Equity,KKR US Equity,KO US Equity,KSPI US Equity,KUASF US Equity,KYCCF US Equity,LI US Equity,LIN US Equity,LLY US Equity,LMT US Equity,BL458894@BVAL Corp,LRCX US Equity,MA US Equity,MARUY US Equity,MBFJF US Equity,MC US Equity,MCD US Equity,MCO US Equity,MELI US Equity,META US Equity,MFG US Equity,MITEY US Equity,MITSY US Equity,MKTX US Equity,MMM US Equity,MPNGF US Equity,MQ US Equity,MRAAY US Equity,MRK US Equity,MS US Equity,MSBHF US Equity,MSCI US Equity,MSFT US Equity,MU US Equity,NDAQ US Equity,NEE US Equity,NET US Equity,NFLX US Equity,NIO US Equity,NJDCY US Equity,NOW US Equity,NSRGY US Equity,NTES US Equity,NTRS US Equity,NU US Equity,NVDA US Equity,NVO US Equity,NVS US Equity,OKTA US Equity,OR US Equity,ORCL US Equity,PAGS US Equity,BBG000C31ZH2 Equity,PANW US Equity,PCOR US Equity,PDD US Equity,PFE US Equity,PG US Equity,PYPL US Equity,QCOM US Equity,BBG003TCRRN1 Equity,RELIANCE IN Equity,RHHBY US Equity,RKUNY US Equity,RMSG US Equity,RTX US Equity,SAIL US Equity,SAP GR Equity,SAP US Equity,SE US Equity,SFTBF US Equity,SHEL US Equity,SHOP US Equity,SIEGY US Equity,SMCAY US Equity,SMCI US Equity,SMFG US Equity,SNOW US Equity,SNPS US Equity,SNY US Equity,SNYFX US Equity,SOFI US Equity,SONY US Equity,SPGI US Equity,SPOT US Equity,SQM US Equity,SSDOY US Equity,STNE US Equity,STT US Equity,SUMCF US Equity,SVNDY US Equity,T US Equity,TAK US Equity,TCEHY US Equity,TCOM US Equity,TEAM US Equity,TKPHF US Equity,TM US Equity,TME US Equity,TMO US Equity,TOST US Equity,TSLA US Equity,TSM US Equity,TTDKY US Equity,TTE US Equity,TW US Equity,TWLO US Equity,TXN US Equity,UL US Equity,UNH US Equity,UPS US Equity,V US Equity,BL4727162 Corp,VIRT US Equity,VZ US Equity,WB US Equity,BBG000GPXKX9 Equity,WDAY US Equity,WMT US Equity,WORK US Equity,XIACF US Equity,XOM US Equity,XPEV US Equity,YNDX19 US Equity,ZM US Equity,ZS US Equity
,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price,Last Price
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
1/30/2016,27300,133000,23000,#N/A Invalid Security,125600,21860,295500,#N/A N/A,586.4,1665.5,#N/A N/A,658.1,24.335,54.9,37.85,89.13,#N/A N/A,160.375,17.65,2.2,94.34,29.35,3.7519,#N/A N/A,117.1439,12.3925,13.58,11.76,#N/A N/A,91.84,13.371,53.5,64.52,120.13,67.03,14.14,#N/A N/A,163.27,#N/A N/A,#N/A N/A,127.61,314.26,32.37,129.77,26.27,1.5067,28.01,62.24,66.62,#N/A N/A,89.85,#N/A N/A,68.06,#N/A N/A,23.79,#N/A N/A,86.47,#N/A N/A,77.01,95.82,#N/A N/A,75.3,15.7,13.3545,10.8,#N/A N/A,139.2681,38.068,#N/A N/A,161.56,125.76,15.0825,27.02,#N/A N/A,35.4,4.929,40.59,119.1949,6.0455,52.76,10.46,8.955,31.02,#N/A N/A,2.33,32.421,#N/A N/A,19.91,26.03,104.44,59.5,#N/A N/A,13.63,42.92,#N/A N/A,#N/A N/A,117.2525,#N/A N/A,100,79.1,211,#N/A N/A,7.179,89.03,47.652,5.2,25.44,123.78,89.14,98.24,112.21,3.29,19.89,113.88,116.23,126.247,#N/A N/A,#N/A N/A,6.7556,48.3152,25.88,5.2667,68.84,55.09,11.03,20.6667,27.9275,#N/A N/A,9.184,#N/A N/A,4.265,12.44,73.74,31.228,62.08,#N/A N/A,0.7323,27.935,64.9819,#N/A N/A,10,36.31,#N/A N/A,33.55,24.915,#N/A N/A,#N/A N/A,28.903,81.69,36.14,45.34,13.63,233.6,32.42,10.64,#N/A N/A,51.721,#N/A N/A,73.45,79.8,#N/A N/A,5.5,43.93,2.322,47.96,11.3,2.978,6.58,#N/A N/A,42.9,41.64,#N/A N/A,#N/A N/A,4.6573,85.02,#N/A N/A,16.1147,20.166,#N/A N/A,55.73,7.15,14.8733,27.2172,24.22,18.74,42.68,20.77,46.73,120.03,#N/A N/A,132.06,#N/A N/A,12.7467,22.35,3.746,43.81,#N/A N/A,#N/A N/A,52.93,47.3305,115.16,93.2,74.49,#N/A N/A,22.7,49.97,15.22,122.84,63.01,22.12,#N/A N/A,#N/A N/A,77.85,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/29/2016,30000,147500,23560,,114400,18980,300000,#N/A N/A,477.9,1581.5,#N/A N/A,696.8,24.1725,54.61,38.74,85.15,#N/A N/A,148.95,18.87,2.14,92.2,27.626,4.2838,#N/A N/A,122.469,13.2675,15.55,11.9,#N/A N/A,91.02,13.397,55.58,56.54,118.18,68.81,12.52,#N/A N/A,173.42,#N/A N/A,#N/A N/A,134.64,311.96,29.09,134.17,25.97,1.6583,28.2,67.7,62.5,#N/A N/A,91.44,#N/A N/A,67.75,#N/A N/A,26.18,#N/A N/A,83.44,#N/A N/A,80.18,95.52,#N/A N/A,74.28,16.07,14.688,9.2333,#N/A N/A,139.4596,35.861,#N/A N/A,149.53,124.12,13.205,25.71,#N/A N/A,31.77,4.213,41.66,125.1551,5.1545,47.692,9.94,8.41,29.59,#N/A N/A,2.356,31.9417,#N/A N/A,20.85,25.71,105.21,56.3,50,12.84,43.13,#N/A N/A,#N/A N/A,129.0175,#N/A N/A,101.79,72,215.79,#N/A N/A,7.33,86.92,50.48,4.355,24.72,117.19,88.8,101.76,106.92,2.93,18.6,115.75,118.46,131.155,#N/A N/A,#N/A N/A,6.7244,47.8765,24.7,5.4767,70.52,50.88,10.63,21.0967,28.205,#N/A N/A,9.341,#N/A N/A,4.185,11,69.86,26.922,59.38,#N/A N/A,0.784,25.7,59.2646,#N/A N/A,10.34,36.78,#N/A N/A,27.66,24.132,#N/A N/A,#N/A N/A,28.1256,80.29,38.14,50.79,14.05,218.09,32.05,9.43,#N/A N/A,56.988,#N/A N/A,69.293,75.34,#N/A N/A,6.1563,45.48,2.238,46.3,11.7,3.247,5.55,#N/A N/A,44.75,39.55,#N/A N/A,#N/A N/A,4.119,89.74,#N/A N/A,17.5643,21.85,#N/A N/A,54.78,5.66,13.2933,27.889,23.89,18.35,40.92,23.77,48.04,104.1,#N/A N/A,129.19,#N/A N/A,12.7953,23.55,3.4673,43.74,#N/A N/A,#N/A N/A,53.02,45.7802,119.1,96.55,72.39,#N/A N/A,22.31,50.73,14.36,127.69,60.45,22.1133,#N/A N/A,#N/A N/A,80.15,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
3/31/2016,28150,152500,26240,,127400,19840,327500,#N/A N/A,526.6,1600,#N/A N/A,670.8,27.2475,57.12,41.83,93.8,#N/A N/A,163.445,21.18,2.85,102.37,29.682,3.9438,#N/A N/A,133.1748,14.455,17.12,15.4,#N/A N/A,100.39,15.45,61.4,56.1,126.94,79.03,13.52,#N/A N/A,190.88,#N/A N/A,#N/A N/A,136.72,340.57,30.18,141.88,28.05,1.9133,29.82,76.54,65.33,#N/A N/A,96.05,#N/A N/A,73.83,#N/A N/A,28.47,#N/A N/A,95.4,#N/A N/A,76.99,99.31,#N/A N/A,80.68,16.55,15.501,10.7287,#N/A N/A,152.1421,38.145,#N/A N/A,156.98,133.43,15.4075,27.34,#N/A N/A,31.12,4.688,43.62,144.6596,6.5091,47.028,11.35,9.51,32.35,#N/A N/A,2.4561,35.9912,#N/A N/A,19.27,26.5,108.2,59.22,50,14.69,46.39,#N/A N/A,#N/A N/A,136.5,#N/A N/A,114.45,72.01,221.5,#N/A N/A,8.26,94.5,50.76,4.6738,28.23,125.68,96.56,117.85,114.1,2.94,18.51,114.97,124.83,139.315,#N/A N/A,#N/A N/A,6.7111,50.4511,25.01,5.6433,74.08,55.23,10.47,22.1267,29.585,#N/A N/A,10.223,#N/A N/A,4.2875,12.24,74.61,28.716,65.17,#N/A N/A,0.8908,27.095,60.373,#N/A N/A,10.6767,40.91,#N/A N/A,27.04,27.19,#N/A N/A,#N/A N/A,28.0972,82.31,38.6,51.14,14.92,235.82,30.625,9.77,#N/A N/A,59.04,#N/A N/A,70.683,80.42,#N/A N/A,5.9887,48.45,2.821,52.9,11.73,3.408,6.01,#N/A N/A,48.44,40.16,#N/A N/A,#N/A N/A,5.0162,98.98,#N/A N/A,20.404,22.4,#N/A N/A,58.52,5.66,14.2067,29.5646,22.82,20.44,44.26,25.15,47,106.32,#N/A N/A,141.59,#N/A N/A,15.318,26.2,3.71,45.99,#N/A N/A,#N/A N/A,57.42,48.3034,128.9,105.47,76.48,#N/A N/A,22.11,54.08,17.95,148.75,76.84,22.83,#N/A N/A,#N/A N/A,83.59,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
4/30/2016,28150,143500,24900,,135400,20100,297000,#N/A N/A,515.6,1515.5,#N/A N/A,748.5,23.435,61,38.9,94.22,#N/A N/A,171.9,20.47,3.55,104.88,32.98,4.1638,#N/A N/A,134.8759,13.9575,16.91,14.51,#N/A N/A,96.6,14.575,65.43,57.95,134.8,76.94,14.56,#N/A N/A,194.3,#N/A N/A,#N/A N/A,141.85,356.33,33.58,145.48,27.44,1.9567,27.93,77.72,61.96,#N/A N/A,91.91,#N/A N/A,75.8,#N/A N/A,27.49,#N/A N/A,102.18,#N/A N/A,84.11,103.26,#N/A N/A,78.78,15.37,14.736,8.6933,#N/A N/A,147.1648,35.394,#N/A N/A,164.11,133.89,15.7175,26.96,#N/A N/A,33.33,4.5335,44.29,139.3966,6.4091,48.006,12.14,9.4,30.28,#N/A N/A,2.502,36.8424,#N/A N/A,17.36,25.56,112.08,63.2,53.7,13.6,44.8,#N/A N/A,#N/A N/A,150.75,#N/A N/A,117.46,75.53,232.38,#N/A N/A,7.64,96.99,51.8,4.84,28.11,126.49,95.72,124.89,117.58,2.96,19.06,120.648,122.76,139.942,#N/A N/A,#N/A N/A,7.3556,52.2914,27.06,5.8967,75.94,49.87,10.75,20.57,29.395,#N/A N/A,9.003,#N/A N/A,4.5275,14.3,74.57,28.14,71.08,#N/A N/A,0.8883,27.895,63.315,#N/A N/A,13.36,39.86,#N/A N/A,20.74,25.145,#N/A N/A,#N/A N/A,31.0074,80.12,39.18,50.52,14.55,221.71,31.57,10.76,#N/A N/A,61.559,#N/A N/A,68.579,78.62,#N/A N/A,6.6829,52.89,3.185,52.39,12.24,2.691,6.09,#N/A N/A,47.52,41.1,#N/A N/A,#N/A N/A,4.7002,106.85,#N/A N/A,20.682,22.34,#N/A N/A,62.3,5.66,13.6667,29.3004,23.96,20.3,43.61,23.17,49.63,101.7,#N/A N/A,144.25,#N/A N/A,16.0507,23.59,3.8453,50.4,#N/A N/A,#N/A N/A,57.04,47.9613,131.68,105.07,77.24,#N/A N/A,20.85,50.94,24.47,154.68,74.98,22.29,#N/A N/A,#N/A N/A,88.4,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
5/31/2016,28700,139500,25840,,144000,20560,271000,#N/A N/A,512,1645,#N/A N/A,778.5,24.965,62.93,39.63,99.47,#N/A N/A,161.87,24.42,4.57,105.78,36.14,4.5806,#N/A N/A,131.8713,14.68,16.42,14.1,#N/A N/A,99.98,15.436,65.76,58.535,126.15,82,14.79,#N/A N/A,178.54,#N/A N/A,#N/A N/A,148.85,363.85,31.4,140.54,26.19,1.935,28.85,72.51,63.65,#N/A N/A,97.89,#N/A N/A,83.71,#N/A N/A,29.05,#N/A N/A,101,#N/A N/A,82.29,99.22,#N/A N/A,78.23,15.48,15.216,8.9233,#N/A N/A,144.6761,37.443,#N/A N/A,159.48,132.12,16.09,27.98,#N/A N/A,32.44,4.589,47.76,146.8469,6.5364,54.224,12.38,9.72,31.59,#N/A N/A,2.479,41.8919,#N/A N/A,19.08,24.61,112.69,65.27,53.7,13.51,44.6,#N/A N/A,#N/A N/A,159.1925,#N/A N/A,109.86,75.03,236.23,#N/A N/A,8.281,95.9,47.64,4.605,26.66,122.06,98.64,136.5,118.81,3.1,19.15,120.305,139.94,140.728,#N/A N/A,#N/A N/A,6.4444,53.6454,27.37,5.64,79.79,53,12.72,22.0033,30.03,#N/A N/A,10.257,#N/A N/A,4.775,14.33,73.9,35.568,74.1,#N/A N/A,1.168,28.02,66.2653,#N/A N/A,11.86,40.2,#N/A N/A,18.99,21.743,#N/A N/A,#N/A N/A,32.8938,81.04,37.79,54.92,14.45,216.11,32.88,10.48,#N/A N/A,59.324,#N/A N/A,72.807,81.07,#N/A N/A,6.9813,48.49,2.929,53.9275,12.54,2.624,6.4,#N/A N/A,51.67,41.2,#N/A N/A,#N/A N/A,5.4335,111.81,#N/A N/A,21.8039,26.26,#N/A N/A,63.06,6.35,14.18,29.5495,21.57,22.3,45.76,22.57,43.6399,103.41,#N/A N/A,151.77,#N/A N/A,14.882,24.72,3.9353,49.18,#N/A N/A,#N/A N/A,60.6,48.7097,133.67,103.09,78.94,#N/A N/A,17.81,50.9,26.59,148.89,75.84,23.5933,#N/A N/A,#N/A N/A,89.02,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
6/30/2016,32400,135500,28500,,142000,18620,260000,#N/A N/A,423.9,1458.5,#N/A N/A,723.6,23.9,61.91,39.31,95.79,#N/A N/A,144.46,23.97,5.14,113.61,35.781,4.0238,#N/A N/A,131.3165,14.3325,15.15,14.09,#N/A N/A,99.21,15.54,60.76,59.69,129.87,79.53,13.27,#N/A N/A,165.15,#N/A N/A,#N/A N/A,143.02,342.53,35.51,144.79,24.54,1.9967,28.61,75.81,66.62,#N/A N/A,97.4,#N/A N/A,79.41,#N/A N/A,28.69,#N/A N/A,104.83,#N/A N/A,81.04,97.82,#N/A N/A,85.79,14.42,16.188,8.912,#N/A N/A,150.6585,35.177,#N/A N/A,148.58,127.69,16.5875,25.33,#N/A N/A,31.31,4.156,43.42,144.9748,6.5273,51.192,13.16,8.925,32.8,#N/A N/A,2.418,41.1647,#N/A N/A,18.47,21.23,121.3,62.14,57.5,12.34,45.33,#N/A N/A,#N/A N/A,168.975,#N/A N/A,112.39,78.75,248.17,#N/A N/A,8.406,88.06,44.58,4.25,22.5,120.34,93.71,140.67,114.28,2.85,18.265,118.385,145.4,146.413,#N/A N/A,#N/A N/A,6.2022,54.9326,25.98,5.64,77.12,51.17,13.76,21.5567,32.6,#N/A N/A,9.148,#N/A N/A,4.7,13.28,77.31,38.644,66.26,#N/A N/A,1.1752,26.89,68.7656,#N/A N/A,13.04,40.93,#N/A N/A,18.66,20.44,#N/A N/A,#N/A N/A,33.3773,84.67,36.51,53.57,13.71,218.66,32.95,10.755,#N/A N/A,60.485,#N/A N/A,67.513,75.02,#N/A N/A,7.0463,55.22,3.076,51.295,12.11,2.485,5.72,#N/A N/A,54.08,41.85,#N/A N/A,#N/A N/A,5.7241,107.26,#N/A N/A,24.5443,25.749,#N/A N/A,53.92,6.35,13.9,32.6139,21.54,22.97,41.2,25.9,43.51,99.99,#N/A N/A,147.76,#N/A N/A,14.152,26.23,3.7173,47.37,#N/A N/A,36.5,62.65,51.2221,141.2,107.72,74.17,#N/A N/A,18,55.84,28.41,143.13,74.67,24.34,#N/A N/A,#N/A N/A,93.74,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
7/30/2016,34400,132000,30780,,142000,18180,243500,#N/A N/A,476.5,2150.5,#N/A N/A,712.9,26.0525,66.23,44.75,97.86,#N/A N/A,142.45,26.29,6.86,115.77,37.941,4.4544,#N/A N/A,138.1394,14.88,17.15,17.35,#N/A N/A,109.62,16.198,64.46,66.65,133.66,82.48,14.49,#N/A N/A,159.6,#N/A N/A,#N/A N/A,145.09,366.25,34.4,144.27,26.84,2.1383,28.27,82.76,68.8,#N/A N/A,102.24,#N/A N/A,81.8,#N/A N/A,30.53,#N/A N/A,102.48,#N/A N/A,77.71,95.95,#N/A N/A,85.59,14.61,16.674,10.6633,#N/A N/A,149.0313,39.567,#N/A N/A,158.81,138.24,17.3175,27.12,#N/A N/A,32.75,4.55,54.59,153.4184,6.8909,52.84,13.81,8.215,34.86,#N/A N/A,2.252,44.2307,#N/A N/A,20.35,21.65,125.23,63.97,57.5,14.44,43.63,#N/A N/A,#N/A N/A,176.9125,#N/A N/A,116.54,82.89,252.73,#N/A N/A,8.977,95.24,46.3011,5.08,24.89,117.65,106.01,153.08,123.94,3.19,18.62,117.01,161.66,149.122,#N/A N/A,#N/A N/A,6.8311,55.9338,28.73,5.63,86.04,56.68,13.74,23.5867,32.0725,#N/A N/A,9.125,#N/A N/A,5.6725,14.98,80.23,40.854,67.59,#N/A N/A,1.4275,28.485,69.3907,#N/A N/A,13.28,41.04,#N/A N/A,20.63,21.815,#N/A N/A,#N/A N/A,34.9698,85.59,37.24,62.58,13.68,228.98,32.09,11.37,#N/A N/A,63.494,#N/A N/A,78.06,87.39,#N/A N/A,6.865,51.79,3.427,54.271,13.07,2.155,6.36,#N/A N/A,54.16,42.63,#N/A N/A,#N/A N/A,6.516,122.2,#N/A N/A,24.6039,27.96,#N/A N/A,65.78,7.45,13.8267,32.6743,22.67,24.2,43.67,29.97,47.6,111.6,#N/A N/A,158.84,#N/A N/A,15.6527,27.78,4.196,46.85,#N/A N/A,40.63,69.75,50.0461,143.2,108.1,78.05,#N/A N/A,17.2,55.41,32.54,151.68,83.34,24.3233,#N/A N/A,#N/A N/A,88.95,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
8/31/2016,36450,133000,32400,,169000,16260,270500,#N/A N/A,496,2267.5,#N/A N/A,844.5,26.525,64.1,42.02,102.31,#N/A N/A,147.55,29.84,7.4,113.38,38.458,4.98,#N/A N/A,143.8713,15.5775,18.62,18.28,#N/A N/A,106.55,17.642,65.58,64.49,129.45,97.19,16.14,#N/A N/A,171.07,#N/A N/A,#N/A N/A,148.81,372.81,33.86,150.49,27.42,2.3333,28.63,81.95,68.69,#N/A N/A,108.35,#N/A N/A,79.42,#N/A N/A,31.44,#N/A N/A,100.58,#N/A N/A,84.55,94.46,#N/A N/A,79.66,14.515,17.037,11.7267,#N/A N/A,149.5099,39.493,#N/A N/A,169.46,134.12,17.9125,30.81,#N/A N/A,37.2,4.787,55.74,151.7565,6.9727,56.404,13.43,7.93,35.89,#N/A N/A,2.3485,43.5448,#N/A N/A,21.19,25.41,119.34,67.5,54.2,14.99,43.43,#N/A N/A,#N/A N/A,176.75,#N/A N/A,122.04,77.75,242.97,#N/A N/A,9.332,96.63,49.962,5.01,26.95,115.66,108.69,172,126.12,3.47,18.885,132.358,168.54,149.858,#N/A N/A,#N/A N/A,7.4411,59.8719,32.06,6.3367,90.12,57.46,16.49,23.7367,30.235,#N/A N/A,9.745,#N/A N/A,5.6113,14.53,79.5,42.394,70.59,#N/A N/A,1.5335,23.36,65.6486,#N/A N/A,11.29,41.22,#N/A N/A,24.27,22.195,#N/A N/A,#N/A N/A,32.9886,87.31,37.15,63.07,13.8,239.15,30.55,12.72,#N/A N/A,62.774,#N/A N/A,78.6,87.97,#N/A N/A,8.185,48.9,4.136,59.7875,14.04,2.163,6.95,#N/A N/A,59.29,38.47,#N/A N/A,#N/A N/A,6.2722,123.54,#N/A N/A,25.3188,25.195,#N/A N/A,70.24,7.75,13.9833,30.8552,22.07,25.89,47.35,29.48,43.6,120.63,#N/A N/A,152.19,#N/A N/A,14.134,28.74,4.7867,47.4,#N/A N/A,53.62,69.54,49.6719,136.05,109.22,80.9,#N/A N/A,16.31,52.33,47.77,164.2,84.79,23.8133,#N/A N/A,#N/A N/A,87.14,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
