"ticker","market_cap","volatility","total_return","rd_expense","patent_activity","rd_intensity","revenue_growth","industry","innovation_score","innovation_quartile","innovation_label","n_obs","first_date","last_date","n_funds","total_fund_weight","total_position_value","avg_dumac_allocation","latest_holdings_date","fund_names","in_portfolio","multiplier","ai_score","ai_quartile","ai_label","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","discovery_quality_weight","discovery_ai_weight","discovery_balanced_weight","discovery_tier","innovation_rank","ai_rank","combined_rank","anomaly_score","is_anomaly","strategic_profile"
"005930 KS",71666147320,0.205712056705423,0.05268333,35021531,0,0.000488676066869113,0.1619531118,"Technology Hardware & Equipmen",0.7,3,"Strong",200,"2019-01-01","2019-10-07",3,0.06712694742,11685562.9556,0.013157895,"12/31/2024","Direct: Emerging Markets (Blackwell); Tree Line Asia Fund; Maso Capital Partners Limited (Blackwell - Series A)",TRUE,1.2,0.84,4,"AI Leader",0,0.0609343306648217,0.0407364788760394,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.120075698612961,FALSE,"Balanced Performer"
"005930 KS",71666147320,0.205712056705423,0.05268333,35021531,0,0.000488676066869113,0.1619531118,"Technology Hardware & Equipmen",0.7,3,"Strong",200,"2019-01-01","2019-10-07",3,0.06712694742,11685562.9556,0.013157895,"12/31/2024","Direct: Emerging Markets (Blackwell); Tree Line Asia Fund; Maso Capital Partners Limited (Blackwell - Series A)",TRUE,1.2,0.84,4,"AI Leader",0,0.0609343306648217,0.0407364788760394,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.160145032558861,FALSE,"AI Pioneer"
"6501 JT",33647113273,0.268974358184044,0.32663842,259400,0,0.00000770942808363161,0.00561780198,"Capital Goods",0.4,1,"Emerging",200,"2019-01-01","2019-10-07",8,0.030555539999865,3707553.6567982,0.013157895,"12/31/2024","The Children's Investment Fund; Direct: Japan Basket Swap; Axon Partners (Offshore), Ltd. (fka TPG-Axon Partners (Offshore), Ltd; Bridgewater Pure Alpha Fund II, Ltd.; Farallon Capital Institutional Partners, L.P.; Polygon Recovery Fund L.P.; QVT Overseas Ltd.; MXWD Index",TRUE,0.9,0.36,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.266105872968371,FALSE,"Underperformer"
"8TRA GR",85325483612,0.254847390313987,-0.0528091401999999,2471,1684,0.0000000289596952211412,0.01282215395,"Capital Goods",0.525,1,"Emerging",200,"2019-01-01","2019-10-07",1,0.000082425,-1513463.7884,0.013157895,"12/31/2024","Permian Investment Partners (Blackwell - Series E)",TRUE,0.9,0.4725,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.203696291121724,FALSE,"Underperformer"
"9984 JT",46085304332,0.257394923547645,0.00447302800000005,507590,549725,0.0000110141401333342,0.07211603641,"Telecommunication Services",0.775,4,"Leader",200,"2019-01-01","2019-10-07",8,0.026364357999866,3102748.8432689,0.013157895,"12/31/2024","The Children's Investment Fund; Direct: Japan Basket Swap; Axon Partners (Offshore), Ltd. (fka TPG-Axon Partners (Offshore), Ltd; Bridgewater Pure Alpha Fund II, Ltd.; Farallon Capital Institutional Partners, L.P.; Polygon Recovery Fund L.P.; QVT Overseas Ltd.; MXWD Index",TRUE,1,0.775,3,"AI Adopter",0,0,0.0159994034291792,0,0,0,"Not in Discovery Universe",NA,NA,NA,1,TRUE,"Balanced Performer"
"ADBE US",24795072745,0.25483079380185,-0.2370728011,3944,114,0.000000159063860814658,0.1079911381,"Software & Services",0.625,2,"Developing",200,"2019-01-01","2019-10-07",2,0.00534153,688306.2326,0.013157895,"12/31/2024","Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1.4,0.875,4,"AI Leader",0,0.00484876145550884,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.0847190092244115,FALSE,"AI Focused (Low Innovation)"
"ADBE US",24795072745,0.25483079380185,-0.2370728011,3944,114,0.000000159063860814658,0.1079911381,"Software & Services",0.625,2,"Developing",200,"2019-01-01","2019-10-07",2,0.00534153,688306.2326,0.013157895,"12/31/2024","Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1.4,0.875,4,"AI Leader",0,0.00484876145550884,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.0847190092244115,FALSE,"AI Focused (Low Innovation)"
"AIEQ US",106000000000,0.285786362342957,0.233226389,3180000000,0,0.03,0.05,"Unknown",0.525,1,"Emerging",200,"2019-01-01","2019-10-07",0,0,0,NA,NA,"",TRUE,1,0.525,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.309845618126112,FALSE,"Underperformer"
"AIQ US",33429808881,0.27414682562256,0.388836182,1002894266.43,0,0.03,0.05,"Unknown",0.525,1,"Emerging",200,"2019-01-01","2019-10-07",0,0,0,NA,NA,"",TRUE,1,0.525,1,"AI Laggard",0,0,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.178017289187169,FALSE,"Underperformer"
"AMD US",48696379091,0.237753311714383,0.0539233400000001,6456,689,0.000000132576592356806,0.1369047619,"Semiconductors & Semiconductor",0.625,2,"Developing",200,"2019-01-01","2019-10-07",2,0.003114136,411357.32566,0.013157895,"12/31/2024","Bridgewater Pure Alpha Fund II, Ltd.; Numerai GP LLC (Blackwell - Series A)",TRUE,1.5,0.9375,4,"AI Leader",0,0.00282684972358341,0,0,0,0,"Not in Discovery Universe",NA,NA,NA,0.0618923180376628,FALSE,"AI Focused (Low Innovation)"
