ticker,ai_score,innovation_score,ai_quartile,innovation_quartile,ai_label,innovation_label,in_portfolio
000660 KS,0.7125,0.475,3,1,AI Adopter,Emerging,TRUE
005380 KS,0.55,0.5,2,1,AI Follower,Emerging,FALSE
005930 KS,0.66,0.55,2,2,AI Follower,Developing,TRUE
0170016D US,NA,NA,NA,NA,AI Laggard,Emerging,FALSE
035420 KS,0.715,0.55,3,2,AI Adopter,Developing,FALSE
035720 KS,0.585,0.45,2,1,AI Follower,Emerging,FALSE
051910 KS,0.32,0.4,1,1,AI Laggard,Emerging,FALSE
207940 KS,0.6,0.5,2,1,AI Follower,Emerging,FALSE
6501 JT,0.2925,0.325,1,1,AI Laggard,Emerging,TRUE
7974 JP,0.4875,0.375,1,1,AI Laggard,Emerging,TRUE
8TRA GR,0.6075,0.675,2,3,AI Follower,Strong,TRUE
9984 JT,0.6,0.6,2,2,AI Follower,Developing,TRUE
AAPL US,0.57,0.475,2,1,AI Follower,Emerging,TRUE
ABBV US,0.84,0.7,4,3,AI Leader,Strong,TRUE
ABT US,0.525,0.525,1,1,AI Laggard,Emerging,TRUE
ADBE US,0.945,0.675,4,3,AI Leader,Strong,TRUE
AFRM US,0.5,0.625,1,2,AI Laggard,Developing,TRUE
ALIZF US,0.675,0.675,3,3,AI Adopter,Strong,FALSE
AMAT US,0.5625,0.375,2,1,AI Follower,Emerging,FALSE
AMD US,0.975,0.65,4,3,AI Leader,Strong,TRUE
AMT US,0.575,0.575,2,2,AI Follower,Developing,TRUE
AMZN US,0.475,0.475,1,1,AI Laggard,Emerging,TRUE
ANET US,0.48,0.4,1,1,AI Laggard,Emerging,TRUE
ANT US,0.725,0.725,3,4,AI Adopter,Leader,FALSE
APD US,0.4,0.5,1,1,AI Laggard,Emerging,TRUE
APH US,0.81,0.675,4,3,AI Leader,Strong,TRUE
APO US,0.42,0.525,1,1,AI Laggard,Emerging,TRUE
ARES US,0.46,0.575,1,2,AI Laggard,Developing,TRUE
ASAN US,0.7,0.5,3,1,AI Adopter,Emerging,TRUE
ASML US,0.7875,0.525,3,1,AI Adopter,Emerging,TRUE
AVGO US,0.9375,0.625,4,2,AI Leader,Developing,TRUE
AXP US,0.54,0.675,2,3,AI Follower,Strong,TRUE
AZN US,0.78,0.65,3,3,AI Adopter,Strong,TRUE
BA US,0.4725,0.525,1,1,AI Laggard,Emerging,TRUE
BABA US,0.5,0.5,1,1,AI Laggard,Emerging,TRUE
BAC US,0.675,0.675,3,3,AI Adopter,Strong,TRUE
BAM US,0.4,0.5,1,1,AI Laggard,Emerging,TRUE
BIDU US,0.8775,0.675,4,3,AI Leader,Strong,FALSE
BILI US,0.9425,0.725,4,4,AI Leader,Leader,TRUE
BILL US,0.7,0.5,3,1,AI Adopter,Emerging,TRUE
BIO US,0.63,0.525,2,1,AI Follower,Emerging,TRUE
BLK US,0.58,0.725,2,4,AI Follower,Leader,TRUE
BP US,0.245,0.35,1,1,AI Laggard,Emerging,TRUE
BRK/B US,0.5,0.625,1,2,AI Laggard,Developing,FALSE
BX US,0.54,0.675,1,3,AI Laggard,Strong,TRUE
BYDDF US,0.9075,0.825,4,4,AI Leader,Leader,FALSE
