"ticker","RepNo","CompanyName","ISIN","CUSIP","RIC","Exchange","Country","ReportingCCY","TRBC_Code","TRBC_Industry","SIC_Code","SIC_Industry","NAICS_Code","NAICS_Industry","rd_expense","revenue","fiscal_year_end","total_net_exposure_usd","total_net_pct_ltp","n_funds","in_portfolio","market_cap","pe_ratio_fy","beta_5y","volatility_30d","volatility_90d","volatility_260d","price_1d_pct_change","sharpe_3y","sharpe_5y","eps_trend_vol_5y","revenue_trend_vol_5y","fcf_trend_vol_5y","search_name","total_patents","ai_patents","computer_vision","natural_language","robotics","last_updated","rd_intensity","fund_weight","patent_activity","revenue_growth","total_return","volatility","bloomberg_volatility","total_return_5yr","rd_quartile","patent_quartile","growth_quartile","volatility_quartile","innovation_score","innovation_quartile","innovation_label","holdings_n_funds","holdings_total_weight","holdings_total_value","total_fund_weight","total_position_value","industry","multiplier","ai_score","ai_quartile","ai_label","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","discovery_quality_weight","discovery_ai_weight","discovery_tier","innovation_rank","ai_rank","combined_rank","strategic_profile","ai_exposure","innovation_exposure","anomaly_score","is_anomaly"
"AAPL","05680","Apple Inc","US0378331005","037833100","AAPL.O","NASDAQ","USA","USD",5710602011,"Phones & Smart Phones",3663,"Radio/tv Communications Equip",334220,"Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing",34550,416161,"2025-09-27",19444123.2474902,0.00135462515805723,0,FALSE,3717137,34.0149688720703,1.12161004543304,0.25223510527462,0.237937441104627,0.322832644634442,1.07948005199432,0.00141000002622604,0.097170002758503,5.22372007369995,3.67776989936829,5.15466022491455,"Apple",451,185,64,23,24,"2026-03-18",0.00929478789724457,0.0000135462515805723,451,0.0685513687320054,0.1,0.322832644634442,NA,NA,1,2,3,2,0.475,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.475,1,"AI Laggard",0,0,0,0,0,"Tier 2: Strong Candidates",16,16,16,"Underperformer","Low","Low",0.309087950645261,FALSE
"AMD","0147N","Advanced Micro Devices Inc","US0079031078","007903107","AMD.O","NASDAQ","USA","USD",5710101010,"Semiconductors (NEC)",3674,"Semiconductors/related Devices",334413,"Semiconductor and Related Device Manufacturing",8091,34639,"2025-12-27",628188.857234581,0.000043764402189285,0,FALSE,320506.1875,75.3350372314453,2.01333999633789,0.514487788685215,0.606148909145525,0.637198337237309,1.64952003955841,0.0531099997460842,0.124860003590584,65.7759780883789,9.84169006347656,13.7037801742554,"Advanced Micro Devices",121,21,6,5,4,"2026-03-18",0.0252444424337362,0.00000043764402189285,121,-0.0729452723637223,0.1,0.637198337237309,NA,NA,4,1,1,1,0.475,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.475,1,"AI Laggard",0,0,0,0,0,"Tier 2: Strong Candidates",16,16,16,"Underperformer","Low","Low",0.495183897060075,FALSE
"AMZN","A13EF","Amazon.com Inc","US0231351067","023135106","AMZN.O","NASDAQ","USA","USD",5340201013,"Internet & Mail Order Department Stores",5999,"Misc Retail Stores, Nec",459999,"All Other Miscellaneous Retailers",108521,716924,"2025-12-31",60409057.8241686,0.00420855332285117,0,FALSE,2273012,29.5160293579102,1.40375995635986,0.251281928523228,0.282722334158034,0.351113773274464,1.9598400592804,0.0738100036978722,-0.00595000013709068,48.3595008850098,1.03366994857788,NA,"Amazon.com",593,66,22,16,8,"2026-03-18",0.047743258724547,0.0000420855332285117,593,0.12457518260926,0.1,0.351113773274464,NA,NA,4,3,4,2,0.825,4,"Leader",NA,0,NA,0,0,"Unknown",1,0.825,4,"AI Leader",0,0,0,0,0.2,"Tier 1: Top 10 Opportunities",3,3,3,"AI Pioneer","High","High",0.414323766123715,FALSE
"BAC","A1CD8","Bank of America Corp","US0605051046","060505104","BAC","New York Stock Exchange","USA","USD",5510101010,"Banks (NEC)",6029,"Commercial Banks, Nec",522110,"Commercial Banking",10132.040625,50660.203125,"2025-12-31",350234.037713454,0.000024399960474221,0,FALSE,337734.6875,12.4406499862671,1.26814997196198,0.278361848899014,0.249225891821568,0.281085981314364,0.727739989757538,0.0244699995964766,-0.0619499981403351,10.7703304290771,NA,NA,"Bank of America",294,45,15,12,3,"2026-03-18",0.0204699490080929,0.00000024399960474221,294,-0.0717112422920764,0.1,0.281085981314364,NA,NA,2,1,1,3,0.425,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.425,1,"AI Laggard",0,0,0,0,0,"Tier 2: Strong Candidates",18,18,18,"Underperformer","Low","Low",0.20677150684917,FALSE
"DIS","9569N","Walt Disney Co","US2546871060","254687106","DIS","New York Stock Exchange","USA","USD",5330202010,"Broadcasting (NEC)",4833,"Television Broadcasting Stations",516120,"Television Broadcasting Stations",5243.34609375,94425,"2025-09-27",-361745.851750968,-0.000025201960786171,0,FALSE,174778.203125,14.4045000076294,1.44641995429993,0.202707557095174,0.288363309182614,0.322112712490015,-0.634500026702881,-0.0778900012373924,-0.219539999961853,33.5709609985352,5.19362020492554,10.5482196807861,"Walt Disney Co",960,357,134,73,47,"2026-03-18",0.0204699490080929,0.05,960,-0.0154432244598866,0.1,0.322112712490015,NA,NA,2,4,2,2,0.65,3,"Strong",NA,0,NA,0,0,"Unknown",1,0.65,3,"AI Adopter",0,0,0,0,0,"Tier 1: Top 10 Opportunities",9,9,9,"Balanced Performer","Medium","Medium",0.106690797694302,FALSE
"GOOGL","A997D","Alphabet Inc","US02079K3059","02079K305","GOOGL.O","NASDAQ","USA","USD",5720103011,"Search Engines",7375,"Information Retrieval Services",519290,"Web Search Portals and All Other Information Services",58687,402836,"2025-12-31",110506241.879905,0.00769870327746453,0,FALSE,3690160,28.27419090271,1.11222994327545,0.226956932396342,0.206312810117088,0.298051363357888,1.08509004116058,0.117880001664162,0.181500002741814,10.2899198532104,3.70668005943298,15.0210695266724,"Alphabet",943,447,160,121,87,"2026-03-18",0.0159036464543543,0.0000769870327746453,943,0.1198481653817,0.1,0.298051363357888,NA,NA,2,4,4,2,0.75,3,"Strong",NA,0,NA,0,0,"Unknown",1,0.75,3,"AI Adopter",0,0,0,0,0,"Tier 1: Top 10 Opportunities",7,7,7,"Balanced Performer","Medium","Medium",0.361889812020533,FALSE
"HD","4366N","Home Depot Inc","US4370761029","437076102","HD","New York Stock Exchange","USA","USD",5340302010,"Home Improvement Products & Services Retailers (NEC)",5211,"Lumber/other Building Materials",444110,"Home Centers",10231.269375,164683,"2026-02-01",-956952.918975078,-0.000066668601233395,0,FALSE,341042.3125,24.0793304443359,1.06610000133514,0.231991857457083,0.225038284583141,0.234995650349545,1.04709994792938,-0.0749899968504906,-0.115070000290871,5.50374984741211,2.34077000617981,3.23532009124756,"Home Depot",522,167,33,31,16,"2026-03-18",0.0204699490080929,0.05,522,0.0927925793454051,0.1,0.234995650349545,NA,NA,2,2,3,4,0.65,3,"Strong",NA,0,NA,0,0,"Unknown",1,0.65,3,"AI Adopter",0,0,0,0,0,"Tier 1: Top 10 Opportunities",8,8,8,"Balanced Performer","Medium","Medium",0.071464935228986,FALSE
"INTC","45870","Intel Corp","US4581401001","458140100","INTC.O","NASDAQ","USA","USD",5710101010,"Semiconductors (NEC)",3674,"Semiconductors/related Devices",334413,"Semiconductor and Related Device Manufacturing",13774,52853,"2025-12-27",-2794009.40099156,-0.000194651894469971,0,FALSE,228571.203125,29.4175844192505,1.35882997512817,0.513122987385387,0.717249606790338,0.668788870329732,-0.021849999204278,0.0304300002753735,-0.0608999989926815,NA,5.76231002807617,NA,"Intel",150,51,9,7,9,"2026-03-18",0.0602613094374243,0.05,150,-0.0362120581790805,0.1,0.668788870329732,NA,NA,4,1,2,1,0.525,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.525,2,"AI Follower",0,0,0,0,0,"Tier 2: Strong Candidates",14,14,14,"Underperformer","Low","Low",0.863438685754585,TRUE
"JNJ","A2BE9","Johnson & Johnson","US4781601046","478160104","JNJ","New York Stock Exchange","USA","USD",5620104010,"Pharmaceuticals (NEC)",2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",14665,94193,"2025-12-28",-1369354.10179108,-0.000095399596729799,0,FALSE,585750.625,21.2489490509033,0.332080006599426,0.153206411504801,0.152544085152643,0.193793236090687,0.691449999809265,-0.0095600001513958,-0.0356899984180927,17.8791694641113,4.61719989776611,4.53591012954712,"Johnson & Johnson",727,130,42,25,12,"2026-03-18",0.0250362515618315,0.05,727,-0.0401684019714594,0.1,0.193793236090687,NA,NA,3,3,2,4,0.75,3,"Strong",NA,0,NA,0,0,"Unknown",1,0.75,3,"AI Adopter",0,0,0,0,0,"Tier 1: Top 10 Opportunities",5.5,5.5,5.5,"Balanced Performer","Medium","Medium",0.224787044458406,FALSE
"JPM","A2827","JPMorgan Chase & Co","US46625H1005","46625H100","JPM","New York Stock Exchange","USA","USD",5510101010,"Banks (NEC)",6211,"Security Brokers And Dealers",523150,"Investment Banking and Securities Intermediation",23153.484375,115767.421875,"2025-12-31",898855.204287607,0.000062621073610805,0,FALSE,771782.8125,14.2948904037476,1.06606996059418,0.218778641613474,0.244132072580546,0.266103469391486,0.959640026092529,0.096840001642704,0.0636499971151352,8.54561996459961,NA,NA,"JPMorgan Chase & Co",910,286,93,84,22,"2026-03-18",0.0204699490080929,0.00000062621073610805,910,0.0997091521508992,0.1,0.266103469391486,NA,NA,2,4,3,3,0.75,4,"Leader",NA,0,NA,0,0,"Unknown",1,0.75,4,"AI Leader",0,0,0,0.227272727272727,0.181818181818182,"Tier 1: Top 10 Opportunities",5.5,5.5,5.5,"AI Pioneer","High","High",0,FALSE
"MA","A286F","Mastercard Inc","US57636Q1040","57636Q104","MA","New York Stock Exchange","USA","USD",5720103015,"Internet Security & Transactions Services",6099,"Funcions Related To Deposit Banks",522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",13604.5978125,32791,"2025-12-31",-478686.607416675,-0.000033348941115944,0,FALSE,453486.59375,30.7790603637695,0.833899974822998,0.2753536978808,0.239385675898762,0.249367782727767,2.11048007011414,-0.0425000004470348,-0.0400799997150898,3.97696995735168,2.53645992279053,3.70666003227234,"Mastercard",978,168,63,33,10,"2026-03-18",0.0204699490080929,0.05,978,0.27622595122084,0.1,0.249367782727767,NA,NA,3,4,4,4,0.925,4,"Leader",NA,0,NA,0,0,"Unknown",1,0.925,4,"AI Leader",0,0,0,0.28030303030303,0.224242424242424,"Tier 1: Top 10 Opportunities",1,1,1,"AI Pioneer","High","High",0.715888486257392,FALSE
"META","CA3C0","Meta Platforms Inc","US30303M1027","30303M102","META.O","NASDAQ","USA","USD",5720103012,"Social Media & Networking",7375,"Information Retrieval Services",519290,"Web Search Portals and All Other Information Services",57372,200966,"2025-12-31",47141910.6874894,0.00328426318859108,0,FALSE,1587170,21.6821002960205,1.27997004985809,0.270270750878684,0.344584605394804,0.399413988082141,2.23884010314941,0.116559997200966,0.0975499972701073,21.0907001495361,4.7909197807312,44.4488182067871,"Meta Platforms",320,90,30,14,8,"2026-03-18",0.0361473566158635,0.0000328426318859108,320,0.0336925306357443,0.1,0.399413988082141,NA,NA,4,1,3,2,0.625,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.625,2,"AI Follower",0,0,0,0,0,"Tier 2: Strong Candidates",11,11,11,"Underperformer","Low","Low",0.159112948382229,FALSE
"MSFT","57840","Microsoft Corp","US5949181045","594918104","MSFT.O","NASDAQ","USA","USD",5720102010,"Software (NEC)",7372,"Prepackaged Software",513210,"Software Publishers",32488,281724,"2025-06-30",90956066.0769195,0.0063366896937158,0,FALSE,2969880,29.3191394805908,1.09206998348236,0.215821903450241,0.310469340209989,0.268020585740759,1.112380027771,-0.0360100008547306,0.0285000000149012,4.51577997207642,1.70519995689392,4.90464019775391,"Microsoft",921,209,29,32,21,"2026-03-18",0.0109391625250852,0.000063366896937158,921,-0.0246262681670487,0.1,0.268020585740759,NA,NA,1,4,2,3,0.625,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.625,2,"AI Follower",0,0,0,0,0,"Tier 2: Strong Candidates",11,11,11,"Underperformer","Low","Low",0.205379545094333,FALSE
"NVDA","A1D8D","NVIDIA Corp","US67066G1040","67066G104","NVDA.O","NASDAQ","USA","USD",5710101010,"Semiconductors (NEC)",3571,"Electronic Computers",334111,"Electronic Computer Manufacturing",18497,215938,"2026-01-25",50881375.2297434,0.00354478266185939,0,FALSE,4452246,37.4078712463379,2.35302996635437,0.353184242189121,0.343621637076826,0.44849978576531,1.64770996570587,0.205400004982948,0.3785600066185,34.1165504455566,17.7117691040039,28.8874206542969,"NVIDIA",483,71,13,15,5,"2026-03-18",0.00415453234165408,0.0000354478266185939,483,0.00788647131994366,0.1,0.44849978576531,NA,NA,1,2,2,1,0.375,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.375,1,"AI Laggard",0,0,0,0,0,"Tier 2: Strong Candidates",20,20,20,"Underperformer","Low","Low",0.654662478434404,FALSE
"PFE","A249A","Pfizer Inc","US7170811035","717081103","PFE","New York Stock Exchange","USA","USD",5620104010,"Pharmaceuticals (NEC)",2834,"Pharmaceutical Preparations",325412,"Pharmaceutical Preparation Manufacturing",10247,62579,"2025-12-31",-2047541.02304501,-0.000142647243419888,0,FALSE,151367.203125,19.625919342041,0.417890012264252,0.185583374952301,0.206123357971516,0.264837733957094,0.112870000302792,-0.167500004172325,-0.185149997472763,64.6797866821289,20.4579200744629,33.4694595336914,"Pfizer",820,143,23,33,14,"2026-03-18",0.0676963026894139,0.05,820,0.112297631241381,0.1,0.264837733957094,NA,NA,4,3,3,3,0.825,4,"Leader",NA,0,NA,0,0,"Unknown",1,0.825,4,"AI Leader",0,0,0,0.25,0.2,"Tier 1: Top 10 Opportunities",2,2,2,"AI Pioneer","High","High",0.493478875564542,FALSE
"PG","7280N","Procter & Gamble Co","US7427181091","742718109","PG","New York Stock Exchange","USA","USD",5420102010,"Personal Products (NEC)",2841,"Soap And Other Detergents",325611,"Soap and Other Detergent Manufacturing",2100,84284,"2025-06-30",619836.515393845,0.000043182514683114,0,FALSE,353527,23.3746700286865,0.366380006074905,0.234173159252099,0.196141910907298,0.192442299399406,0.975769996643066,-0.120140001177788,-0.116499997675419,1.80535995960236,1.1791900396347,4.16693019866943,"Procter & Gamble Co",563,221,74,37,12,"2026-03-18",0.00594014035703072,0.00000043182514683114,563,-0.0914199085906148,0.1,0.192442299399406,NA,NA,1,2,1,4,0.475,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.475,2,"AI Follower",0,0,0,0,0,"Tier 2: Strong Candidates",16,16,16,"Underperformer","Low","Low",0.36808595109931,FALSE
"TSLA","C8279","Tesla Inc","US88160R1014","88160R101","TSLA.O","NASDAQ","USA","USD",5310101014,"Electric (Alternative) Vehicles",3711,"Motor Vehicles And Car Bodies",336110,"Automobile and Light Duty Motor Vehicle Manufacturing",6411,94827,"2025-12-31",14227681.1176674,0.000991208219444698,0,FALSE,1484312,367.825897216797,1.91558003425598,0.283923781875482,0.328754450016975,0.602178449366117,1.11451995372772,0.0574400015175343,0.090159997344017,65.3209686279297,15.141019821167,NA,"Tesla",51,14,2,2,3,"2026-03-18",0.00431917278847035,0.00000991208219444698,51,0.21950412299484,0.1,0.602178449366117,NA,NA,1,1,4,1,0.4,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.4,1,"AI Laggard",0,0,0,0,0,"Tier 2: Strong Candidates",19,19,19,"Underperformer","Low","Low",1,TRUE
"UNH","A069E","UnitedHealth Group Inc","US91324P1021","91324P102","UNH","New York Stock Exchange","USA","USD",5610202010,"Managed Healthcare (NEC)",6324,"Hospital/medical Service Plans",524114,"Direct Health and Medical Insurance Carriers",7773.9721875,38869.8609375,"2025-12-31",14606997.1574671,0.00101763425284446,0,FALSE,259132.40625,21.5727691650391,0.384200006723404,0.307784641876574,0.484156015202663,0.538580748347521,1.20528995990753,-0.0927100032567978,-0.113770000636578,14.9023303985596,NA,NA,"UnitedHealth",769,204,28,39,35,"2026-03-18",0.0204699490080929,0.0000101763425284446,769,-0.0558659599162638,0.1,0.538580748347521,NA,NA,3,3,1,1,0.55,2,"Developing",NA,0,NA,0,0,"Unknown",1,0.55,2,"AI Follower",0,0,0,0,0,"Tier 2: Strong Candidates",13,13,13,"Underperformer","Low","Low",0.377284760905343,FALSE
