"ticker","RepNo","CompanyName","ISIN","Exchange","Country","rd_expense","revenue","fiscal_year_end","market_cap","pe_ratio_fy","beta_5y","volatility_30d","volatility_90d","volatility_260d","company_name","total_patents","ai_patents","in_portfolio","total_net_exposure_usd","total_net_pct_ltp","n_funds","rd_intensity","fund_weight","patent_activity","revenue_growth","total_return","volatility","bloomberg_volatility","total_return_5yr","rd_quartile","patent_quartile","growth_quartile","volatility_quartile","innovation_score","innovation_quartile","innovation_label","holdings_n_funds","holdings_total_weight","holdings_total_value","total_fund_weight","total_position_value","industry","multiplier","ai_score","ai_quartile","ai_label","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","discovery_quality_weight","discovery_ai_weight","discovery_tier","innovation_rank","ai_rank","combined_rank","strategic_profile","ai_exposure","innovation_exposure","anomaly_score","is_anomaly"
"000660","A6A0F","SK Hynix Inc","KR7000660001","KRX","KOR",6406434,97146675,"2025-12-31",717691328,16.6783199310303,1.60403001308441,1.03710852385866,0.752588372510827,0.632543984734726,"000660",0,0,FALSE,0,0,0,0.00892644755490204,0.00520833333333333,0,0.265922417398542,0.1,0.632543984734726,NA,NA,1,1,4,1,0.4,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.4,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",102.5,102.5,102.5,"Underperformer","Low","Low",0.839045129282199,TRUE
"005380","A4AFC","Hyundai Motor Co","KR7005380001","KRX","KOR",2717809,186254472,"2025-12-31",121877296,14.2717895507812,1.45784997940063,1.0780169098035,0.90007916807534,0.561668978309511,"005380",0,0,FALSE,0,0,0,0.0222995511813784,0.00520833333333333,0,0.274830165319145,0.1,0.561668978309511,NA,NA,2,1,4,1,0.475,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.475,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",90,90,90,"Underperformer","Low","Low",0.572034907862808,TRUE
"005930","A69DA","Samsung Electronics Co Ltd","KR7005930003","KRX","KOR",37740392,333605938,"2025-12-31",1293959040,30.196569442749,1.26145994663239,0.901787468175392,0.670943726942799,0.464155357625446,"005930",0,0,FALSE,0,0,0,0.0291666048409075,0.00520833333333333,0,0.0144558139145374,0.1,0.464155357625446,NA,NA,2,1,2,2,0.425,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.425,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",97.5,97.5,97.5,"Underperformer","Low","Low",1,TRUE
"035420","A6DDF","Naver Corp","KR7035420009","KRX","KOR",1042285.8,12035007.21898,"2025-12-31",34742860,17.1686000823975,0.776459991931915,0.564648685300443,0.474577528266965,0.461697094536431,"035420",0,0,FALSE,0,0,0,NA,0.00520833333333333,0,0.23217905042693,0.1,0.461697094536431,NA,NA,NA,1,4,2,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",109,109,109,"Underperformer","Low","Low",0.28662009196747,TRUE
"035720","A5D59","Kakao Corp","KR7035720002","KRX","KOR",664149.6,8099147.81509,"2025-12-31",22138320,540.929077148438,1.00041997432709,0.828918190670805,0.578962238501396,0.539500080176883,"035720",0,0,FALSE,0,0,0,NA,0.00520833333333333,0,0.156698207557201,0.1,0.539500080176883,NA,NA,NA,1,3,1,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",110,110,110,"Underperformer","Low","Low",0.170366794670152,FALSE
"051910","A6A0D","LG Chem Ltd","KR7051910008","KRX","KOR",669243,45932167,"2025-12-31",23089230,NA,1.07369005680084,1.02036662929794,0.721589693559978,0.604397197512983,"051910",0,0,FALSE,0,0,0,0.0289850722609632,0.00520833333333333,0,0.107638379652053,0.1,0.604397197512983,NA,NA,2,1,2,1,0.375,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.375,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",107,107,107,"Underperformer","Low","Low",0.196236153751325,FALSE
"207940","F7B0D","Samsung Biologics Co Ltd","KR7207940008","KRX","KOR",37181.22014,4556971.69518,"2025-12-31",74111824,43.2229804992676,0.41933000087738,0.565223390319482,0.408951815237513,0.353169812943038,"207940",0,0,FALSE,0,0,0,0.000501690798218649,0.00520833333333333,0,0.194635325856507,0.1,0.353169812943038,NA,NA,1,1,3,2,0.4,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.4,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",99,99,99,"Underperformer","Low","Low",0.399352100296962,TRUE
"6501","A4C4C","Hitachi Ltd","JP3788600009","TYO","JPN",666479.7,9783370,"2025-03-31",22215990,36.2623405456543,1.13196003437042,0.383058084155311,0.440191324252082,0.487644118731136,"6501",2,0,FALSE,0,0,0,NA,0.00520833333333333,2,-0.0461333611048758,0.1,0.487644118731136,NA,NA,NA,1,1,1,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",111,111,111,"Underperformer","Low","Low",0.207090534904588,FALSE
"7974","A4406","Nintendo Co Ltd","JP3756600007","TYO","JPN",143782,1164922,"2025-03-31",12641450,40.6474800109863,0.190320000052452,0.438614250996431,0.438601019300712,0.417268817337727,"7974",0,0,FALSE,0,0,0,0.0113738534740872,0.00520833333333333,0,0.162796916160733,0.1,0.417268817337727,NA,NA,2,1,3,2,0.475,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.475,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",90,90,90,"Underperformer","Low","Low",0.081193899760645,FALSE
"8TRA","00A54","Traton SE","DE000TRAT0N7","ETR","DEU",435,44052,"2025-12-31",14500,9.37298011779785,1.64585995674133,0.339691451557563,0.336436250855382,0.363436298912202,"8TRA",0,0,FALSE,0,0,0,NA,0.00520833333333333,0,0.18202591361478,0.1,0.363436298912202,NA,NA,NA,1,3,2,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",112,112,112,"Underperformer","Low","Low",0.0434271290493615,FALSE
