"ticker","ai_score","innovation_score","anomaly_score","strategic_profile","discovery_tier"
"005930",0.425,0.425,1,"Underperformer","Tier 4: Monitor"
"T",NA,NA,0.984290874336925,"Underperformer","Tier 4: Monitor"
"HMC",0.8,0.8,0.981921146787841,"AI Pioneer","Tier 2: Strong Candidates"
"000660",0.4,0.4,0.839045129282199,"Underperformer","Tier 4: Monitor"
"TAK",0.85,0.85,0.75301353072281,"AI Pioneer","Tier 1: Top 10 Opportunities"
"NJDCY",0.625,0.625,0.654526028852198,"Balanced Performer","Tier 4: Monitor"
"OR",NA,NA,0.630531413881794,"Underperformer","Tier 4: Monitor"
"CAJPY",0.625,0.625,0.612250364540102,"Underperformer","Tier 4: Monitor"
"005380",0.475,0.475,0.572034907862808,"Underperformer","Tier 4: Monitor"
"LI",0.9,0.9,0.548771491837989,"AI Pioneer","Tier 1: Top 10 Opportunities"
"SE",NA,NA,0.472869697703162,"Underperformer","Tier 4: Monitor"
"FSLY",0.4,0.4,0.409841371659661,"Underperformer","Tier 4: Monitor"
"207940",0.4,0.4,0.399352100296962,"Underperformer","Tier 4: Monitor"
"IQ",0.8,0.8,0.37529667612127,"AI Pioneer","Tier 2: Strong Candidates"
"MA",NA,NA,0.363137995175842,"Underperformer","Tier 4: Monitor"
"035420",NA,NA,0.28662009196747,"Underperformer","Tier 4: Monitor"
"J",NA,NA,0.282661500797233,"Underperformer","Tier 4: Monitor"
"AZN",NA,NA,0.281011191978976,"Underperformer","Tier 4: Monitor"
"AVGO",0.75,0.75,0.27427960530473,"AI Pioneer","Tier 2: Strong Candidates"
"DE",0.7,0.7,0.273766086231621,"Balanced Performer","Tier 3: Watch List"
