"ticker","anomaly_score","is_anomaly","ai_score","innovation_score","in_portfolio"
"000660",0.782568545364789,TRUE,0.4,0.4,FALSE
"005380",0.47155065894493,TRUE,0.475,0.475,FALSE
"005930",0.989011492207691,TRUE,0.375,0.375,FALSE
"035420",0.280724978084717,FALSE,NA,NA,FALSE
"035720",0.133849107073754,FALSE,NA,NA,FALSE
"051910",0.162249932211192,FALSE,0.425,0.425,FALSE
"207940",0.332719057552392,TRUE,0.5,0.5,FALSE
"6501",0.231916646701574,FALSE,NA,NA,FALSE
"7974",0.104384597290814,FALSE,0.475,0.475,FALSE
"8TRA",0.0258661617778515,FALSE,NA,NA,FALSE
"9984",0.182309666127878,FALSE,NA,NA,FALSE
"AAPL",0.146002678450731,FALSE,0.725,0.725,FALSE
"ABBV",0.107261574636527,FALSE,0.7,0.7,FALSE
"ABT",0.0635351365040079,FALSE,0.475,0.475,FALSE
"ADBE",0.103385131521102,FALSE,0.725,0.725,FALSE
"AFRM",0.098835212351574,FALSE,NA,NA,FALSE
"AMAT",0.0185653661678883,FALSE,NA,NA,FALSE
"AMD",0.00651278557693747,FALSE,0.575,0.575,FALSE
"AMT",0.145924735645046,FALSE,NA,NA,FALSE
"AMZN",0.111346118539959,FALSE,0.825,0.825,FALSE
"ANET",0.00713675050537786,FALSE,0.55,0.55,FALSE
"ANT",0.626513241101567,TRUE,NA,NA,FALSE
"APD",0.0491104493628681,FALSE,0.625,0.625,FALSE
"APH",0.0662657973223165,FALSE,NA,NA,FALSE
"APO",0.0434857648075547,FALSE,NA,NA,FALSE
"ARES",0.024166573611069,FALSE,NA,NA,FALSE
"ASAN",0.0341815508756193,FALSE,0.65,0.65,FALSE
"ASML",0.0601042226350612,FALSE,0.5,0.5,FALSE
"AVGO",0.0354314949280325,FALSE,0.4,0.4,FALSE
"AXP",0.141076448685759,FALSE,NA,NA,FALSE
"AZN",0.136702345649997,FALSE,0.775,0.775,FALSE
"BA",0.230193048804221,FALSE,0.8,0.8,FALSE
"BABA",0.120078059015056,FALSE,NA,NA,FALSE
"BAC",0.226317170946948,FALSE,NA,NA,FALSE
"BAM",0.044753502110391,FALSE,NA,NA,FALSE
"BIDU",0.0687738557194647,FALSE,0.525,0.525,FALSE
"BILI",0.0883157319623471,FALSE,0.675,0.675,FALSE
"BILL",0.0421634523995445,FALSE,NA,NA,FALSE
"BIO",0.174887170067289,FALSE,0.75,0.75,FALSE
"BP",0.0174685119411722,FALSE,0.65,0.65,FALSE
"BX",0.0147680050970898,FALSE,NA,NA,FALSE
"CAJPY",0.197774538809426,FALSE,0.625,0.625,FALSE
"CAT",0.492335445860786,TRUE,0.525,0.525,FALSE
"CBOE",0.0426159413941908,FALSE,NA,NA,FALSE
"CME",0.354984990527229,TRUE,NA,NA,FALSE
"COIN",0.121689141461687,FALSE,0.55,0.55,FALSE
"CRM",0.0385406740521577,FALSE,0.575,0.575,FALSE
"CRWD",0.0031769680371613,FALSE,0.55,0.55,FALSE
"CSCO",0.0328201500455145,FALSE,0.65,0.65,FALSE
"CVX",0.174870201166468,FALSE,0.575,0.575,FALSE
"DDOG",0.08239860394672,FALSE,0.55,0.55,FALSE
"DE",0.224200005606968,FALSE,NA,NA,FALSE
"DIS",0.131291710207722,FALSE,NA,NA,FALSE
"DOCU",0.00745778315835168,FALSE,0.65,0.65,FALSE
"DUK",0.0509597043533141,FALSE,NA,NA,FALSE
"FSLY",0.141337857540545,FALSE,0.45,0.45,FALSE
"GE",0.214739657950147,FALSE,0.675,0.675,FALSE
"GOOGL",0.107756721039094,FALSE,0.75,0.75,FALSE
"GRAB",0.0328676625367093,FALSE,0.45,0.45,FALSE
"GS",0.13393049497856,FALSE,NA,NA,FALSE
"HD",0.0667509078724943,FALSE,NA,NA,FALSE
"HMC",0.0201012869045903,FALSE,NA,NA,FALSE
"HOOD",0.0239213827908059,FALSE,0.45,0.45,FALSE
"HSBC",0.0785631603392429,FALSE,NA,NA,FALSE
"HTHIY",0.0162696190979838,FALSE,NA,NA,FALSE
"HUBS",0.0495461641286434,FALSE,0.625,0.625,FALSE
"IBM",0.125997340344166,FALSE,0.8,0.8,FALSE
"IBN",0.0369096171658668,FALSE,NA,NA,FALSE
"ICE",0.165095979970249,FALSE,NA,NA,FALSE
"INF",0.0472154741782378,FALSE,NA,NA,FALSE
"INFY",0.0466739881014786,FALSE,NA,NA,FALSE
"INTC",0.0848243762216773,FALSE,0.725,0.725,FALSE
"IQ",0.252070910031372,FALSE,0.9,0.9,FALSE
"J",0.171511391967623,FALSE,NA,NA,FALSE
"JBL",0.00139083346341122,FALSE,0.475,0.475,FALSE
"JD",0.108312823583601,FALSE,0.825,0.825,FALSE
"JNJ",0.130735142704469,FALSE,0.625,0.625,FALSE
"JPM",0.0432755092280836,FALSE,NA,NA,FALSE
"KKR",0.0222708225161121,FALSE,NA,NA,FALSE
"KO",0.181539595677713,FALSE,NA,NA,FALSE
"KSPI",0.0959786328807764,FALSE,NA,NA,FALSE
"LI",0.433109246418948,TRUE,0.9,0.9,FALSE
"LIN",0.0588413397451761,FALSE,0.625,0.625,FALSE
"LLY",0.0162327144725634,FALSE,0.625,0.625,FALSE
"LMT",0.018719436891281,FALSE,NA,NA,FALSE
"LRCX",0.0050378070161786,FALSE,0.55,0.55,FALSE
"MA",0.364210938991705,TRUE,NA,NA,FALSE
"MC",0.0265841629666213,FALSE,NA,NA,FALSE
"MCD",0.112674115877496,FALSE,NA,NA,FALSE
"MCO",0.114503941099267,FALSE,NA,NA,FALSE
"MELI",0.12615838463183,FALSE,NA,NA,FALSE
"META",0.088784175213347,FALSE,NA,NA,FALSE
"MFG",0.0780231466568526,FALSE,NA,NA,FALSE
"MITSY",0.0174662934079216,FALSE,NA,NA,FALSE
"MKTX",0.0379459846428933,FALSE,NA,NA,FALSE
"MMM",0.0207188834801133,FALSE,NA,NA,FALSE
"MQ",0.0152220543670353,FALSE,NA,NA,FALSE
"MRK",0.523927519870415,TRUE,0.7,0.7,FALSE
"MS",0.310645851862476,TRUE,NA,NA,FALSE
"MSCI",0.00382536818087437,FALSE,0.525,0.525,FALSE
"MSFT",0.0989333767276306,FALSE,0.75,0.75,FALSE
"MU",0.166901745938983,FALSE,0.625,0.625,FALSE
"NDAQ",0.0251220782383609,FALSE,NA,NA,FALSE
"NEE",0.075648507747133,FALSE,NA,NA,FALSE
"NET",0.06156466035412,FALSE,0.575,0.575,FALSE
"NFLX",0.0294652946759583,FALSE,0.575,0.575,FALSE
"NIO",0.197665019251409,FALSE,0.8,0.8,FALSE
"NJDCY",0.206513627908147,FALSE,0.525,0.525,FALSE
"NOW",0.354874359698149,TRUE,0.675,0.675,FALSE
"NSRGY",0.0971063889094855,FALSE,0.55,0.55,FALSE
"NTES",0.0748757736206733,FALSE,0.725,0.725,FALSE
"NTRS",0.020857955721671,FALSE,NA,NA,FALSE
"NU",0.0676375880944953,FALSE,NA,NA,FALSE
"NVDA",0.0792248657169577,FALSE,0.55,0.55,FALSE
"NVO",0.165855762757313,FALSE,0.65,0.65,FALSE
"NVS",0.0404489252455398,FALSE,0.575,0.575,FALSE
"OKTA",0.0156115427686241,FALSE,0.575,0.575,FALSE
"OR",0.73761692336452,TRUE,NA,NA,FALSE
"ORCL",1,TRUE,0.65,0.65,FALSE
"PAGS",0.0519687580341585,FALSE,NA,NA,FALSE
"PANW",0.00101486948754695,FALSE,0.475,0.475,FALSE
"PCOR",0.0232508475607476,FALSE,0.675,0.675,FALSE
"PDD",0.01063631834029,FALSE,0.625,0.625,FALSE
"PFE",0.731480205991088,TRUE,0.65,0.65,FALSE
"PG",0.0365776778154459,FALSE,NA,NA,FALSE
"PYPL",0.0219266889952189,FALSE,0.45,0.45,FALSE
"QCOM",0.00242294557860486,FALSE,0.6,0.6,FALSE
"RELIANCE",0.195216795743625,FALSE,NA,NA,FALSE
"RKUNY",0.0244673192339487,FALSE,NA,NA,FALSE
"RMSG",0.258661114204395,FALSE,0.575,0.575,FALSE
"RTX",0.0225458822032654,FALSE,0.625,0.625,FALSE
"SAIL",0.0326873891358316,FALSE,0.675,0.675,FALSE
"SAP",0.103507322329602,FALSE,0.725,0.725,FALSE
"SE",0.419212796449274,TRUE,0.65,0.65,FALSE
"SFTBF",0.079229320350083,FALSE,NA,NA,FALSE
"SHEL",0.0490705239804339,FALSE,0.625,0.625,FALSE
"SHOP",0.00302997638689368,FALSE,0.55,0.55,FALSE
"SIEGY",0,FALSE,0.55,0.55,FALSE
"SMCAY",0.0358393300315996,FALSE,NA,NA,FALSE
"SMCI",0.0673137027983987,FALSE,0.525,0.525,FALSE
"SMFG",0.072086751331486,FALSE,NA,NA,FALSE
"SNOW",0.0468627570154601,FALSE,0.6,0.6,FALSE
"SNPS",0.0431539055560213,FALSE,NA,NA,FALSE
"SNY",0.139293126224346,FALSE,0.775,0.775,FALSE
"SOFI",0.101138587902908,FALSE,NA,NA,FALSE
"SONY",0.0884705202628869,FALSE,NA,NA,FALSE
"SPGI",0.0238266153123643,FALSE,NA,NA,FALSE
"SPOT",0.0435272598423045,FALSE,0.575,0.575,FALSE
"SQM",0.0220052175718168,FALSE,NA,NA,FALSE
"SSDOY",0.0800276631871864,FALSE,NA,NA,FALSE
"STNE",0.0456724577218567,FALSE,NA,NA,FALSE
"STT",0.021478989884741,FALSE,NA,NA,FALSE
"T",0.96484170650352,TRUE,NA,NA,FALSE
"TAK",0.28602777869956,TRUE,0.85,0.85,FALSE
"TCOM",0.19070731421347,FALSE,0.875,0.875,FALSE
"TEAM",0.0540219792167902,FALSE,NA,NA,FALSE
"TM",0.0751744757195632,FALSE,NA,NA,FALSE
"TME",0.0440654835778545,FALSE,NA,NA,FALSE
"TMO",0.0921164394815326,FALSE,0.65,0.65,FALSE
"TOST",0.0230083166705547,FALSE,0.45,0.45,FALSE
"TSLA",0.130724864295794,FALSE,0.325,0.325,FALSE
"TSM",0.0884889593143262,FALSE,0.775,0.775,FALSE
"TTDKY",0.0232463737278135,FALSE,NA,NA,FALSE
"TTE",0.0820069462395873,FALSE,NA,NA,FALSE
"TW",0.0685245656062848,FALSE,NA,NA,FALSE
"TWLO",0.0149159582304664,FALSE,0.625,0.625,FALSE
"TXN",0.0657440332226221,FALSE,0.65,0.65,FALSE
"UL",0.113668977362513,FALSE,0.675,0.675,FALSE
