"ticker","RepNo","CompanyName","ISIN","Exchange","Country","TRBC_Industry","rd_expense","revenue","fiscal_year_end","market_cap","pe_ratio_fy","beta_5y","volatility_30d","volatility_90d","volatility_260d","company_name","total_patents","ai_patents","patent_source","in_portfolio","total_net_exposure_usd","total_net_pct_ltp","n_funds","rd_intensity","fund_weight","patent_activity","revenue_growth","total_return","volatility","bloomberg_volatility","total_return_5yr","rd_quartile","patent_quartile","growth_quartile","volatility_quartile","innovation_score","innovation_quartile","innovation_label","holdings_n_funds","holdings_total_weight","holdings_total_value","total_fund_weight","total_position_value","industry","multiplier","ai_score","ai_quartile","ai_label","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","discovery_quality_weight","discovery_ai_weight","discovery_tier","innovation_rank","ai_rank","combined_rank","strategic_profile","ai_exposure","innovation_exposure","anomaly_score","is_anomaly","rd_score_norm","patent_score_norm","growth_score_norm","stability_score_norm","ai_score_aggressive","high_growth","high_volatility","has_rd","not_ai_leader","high_potential_flag","unicorn_tier","ai_label_aggressive"
"000660","A6A0F","SK Hynix Inc","KR7000660001","KRX","KOR","Semiconductors (NEC)",6406434,97146675,"2025-12-31",709138880,16.4795703887939,1.58168005943298,1.06827393253657,0.776501282742733,0.636846550134006,"000660",0,0,"USPTO Only",FALSE,0,0,0,0.00903410344670426,0.00552486187845304,0,0.265922417398542,0.1,0.636846550134006,NA,NA,1,1,4,1,0.4,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.4,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",93.5,93.5,93.5,"Underperformer","Low","Low",0.735362404430878,TRUE,25,25,100,100,66.25,TRUE,TRUE,TRUE,TRUE,TRUE,"Emerging Unicorn Candidate","AI Adopter"
"005380","A4AFC","Hyundai Motor Co","KR7005380001","KRX","KOR","Auto & Truck Manufacturers (NEC)",2717809,186254472,"2025-12-31",118128896,13.8301095962524,1.46130001544952,1.09900837916473,0.911208647844109,0.563588906893308,"005380",0,0,"USPTO Only",FALSE,0,0,0,0.0230071480563062,0.00552486187845304,0,0.274830165319145,0.1,0.563588906893308,NA,NA,2,1,4,1,0.475,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.475,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",82,82,82,"Underperformer","Low","Low",0.460508075076267,TRUE,50,25,100,100,72.5,TRUE,TRUE,TRUE,TRUE,TRUE,"Emerging Unicorn Candidate","AI Leader (Aggressive)"
"005930","A69DA","Samsung Electronics Co Ltd","KR7005930003","KRX","KOR","Phones & Handheld Devices (NEC)",37740392,333605938,"2025-12-31",1227826048,28.6216297149658,1.26217997074127,0.919959783177302,0.682239113930815,0.467969057396659,"005930",0,0,"USPTO Only",FALSE,0,0,0,0.0307375723633451,0.00552486187845304,0,0.0144558139145374,0.1,0.467969057396659,NA,NA,2,1,2,2,0.425,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.425,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",90,90,90,"Underperformer","Low","Low",0.933945741355126,TRUE,50,25,50,75,48.75,FALSE,FALSE,TRUE,TRUE,FALSE,"Monitor","AI Laggard"
"035420","A6DDF","Naver Corp","KR7035420009","KRX","KOR","Search Engines",1014052.2,12035007.21898,"2025-12-31",33801740,16.703540802002,0.781629979610443,0.597111642522025,0.488420013829107,0.459153906711662,"035420",0,0,"USPTO Only",FALSE,0,0,0,NA,0.00552486187845304,0,0.23217905042693,0.1,0.459153906711662,NA,NA,NA,1,4,2,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",97,97,97,"Underperformer","Low","Low",0.257168695958473,FALSE,NA,25,100,75,NA,TRUE,FALSE,FALSE,TRUE,FALSE,"Monitor","AI Laggard"
"035720","A5D59","Kakao Corp","KR7035720002","KRX","KOR","Online Services (NEC)",651530.7,8099147.81509,"2025-12-31",21717690,43.2465782165527,1.00437998771667,0.861509679255898,0.591618539432316,0.537388644030741,"035720",0,0,"USPTO Only",FALSE,0,0,0,NA,0.00552486187845304,0,0.156698207557201,0.1,0.537388644030741,NA,NA,NA,1,3,2,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",98,98,98,"Underperformer","Low","Low",0.158432311222378,FALSE,NA,25,75,75,NA,FALSE,TRUE,FALSE,TRUE,FALSE,"Monitor","AI Laggard"
"051910","A6A0D","LG Chem Ltd","KR7051910008","KRX","KOR","Plastics",669243,45932167,"2025-12-31",23667040,NA,1.06840002536774,1.07729287662991,0.750551359097775,0.60970272635223,"051910",0,0,"USPTO Only",FALSE,0,0,0,0.0282774271729798,0.00552486187845304,0,0.107638379652053,0.1,0.60970272635223,NA,NA,2,1,3,1,0.425,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.425,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",88.5,88.5,88.5,"Underperformer","Low","Low",0.183215946723289,FALSE,50,25,75,100,62.5,FALSE,TRUE,TRUE,TRUE,FALSE,"Monitor","AI Adopter"
"207940","F7B0D","Samsung Biologics Co Ltd","KR7207940008","KRX","KOR","Biopharmaceuticals",37181.22014,4556971.69518,"2025-12-31",73371160,42.7910194396973,0.425029993057251,0.595468010700758,0.422238968712121,0.355601717310102,"207940",0,0,"USPTO Only",FALSE,0,0,0,0.000506755244703777,0.00552486187845304,0,0.194635325856507,0.1,0.355601717310102,NA,NA,1,1,3,3,0.45,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.45,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",84,84,84,"Underperformer","Low","Low",0.333824695792512,TRUE,25,25,75,50,48.75,TRUE,FALSE,TRUE,TRUE,FALSE,"Growth Candidate","AI Laggard"
"6501","A4C4C","Hitachi Ltd","JP3788600009","TYO","JPN","Consumer Goods Conglomerates",670878,9783370,"2025-03-31",22362600,36.501651763916,1.13947999477386,0.379478085828815,0.441534341193462,0.485409829096082,"6501",2,0,"USPTO Only",FALSE,0,0,0,NA,0.00552486187845304,2,-0.0461333611048758,0.1,0.485409829096082,NA,NA,NA,1,1,2,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",99,99,99,"Underperformer","Low","Low",0.21497710604143,FALSE,NA,25,25,75,NA,FALSE,FALSE,FALSE,TRUE,FALSE,"Monitor","AI Laggard"
"7974","A4406","Nintendo Co Ltd","JP3756600007","TYO","JPN","Games, Toys & Children's Vehicles",143782,1164922,"2025-03-31",11662240,37.498908996582,0.303299993276596,0.486272107538087,0.448000482206459,0.419379795513984,"7974",0,0,"USPTO Only",FALSE,0,0,0,0.0123288493462662,0.00552486187845304,0,0.162796916160733,0.1,0.419379795513984,NA,NA,2,1,3,3,0.525,1,"Emerging",NA,0,NA,0,0,"Unknown",1,0.525,1,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",73,73,73,"Underperformer","Low","Low",0.102237730725513,FALSE,50,25,75,50,55,FALSE,FALSE,TRUE,TRUE,FALSE,"Monitor","AI Follower"
"8TRA","00A54","Traton SE","DE000TRAT0N7","ETR","DEU","Heavy Buses & Coaches",467.4,44052,"2025-12-31",15580,10.0711097717285,1.57173001766205,0.385594153839283,0.347434826512273,0.364661362989443,"8TRA",0,0,"USPTO Only",FALSE,0,0,0,NA,0.00552486187845304,0,0.18202591361478,0.1,0.364661362989443,NA,NA,NA,1,3,3,NA,NA,"Emerging",NA,0,NA,0,0,"Unknown",1,NA,NA,"AI Laggard",0,0,0,0,0,"Tier 4: Monitor",100,100,100,"Underperformer","Low","Low",0.0202383753444839,FALSE,NA,25,75,50,NA,TRUE,FALSE,FALSE,TRUE,FALSE,"Monitor","AI Laggard"
