"ticker","innovation_score","ai_score","discovery_tier","innovation_rank","ai_rank","combined_rank","discovery_quality_weight","discovery_ai_weight"
"JD",0.875,0.875,"Tier 1: Top 10 Opportunities",1.5,1.5,1.5,0,0
"NTES",0.875,0.875,"Tier 1: Top 10 Opportunities",1.5,1.5,1.5,0,0
"TAK",0.85,0.85,"Tier 1: Top 10 Opportunities",3,3,3,0,0
"LI",0.85,0.85,"Tier 1: Top 10 Opportunities",4,4,4,0,0
"MSFT",0.85,0.85,"Tier 1: Top 10 Opportunities",5,5,5,0,0
"AMZN",0.825,0.825,"Tier 1: Top 10 Opportunities",6,6,6,0,0
"BA",0.8,0.8,"Tier 1: Top 10 Opportunities",8,8,8,0,0
"SE",0.8,0.8,"Tier 1: Top 10 Opportunities",8,8,8,0,0
"ZM",0.8,0.8,"Tier 1: Top 10 Opportunities",8,8,8,0,0
"AZN",0.775,0.775,"Tier 2: Strong Candidates",13,13,13,0,0
"NOW",0.775,0.775,"Tier 2: Strong Candidates",13,13,13,0,0
"SAP",0.775,0.775,"Tier 2: Strong Candidates",13,13,13,0,0
"SHEL",0.775,0.775,"Tier 2: Strong Candidates",13,13,13,0,0
"SNY",0.775,0.775,"Tier 2: Strong Candidates",13,13,13,0,0
"TSM",0.775,0.775,"Tier 2: Strong Candidates",13,13,13,0,0
"UL",0.775,0.775,"Tier 2: Strong Candidates",13,13,13,0,0
"AAPL",0.75,0.75,"Tier 2: Strong Candidates",19,19,19,0,0
"BIO",0.75,0.75,"Tier 2: Strong Candidates",19,19,19,0,0
"GOOGL",0.75,0.75,"Tier 2: Strong Candidates",19,19,19,0,0
"IQ",0.75,0.75,"Tier 2: Strong Candidates",19,19,19,0,0
"MRK",0.75,0.75,"Tier 2: Strong Candidates",19,19,19,0,0
"ADBE",0.725,0.725,"Tier 2: Strong Candidates",24,24,24,0,0
"NVS",0.725,0.725,"Tier 2: Strong Candidates",24,24,24,0,0
"PCOR",0.725,0.725,"Tier 2: Strong Candidates",24,24,24,0,0
"TCOM",0.725,0.725,"Tier 2: Strong Candidates",24,24,24,0,0
"WB",0.725,0.725,"Tier 2: Strong Candidates",24,24,24,0,0
"NIO",0.7,0.7,"Tier 3: Watch List",27,27,27,0,0
"ABBV",0.7,0.7,"Tier 3: Watch List",29,29,29,0,0
"IBM",0.7,0.7,"Tier 3: Watch List",29,29,29,0,0
"SNOW",0.7,0.7,"Tier 3: Watch List",29,29,29,0,0
"GE",0.675,0.675,"Tier 3: Watch List",31.5,31.5,31.5,0,0
"PDD",0.675,0.675,"Tier 3: Watch List",31.5,31.5,31.5,0,0
"BILI",0.675,0.675,"Tier 3: Watch List",33.5,33.5,33.5,0,0
"INTC",0.675,0.675,"Tier 3: Watch List",33.5,33.5,33.5,0,0
"ASAN",0.65,0.65,"Tier 3: Watch List",37,37,37,0,0
"BP",0.65,0.65,"Tier 3: Watch List",37,37,37,0,0
"CSCO",0.65,0.65,"Tier 3: Watch List",37,37,37,0,0
"ORCL",0.65,0.65,"Tier 3: Watch List",37,37,37,0,0
"TMO",0.65,0.65,"Tier 3: Watch List",37,37,37,0,0
"TXN",0.65,0.65,"Tier 3: Watch List",40,40,40,0,0
"APD",0.625,0.625,"Tier 3: Watch List",45.5,45.5,45.5,0,0
"CAJPY",0.625,0.625,"Tier 3: Watch List",45.5,45.5,45.5,0,0
"COIN",0.625,0.625,"Tier 3: Watch List",45.5,45.5,45.5,0,0
"LIN",0.625,0.625,"Tier 3: Watch List",45.5,45.5,45.5,0,0
"NET",0.625,0.625,"Tier 3: Watch List",45.5,45.5,45.5,0,0
"RTX",0.625,0.625,"Tier 3: Watch List",45.5,45.5,45.5,0,0
"SPOT",0.625,0.625,"Tier 3: Watch List",45.5,45.5,45.5,0,0
"TWLO",0.625,0.625,"Tier 3: Watch List",45.5,45.5,45.5,0,0
"WDAY",0.625,0.625,"Tier 3: Watch List",45.5,45.5,45.5,0,0
"XPEV",0.625,0.625,"Tier 3: Watch List",45.5,45.5,45.5,0,0
"QCOM",0.6,0.6,"Tier 4: Monitor",51.5,51.5,51.5,0,0
"SIEGY",0.6,0.6,"Tier 4: Monitor",51.5,51.5,51.5,0,0
"DOCU",0.6,0.6,"Tier 4: Monitor",53,53,53,0,0
"CRM",0.575,0.575,"Tier 4: Monitor",55,55,55,0,0
"MU",0.575,0.575,"Tier 4: Monitor",55,55,55,0,0
"SMCI",0.575,0.575,"Tier 4: Monitor",55,55,55,0,0
"AMD",0.575,0.575,"Tier 4: Monitor",58.5,58.5,58.5,0,0
"JNJ",0.575,0.575,"Tier 4: Monitor",58.5,58.5,58.5,0,0
"LLY",0.575,0.575,"Tier 4: Monitor",58.5,58.5,58.5,0,0
"OKTA",0.575,0.575,"Tier 4: Monitor",58.5,58.5,58.5,0,0
"ANET",0.55,0.55,"Tier 4: Monitor",63.5,63.5,63.5,0,0
"CRWD",0.55,0.55,"Tier 4: Monitor",63.5,63.5,63.5,0,0
"FSLY",0.55,0.55,"Tier 4: Monitor",63.5,63.5,63.5,0,0
"HOOD",0.55,0.55,"Tier 4: Monitor",63.5,63.5,63.5,0,0
"TOST",0.55,0.55,"Tier 4: Monitor",63.5,63.5,63.5,0,0
"XOM",0.55,0.55,"Tier 4: Monitor",63.5,63.5,63.5,0,0
"NVO",0.55,0.55,"Tier 4: Monitor",67.5,67.5,67.5,0,0
"PFE",0.55,0.55,"Tier 4: Monitor",67.5,67.5,67.5,0,0
"7974",0.525,0.525,"Tier 4: Monitor",73,73,73,0,0
"ABT",0.525,0.525,"Tier 4: Monitor",73,73,73,0,0
"BIDU",0.525,0.525,"Tier 4: Monitor",73,73,73,0,0
"CAT",0.525,0.525,"Tier 4: Monitor",73,73,73,0,0
"HUBS",0.525,0.525,"Tier 4: Monitor",73,73,73,0,0
"NJDCY",0.525,0.525,"Tier 4: Monitor",73,73,73,0,0
"RMSG",0.525,0.525,"Tier 4: Monitor",73,73,73,0,0
"SAIL",0.525,0.525,"Tier 4: Monitor",73,73,73,0,0
"ZS",0.525,0.525,"Tier 4: Monitor",73,73,73,0,0
"ASML",0.5,0.5,"Tier 4: Monitor",79,79,79,0,0
"GRAB",0.5,0.5,"Tier 4: Monitor",79,79,79,0,0
"LRCX",0.5,0.5,"Tier 4: Monitor",79,79,79,0,0
"005380",0.475,0.475,"Tier 4: Monitor",82,82,82,0,0
"MSCI",0.475,0.475,"Tier 4: Monitor",82,82,82,0,0
"NFLX",0.475,0.475,"Tier 4: Monitor",82,82,82,0,0
"207940",0.45,0.45,"Tier 4: Monitor",84,84,84,0,0
"NVDA",0.45,0.45,"Tier 4: Monitor",86,86,86,0,0
"PYPL",0.45,0.45,"Tier 4: Monitor",86,86,86,0,0
"SHOP",0.45,0.45,"Tier 4: Monitor",86,86,86,0,0
"051910",0.425,0.425,"Tier 4: Monitor",88.5,88.5,88.5,0,0
"PANW",0.425,0.425,"Tier 4: Monitor",88.5,88.5,88.5,0,0
"005930",0.425,0.425,"Tier 4: Monitor",90,90,90,0,0
"AVGO",0.4,0.4,"Tier 4: Monitor",91.5,91.5,91.5,0,0
"NSRGY",0.4,0.4,"Tier 4: Monitor",91.5,91.5,91.5,0,0
"000660",0.4,0.4,"Tier 4: Monitor",93.5,93.5,93.5,0,0
"DDOG",0.4,0.4,"Tier 4: Monitor",93.5,93.5,93.5,0,0
"JBL",0.375,0.375,"Tier 4: Monitor",95,95,95,0,0
"TSLA",0.325,0.325,"Tier 4: Monitor",96,96,96,0,0
"035420",NA,NA,"Tier 4: Monitor",97,97,97,0,0
"035720",NA,NA,"Tier 4: Monitor",98,98,98,0,0
"6501",NA,NA,"Tier 4: Monitor",99,99,99,0,0
"8TRA",NA,NA,"Tier 4: Monitor",100,100,100,0,0
"9984",NA,NA,"Tier 4: Monitor",101,101,101,0,0
"AFRM",NA,NA,"Tier 4: Monitor",102,102,102,0,0
"AMAT",NA,NA,"Tier 4: Monitor",103,103,103,0,0
"AMT",NA,NA,"Tier 4: Monitor",104,104,104,0,0
"ANT",NA,NA,"Tier 4: Monitor",105,105,105,0,0
"APH",NA,NA,"Tier 4: Monitor",106,106,106,0,0
"APO",NA,NA,"Tier 4: Monitor",107,107,107,0,0
"ARES",NA,NA,"Tier 4: Monitor",108,108,108,0,0
