"ticker","ai_score_aggressive","ai_label_aggressive","high_potential_flag","unicorn_tier"
"000660",66.25,"AI Adopter",TRUE,"Emerging Unicorn Candidate"
"005380",72.5,"AI Leader (Aggressive)",TRUE,"Emerging Unicorn Candidate"
"005930",48.75,"AI Laggard",FALSE,"Monitor"
"035420",NA,"AI Laggard",FALSE,"Monitor"
"035720",NA,"AI Laggard",FALSE,"Monitor"
"051910",62.5,"AI Adopter",FALSE,"Monitor"
"207940",48.75,"AI Laggard",FALSE,"Growth Candidate"
"6501",NA,"AI Laggard",FALSE,"Monitor"
"7974",55,"AI Follower",FALSE,"Monitor"
"8TRA",NA,"AI Laggard",FALSE,"Monitor"
"9984",NA,"AI Laggard",FALSE,"Monitor"
"AAPL",70,"AI Leader (Aggressive)",FALSE,"Monitor"
"ABBV",66.25,"AI Adopter",FALSE,"Growth Candidate"
"ABT",62.5,"AI Adopter",FALSE,"Monitor"
"ADBE",76.25,"AI Leader (Aggressive)",FALSE,"Growth Candidate"
"AFRM",NA,"AI Laggard",FALSE,"Monitor"
"AMAT",NA,"AI Laggard",FALSE,"Monitor"
"AMD",57.5,"AI Follower",FALSE,"Monitor"
"AMT",NA,"AI Laggard",FALSE,"Monitor"
"AMZN",76.25,"AI Leader (Aggressive)",FALSE,"Monitor"
"ANET",62.5,"AI Adopter",FALSE,"Growth Candidate"
"ANT",NA,"AI Laggard",FALSE,"Monitor"
"APD",60,"AI Follower",FALSE,"Growth Candidate"
"APH",NA,"AI Laggard",FALSE,"Monitor"
"APO",NA,"AI Laggard",FALSE,"Monitor"
"ARES",NA,"AI Laggard",FALSE,"Monitor"
"ASAN",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"ASML",38.75,"AI Laggard",FALSE,"Monitor"
"AVGO",52.5,"AI Follower",FALSE,"Monitor"
"AXP",NA,"AI Laggard",FALSE,"Monitor"
"AZN",72.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"BA",80,"AI Leader (Aggressive)",FALSE,"Monitor"
"BABA",NA,"AI Laggard",FALSE,"Monitor"
"BAC",NA,"AI Laggard",FALSE,"Monitor"
"BAM",NA,"AI Laggard",FALSE,"Monitor"
"BIDU",51.25,"AI Laggard",FALSE,"Monitor"
"BILI",61.25,"AI Follower",FALSE,"Monitor"
"BILL",NA,"AI Laggard",FALSE,"Monitor"
"BIO",66.25,"AI Adopter",FALSE,"Monitor"
"BP",55,"AI Follower",FALSE,"Monitor"
"BX",NA,"AI Laggard",FALSE,"Monitor"
"CAJPY",43.75,"AI Laggard",FALSE,"Monitor"
"CAT",61.25,"AI Follower",FALSE,"Monitor"
"CBOE",NA,"AI Laggard",FALSE,"Monitor"
"CME",NA,"AI Laggard",FALSE,"Monitor"
"COIN",83.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"CRM",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"CRWD",63.75,"AI Adopter",FALSE,"Monitor"
"CSCO",56.25,"AI Follower",FALSE,"Monitor"
"CVX",NA,"AI Laggard",FALSE,"Monitor"
"DDOG",48.75,"AI Laggard",FALSE,"Monitor"
"DE",NA,"AI Laggard",FALSE,"Monitor"
"DIS",NA,"AI Laggard",FALSE,"Monitor"
"DOCU",55,"AI Follower",FALSE,"Monitor"
"DUK",NA,"AI Laggard",FALSE,"Monitor"
"FSLY",78.75,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"GE",50,"AI Laggard",FALSE,"Monitor"
"GOOGL",56.25,"AI Follower",FALSE,"Monitor"
"GRAB",53.75,"AI Follower",FALSE,"Monitor"
"GS",NA,"AI Laggard",FALSE,"Monitor"
"HD",NA,"AI Laggard",FALSE,"Monitor"
"HMC",NA,"AI Laggard",FALSE,"Monitor"
"HOOD",77.5,"AI Leader (Aggressive)",TRUE,"Top Unicorn Candidate"
"HSBC",NA,"AI Laggard",FALSE,"Monitor"
"HTHIY",NA,"AI Laggard",FALSE,"Monitor"
"HUBS",63.75,"AI Adopter",FALSE,"Monitor"
"IBM",61.25,"AI Follower",FALSE,"Monitor"
"IBN",NA,"AI Laggard",FALSE,"Monitor"
"ICE",NA,"AI Laggard",FALSE,"Monitor"
"INF",NA,"AI Laggard",FALSE,"Monitor"
"INFY",NA,"AI Laggard",FALSE,"Monitor"
"INTC",73.75,"AI Leader (Aggressive)",FALSE,"Monitor"
"IQ",66.25,"AI Adopter",FALSE,"Monitor"
"J",NA,"AI Laggard",FALSE,"Monitor"
"JBL",37.5,"AI Laggard",FALSE,"Monitor"
"JD",87.5,"AI Leader (Aggressive)",FALSE,"Monitor"
"JNJ",51.25,"AI Laggard",FALSE,"Monitor"
"JPM",NA,"AI Laggard",FALSE,"Monitor"
"KKR",NA,"AI Laggard",FALSE,"Monitor"
"KO",NA,"AI Laggard",FALSE,"Monitor"
