"ticker","company_name","fund_weight","ai_score","ai_label","innovation_score","revenue_growth","volatility","unicorn_tier","score_imputed","original_innovation_score","original_ai_score","rank","cumulative_weight","weight_pct"
"META","Metacon AB (publ)",0.281579290636538,0.121542113955409,"AI Laggard",0.9178746500385,0.101224040519446,0.785896746230605,"Monitor",TRUE,NA,NA,1,0.281579290636538,28.16
"V","Verdera Energy Corp",0.221259834637525,0.0719108710330858,"AI Laggard",0.799395754757356,-0.0758719874545932,3.33313571107544,"Monitor",TRUE,NA,NA,2,0.502839125274063,22.13
"COIN","Coinbase Global Inc",0.155292755682541,0.5,"AI Laggard",0.5,0.133994084969163,0.86867281214349,"Monitor",FALSE,0.5,0.5,3,0.658131880956604,15.53
"SHOP","Shopify Inc",0.0731668374599972,0.45,"AI Laggard",0.45,-0.0721348399296403,0.532851820234106,"Monitor",FALSE,0.45,0.45,4,0.731298718416602,7.32
"SE","Sea Ltd (ADR)",0.06549171940429,0.75,"AI Leader",0.75,0.148326728958637,0.408079682764898,"Monitor",FALSE,0.75,0.75,5,0.796790437820892,6.55
"TW","Tradeweb Markets Inc",0.0612634902408193,0.167395331604298,"AI Laggard",1,0.231118255946785,0.301304650683538,"Monitor",TRUE,NA,NA,6,0.858053928061711,6.13
"HOOD","Robinhood Markets Inc",0.0527477781550011,0.5,"AI Laggard",0.5,0.173637704458088,0.757488192246045,"Emerging Unicorn Candidate",FALSE,0.5,0.5,7,0.910801706216712,5.27
"AMT","American Tower Corp",0.0389007219583337,0.083778533268577,"AI Laggard",0.763046126178363,0.280872588418424,0.971651082805588,"Monitor",TRUE,NA,NA,8,0.949702428175046,3.89
"ZS","Zscaler Inc",0.0244352526246921,0.625,"AI Adopter",0.625,0.0885619846172631,0.476109696873126,"Monitor",FALSE,0.625,0.625,9,0.974137680799738,2.44
"CRWD","Crowdstrike Holdings Inc",0.0198514945509909,0.55,"AI Follower",0.55,0.129608177673072,0.479171722121478,"Monitor",FALSE,0.55,0.55,10,0.993989175350729,1.99
"DDOG","Datadog Inc",0.0185082054814925,0.45,"AI Laggard",0.45,0.0595806073397398,0.57214319870965,"Monitor",FALSE,0.45,0.45,11,1.01249738083222,1.85
"TSM","Taiwan Semicndctr Mnufctrng Co Ltd (ADR)",0.0130714431637834,0.725,"AI Leader",0.725,-0.00121716996654868,0.384361868775951,"Monitor",FALSE,0.725,0.725,12,1.025568823996,1.31
"XPEV","Xpeng Inc - ADR",0.00877444611143959,0.525,"AI Follower",0.525,0.00931731453165412,0.633003434279534,"Monitor",FALSE,0.525,0.525,13,1.03434327010744,0.88
"WDAY","Workday Inc",0.00421157723906848,0.65,"AI Adopter",0.65,0.212880445457995,0.416275491315809,"Growth Candidate",FALSE,0.65,0.65,14,1.03855484734651,0.42
"TOST","Toast Inc",0.000876774707355808,0.55,"AI Follower",0.55,0.189780241809785,0.485453829957825,"Growth Candidate",FALSE,0.55,0.55,15,1.03943162205387,0.09
"SOFI","SoFi Technologies Inc",0.000726105359994666,0.0483870967741935,"AI Laggard",0.454329478227,0.157655278686434,0.620806732033679,"Monitor",TRUE,NA,NA,16,1.04015772741386,0.07
"CSCO","Cisco Systems Inc",0.000131986918412167,0.7,"AI Adopter",0.7,0.201555611006916,0.276376564264948,"Growth Candidate",FALSE,0.7,0.7,17,1.04028971433228,0.01
"SNOW","Snowflake Inc",0.0000544916230859912,0.75,"AI Leader",0.75,0.244340147636831,0.495015140219372,"Monitor",FALSE,0.75,0.75,18,1.04034420595536,0.01
"MSFT","Microsoft Corp",0.000000000364254368494074,0.8,"AI Leader",0.8,0.102240964677185,0.255506325556645,"Monitor",FALSE,0.8,0.8,19,1.04034420631962,0
"AFRM","Affirm Holdings Inc",0.000000000301762846194284,0.020074007101357,"AI Laggard",0.3,0.0100370035506785,0.716972992562181,"Monitor",TRUE,NA,NA,20,1.04034420662138,0
"TWLO","Twilio Inc",0.000000000241031094923054,0.525,"AI Follower",0.525,-0.0421604220755398,0.543846456685966,"Monitor",FALSE,0.525,0.525,21,1.04034420686241,0
"PCOR","Procore Technologies Inc",0.000000000234802522149014,0.625,"AI Adopter",0.625,0.0263447747565806,0.353878982148622,"Monitor",FALSE,0.625,0.625,22,1.04034420709721,0
"ASAN","Asana Inc",0.000000000180863380367896,0.7,"AI Adopter",0.7,0.207895940262824,0.612841726169419,"Top Unicorn Candidate",FALSE,0.7,0.7,23,1.04034420727808,0
"PANW","Palo Alto Networks Inc",0.00000000017113860818715,0.475,"AI Laggard",0.475,0.0635292538441718,0.367847523543225,"Monitor",FALSE,0.475,0.475,24,1.04034420744921,0
"IBM","International Business Machines Corp",0.000000000122835037137797,0.8,"AI Leader",0.8,0.221866752672941,0.336002260374811,"Monitor",FALSE,0.8,0.8,25,1.04034420757205,0
