"ticker","balanced_growth_weight","innovation_score","ai_score"
"AAPL",0.0209917566580385,0.8,0.8
"ADBE",0.00431303759641128,0.75,0.75
"AMZN",0.0704518543672446,0.95,0.95
"APH",0.000097298451246319,0.65,0.65
"AZN",0.00614192320062013,0.75,0.75
"BILI",0.0000000000233715564321718,0.725,0.725
"BP",0.0000121795762558111,0.7,0.7
"DE",0.00569757213727206,0.825,0.825
"GE",0.0542608864159669,0.775,0.775
"GOOGL",0.124032662688659,0.925,0.925
"GRAB",0.00688731847667705,0.675,0.675
"GS",0.000681415020098807,0.725,0.725
"INF",0.00153115608818716,0.7,0.7
"J",0.005400204326582,0.875,0.875
"JD",0.000000000036540105092283,0.775,0.775
"LLY",0.00317179499106288,0.65,0.65
"MFG",0.000135579065485228,0.7,0.7
"MRK",0.00150045271393105,0.7,0.7
"MSFT",0.0887599930563765,0.825,0.825
"NFLX",0.00302749556698471,0.65,0.65
"NOW",0.0137291269735378,0.825,0.825
"NU",0.00604317209422103,0.875,0.875
"OR",0.0071399646596768,0.775,0.775
"PCOR",0.0108326406989171,0.7,0.7
"PDD",0.0104789822082827,0.675,0.675
"PG",0.000626999080217391,0.725,0.725
"RELIANCE",0.000040706733383009,0.7,0.7
"RTX",0.0372121158929335,0.7,0.7
"SAP",0.00000343684488865082,0.725,0.725
"SE",0.0289028568699794,0.775,0.775
"SHEL",0.000104723759297093,0.7,0.7
"SHOP",0.0139833386586166,0.625,0.625
"SNOW",0.000885054129736601,0.775,0.775
"SPOT",0.000237364907747287,0.7,0.7
"TME",0.0000953717386194495,0.7,0.7
"TMO",0.0114466729860855,0.625,0.625
"TOST",0.000165625361153625,0.625,0.625
"TSM",0.0286827471824247,0.825,0.825
"TW",0.0114528946350465,0.75,0.75
"TXN",0.0000465467620466341,0.825,0.825
"WDAY",0.000446336557320105,0.725,0.725
