"ticker","discovery_ai_weight","ai_score","discovery_tier"
"CAJPY",0.0826210826210826,0.725,"Tier 1: Top 10 Opportunities"
"ICE",0.0883190883190883,0.775,"Tier 1: Top 10 Opportunities"
"IQ",0.0911680911680912,0.8,"Tier 1: Top 10 Opportunities"
"NIO",0.0854700854700855,0.75,"Tier 1: Top 10 Opportunities"
"NTES",0.0997150997150997,0.875,"Tier 1: Top 10 Opportunities"
"SNY",0.0911680911680912,0.8,"Tier 1: Top 10 Opportunities"
"SONY",0.094017094017094,0.825,"Tier 1: Top 10 Opportunities"
"TAK",0.102564102564103,0.9,"Tier 1: Top 10 Opportunities"
"TCOM",0.0826210826210826,0.725,"Tier 1: Top 10 Opportunities"
"WB",0.0826210826210826,0.725,"Tier 2: Strong Candidates"
"WORK",0.0997150997150997,0.875,"Tier 1: Top 10 Opportunities"
