"ticker","company_name","fund_weight","ai_score","ai_label","innovation_score","revenue_growth","volatility","unicorn_tier","rank","cumulative_weight","weight_pct"
"GOOGL","Alphabet Inc.",0.125184553572412,0.7,"AI Adopter",0.7,-0.052406788058579,0.299678872852811,"Monitor",1,0.125184553572412,12.52
"MSFT","Microsoft Corp.",0.0868837050152295,0.85,"AI Leader",0.85,0.28689545551315,0.255802913783338,"Monitor",2,0.212068258587642,8.69
"AMZN","Amazon.com Inc.",0.0709321370889244,0.775,"AI Leader",0.775,0.106850000005215,0.349940560909336,"Monitor",3,0.283000395676566,7.09
"NVDA","NVIDIA Corp.",0.0577338085750399,0.45,"AI Laggard",0.45,-0.0417883522808552,0.428140926035267,"Monitor",4,0.340734204251606,5.77
"GE","GE",0.0526806743963553,0.625,"AI Follower",0.625,-0.0687790901400149,0.293893472527347,"Monitor",5,0.393414878647961,5.27
"META","Meta Platforms Inc.",0.0506571749446988,NA,"AI Laggard",NA,0.116338465921581,0.785073132896393,"Monitor",6,0.44407205359266,5.07
"V","Visa Inc.",0.0427236365578935,NA,"AI Laggard",NA,0.292700476851314,3.33370419102135,"Monitor",7,0.486795690150554,4.27
"000660","000660",0.0378736495542594,0.325,"AI Laggard",0.325,0.0127967149950564,0.638519860768353,"Monitor",8,0.524669339704813,3.79
"RTX","RTX",0.037494729795959,0.675,"AI Adopter",0.675,0.0811859593726695,0.298450020442506,"Monitor",9,0.562164069500772,3.75
"AVGO","AVGO",0.0367191330856424,0.4,"AI Laggard",0.4,0.199254397582263,0.480739100444434,"Growth Candidate",10,0.598883202586414,3.67
"005930","005930",0.0361886073497213,0.5,"AI Laggard",0.5,0.0789545661769807,0.469431540039137,"Monitor",11,0.635071809936136,3.62
"MCO","MCO",0.0308002127952657,NA,"AI Laggard",NA,0.041482116561383,0.729269784665239,"Monitor",12,0.665872022731401,3.08
"COIN","COIN",0.0298027394694078,0.625,"AI Follower",0.625,0.21663007279858,0.87057383770189,"Top Unicorn Candidate",13,0.695674762200809,2.98
"JBL","JBL",0.0297515546240831,0.425,"AI Laggard",0.425,0.0672339959070087,0.429800213408198,"Monitor",14,0.725426316824892,2.98
"TSM","TSM",0.0286128246173175,0.875,"AI Leader",0.875,0.298336891457438,0.387254131872839,"Monitor",15,0.75403914144221,2.86
"SE","SE",0.0283979415433312,0.7,"AI Adopter",0.7,0.0681833150796592,0.407386772465526,"Monitor",16,0.782437082985541,2.84
"SPGI","SPGI",0.0225252681642709,NA,"AI Laggard",NA,0.158512457739562,0.297638065294941,"Monitor",17,0.804962351149812,2.25
"AAPL","Apple Inc.",0.0205728247505986,0.725,"AI Leader",0.725,0.265003594569862,0.321268929949581,"Monitor",18,0.82553517590041,2.06
"6501","6501",0.0174458319348316,NA,"AI Laggard",NA,-0.0271998571231961,0.485509656865696,"Monitor",19,0.842981007835242,1.74
"UNH","UNH",0.0164878199898617,NA,"AI Laggard",NA,0.170047479961067,1.13806817517398,"Monitor",20,0.859468827825104,1.65
"TSLA","Tesla Inc.",0.0160621334740753,0.325,"AI Laggard",0.325,-0.0559145773760974,0.59373813521412,"Monitor",21,0.875530961299179,1.61
"AMT","AMT",0.0145868685418185,NA,"AI Laggard",NA,0.115819462295622,0.971684791359423,"Monitor",22,0.890117829840997,1.46
"SHOP","SHOP",0.0140098147497933,0.45,"AI Laggard",0.45,-0.0503687104210258,0.533583011790468,"Monitor",23,0.904127644590791,1.4
"NOW","NOW",0.0131635677622717,0.775,"AI Leader",0.775,0.179331148881465,0.55086615765085,"Monitor",24,0.917291212353062,1.32
"005380","005380",0.0112767568609809,0.475,"AI Laggard",0.475,0.24949245499447,0.562623828701913,"Emerging Unicorn Candidate",25,0.928567969214043,1.13
"TW","TW",0.0111847387790026,NA,"AI Laggard",NA,0.217605912405998,0.301665436366525,"Monitor",26,0.939752707993046,1.12
"ASML","ASML",0.0111447889151903,0.65,"AI Adopter",0.65,0.254264764580876,0.39057293250339,"Growth Candidate",27,0.950897496908236,1.11
"7974","7974",0.0110603976210711,0.425,"AI Laggard",0.425,0.0388033459894359,0.419294046319523,"Monitor",28,0.961957894529307,1.11
