"ticker","ai_concentrated_weight","ai_score"
"AMD",0.000678136630230108,0.75
"AMZN",0.0707390479327638,0.8
"DE",0.00558048372095415,0.75
"GE",0.0541490345893172,0.825
"GOOGL",0.125272715753877,0.9
"MRK",0.00133601582785522,0.8
"MSFT",0.0887431115755855,0.875
"NOW",0.0136300823923847,0.775
"NU",0.00613123786084364,0.75
"OR",0.00704576502293261,0.75
"PCOR",0.011064733965859,0.75
"PG",0.000611840728577308,0.725
"RTX",0.0376945971904516,0.8
"SAP",3.42830838086645e-06,0.9
"SE",0.0291932626941816,0.825
"SHEL",0.000104463644216136,0.725
"SHOP",0.0147955985486336,0.75
"SNOW",0.000881714392108708,0.825
"TME",9.48400305971732e-05,0.75
"TMO",0.0113784907510959,0.8
"TSM",0.0299997273692701,0.8
"TW",0.0115151989178568,0.85
"TXN",5.34339877585198e-05,0.875
