"ticker","company_name","ai_score_aggressive","revenue_growth","volatility","unicorn_tier","rd_intensity","patent_activity"
"SPOT","SPOT",88.75,0.05,0.838393128432815,"Top Unicorn Candidate",0.0798906086349354,1311
"T","T",87.5,0.05,0.915655363291631,"Top Unicorn Candidate",0.0157315720642069,6794146
"MU","MU",83.75,0.05,0.658275965600784,"Top Unicorn Candidate",0.101610573064369,100881
"NIO","NIO",83.75,0.05,0.900152120127736,"Top Unicorn Candidate",0.11678086391989,19315
"SMCI","SMCI",83.75,0.05,0.825679702365063,"Top Unicorn Candidate",0.0289709076652957,144
"TSLA","Tesla Inc.",83.75,0.05,0.591431170283638,"Top Unicorn Candidate",0.0676073270271125,807
"ORCL","ORCL",80,0.05,1.37189635538229,"Top Unicorn Candidate",0.171779996167181,26
"PFE","PFE",80,0.05,0.746316185082916,"Top Unicorn Candidate",0.163745026286774,577
"XPEV","XPEV",78.75,0.05,0.630890316807742,"Top Unicorn Candidate",0.123696701169824,0
"MFG","MFG",77.5,0.05,0.569417094300874,"Top Unicorn Candidate",0.00943188264192342,12479
"MS","MS",77.5,0.05,0.97184089157711,"Top Unicorn Candidate",0.0128797668376631,392293
"UNH","UNH",76.25,0.05,1.11853938101389,"Top Unicorn Candidate",0.00848218758221742,4827
"V","Visa Inc.",76.25,0.05,3.33204116836677,"Top Unicorn Candidate",0.00799395754757357,2962
"NVO","NVO",73.75,0.05,1.05978063101043,"Emerging Unicorn Candidate",0.138065255092796,548
"META","Meta Platforms Inc.",72.5,0.05,0.79866668642071,"Emerging Unicorn Candidate",0.009178746500385,9688
"SOFI","SOFI",71.25,0.05,0.616229735342761,"Emerging Unicorn Candidate",0.00454329478227,93
"HOOD","HOOD",70,0.05,0.756131152676575,"Emerging Unicorn Candidate",0.200536552649229,215
"HUBS","HUBS",70,0.05,0.569990733886138,"Emerging Unicorn Candidate",0.289321635402422,60
"IQ","IQ",70,0.05,0.532168111475149,"Emerging Unicorn Candidate",0.0609382477199694,40299
"NJDCY","NJDCY",68.75,0.05,1.00805828089455,"Emerging Unicorn Candidate",0.0309067406290252,0
"DIS","DIS",67.5,0.05,0.77510557513175,"Emerging Unicorn Candidate",0.0111199273203174,67502
"ICE","ICE",67.5,0.05,0.87968620304868,"Emerging Unicorn Candidate",0.0119656494066292,157258
"STNE","STNE",67.5,0.05,0.54149232669711,"Emerging Unicorn Candidate",0.00503043792139244,152
"DDOG","DDOG",65,0.05,0.576125585108541,"Emerging Unicorn Candidate",0.451817803556183,7
"FSLY","FSLY",65,0.05,1.07053096592275,"Emerging Unicorn Candidate",0.260668762760049,0
"LRCX","LRCX",65,0.05,0.532742120452438,"Emerging Unicorn Candidate",0.113714119607015,3863
"CAT","CAT",63.75,0.05,2.35503597319207,"Emerging Unicorn Candidate",0.0317803192827235,97783
"CRM","CRM",63.75,0.05,0.797099788723911,"Emerging Unicorn Candidate",0.144322697170379,565
"MCO","MCO",62.5,0.05,0.739058817934335,"Emerging Unicorn Candidate",0.00874735207762435,6293
"SFTBF","SFTBF",62.5,0.05,0.728358191411475,"Emerging Unicorn Candidate",0.01,0
"LIN","LIN",61.25,0.05,0.557803050633638,"Emerging Unicorn Candidate",0.00432531042193844,91547
"ASAN","ASAN",60,0.05,0.61041485250406,"Emerging Unicorn Candidate",0.379822611361067,560
"COIN","COIN",60,0.05,0.872420172209545,"Emerging Unicorn Candidate",0.206769085092236,802
"ABT","ABT",58.75,0.05,0.858039629737174,"Emerging Unicorn Candidate",0.0651732539252842,1010
"ANT","ANT",57.5,0.05,2.6974524923216,"Emerging Unicorn Candidate",0.011208626086695,73763
"RMSG","RMSG",56.25,0.05,1.66050699133053,"Emerging Unicorn Candidate",0.000693147180559945,1
"AFRM","AFRM",55,0.05,0.70798517173266,"Emerging Unicorn Candidate",0.200536552649229,0
"ANET","ANET",55,0.05,0.537898072084855,"Emerging Unicorn Candidate",0.13739076362748,2093
"APO","APO",53.75,0.05,0.534914847592011,"Emerging Unicorn Candidate",0.0097846477086546,17758
"BAC","BAC",52.5,0.05,1.2000725587298,"Emerging Unicorn Candidate",0.00891623773172148,7451
"CVX","CVX",52.5,0.05,0.859918687189076,"Emerging Unicorn Candidate",0.01,0
"000660","000660",48.75,0.05,0.645728253845505,"Emerging Unicorn Candidate",0.0659459935195929,0
"AMT","AMT",46.25,0.05,0.967816617303954,"Emerging Unicorn Candidate",0.00763046126178363,2059
"035720","035720",45,0.05,0.535095219749702,"Emerging Unicorn Candidate",0.0774747655958112,0
"005380","005380",42.5,0.05,0.567614988106107,"Emerging Unicorn Candidate",0.0145919127246513,0
"051910","051910",42.5,0.05,0.610159009241902,"Emerging Unicorn Candidate",0.0145702465986419,0
"AXP","AXP",41.25,0.05,1.07325991494528,"Emerging Unicorn Candidate",0.00533753807970132,207
"BILL","BILL",41.25,0.05,0.557810459179007,"Emerging Unicorn Candidate",0.00666695679242921,785
"CME","CME",41.25,0.05,1.77666419873115,"Emerging Unicorn Candidate",0.00674170069465205,846
"9984","9984",36.25,0.05,0.678692536003508,"Emerging Unicorn Candidate",0.00109861228866811,2
