"ticker","company_name","ai_score_aggressive","revenue_growth","volatility","unicorn_tier","rd_intensity","patent_activity","market_cap"
"SPOT","SPOT",88.75,0.05,0.838368967777098,"Top Unicorn Candidate",0.0798906086349354,1311,99478.2265625
"T","T",87.5,0.05,0.924655487206325,"Top Unicorn Candidate",0.0157315720642069,6794146,195779.40625
"MU","MU",83.75,0.05,0.655745443120783,"Top Unicorn Candidate",0.101610573064369,100881,425809.8125
"NIO","NIO",83.75,0.05,0.891591801759858,"Top Unicorn Candidate",0.11678086391989,19315,15019.5400390625
"SMCI","SMCI",83.75,0.05,0.815798086933819,"Top Unicorn Candidate",0.0289709076652957,144,13612.9296875
"TSLA","Tesla Inc.",83.75,0.05,0.570277013745579,"Top Unicorn Candidate",0.0676073270271125,807,1300781
"ORCL","ORCL",80,0.05,1.30165619211808,"Top Unicorn Candidate",0.171779996167181,26,4.15653991699219
"PFE","PFE",80,0.05,0.715133983497326,"Top Unicorn Candidate",0.163745026286774,577,8.86999988555908
"XPEV","XPEV",78.75,0.05,0.606684814662208,"Top Unicorn Candidate",0.123696701169824,0,16548.349609375
"MFG","MFG",77.5,0.05,0.565794931110429,"Top Unicorn Candidate",0.00943188264192342,12479,293.812591552734
"MS","MS",77.5,0.05,0.982707401421285,"Top Unicorn Candidate",0.0128797668376631,392293,7.85862016677856
"UNH","UNH",76.25,0.05,1.13084478638585,"Top Unicorn Candidate",0.00848218758221742,4827,279319.09375
"V","Visa Inc.",76.25,0.05,3.33598985091442,"Top Unicorn Candidate",0.00799395754757357,2962,49.223201751709
"LI","LI",73.75,0.05,0.574232066255845,"Emerging Unicorn Candidate",0.100745223299299,849932,19779.58984375
"NVO","NVO",73.75,0.05,1.06427956279852,"Emerging Unicorn Candidate",0.138065255092796,548,123107
"META","Meta Platforms Inc.",72.5,0.05,0.802967063773821,"Emerging Unicorn Candidate",0.009178746500385,9688,390.668395996094
"SOFI","SOFI",71.25,0.05,0.602204703588189,"Emerging Unicorn Candidate",0.00454329478227,93,20544.5
"HOOD","HOOD",70,0.05,0.721962803163614,"Emerging Unicorn Candidate",0.200536552649229,215,62706.48046875
"HUBS","HUBS",70,0.05,0.566806351580583,"Emerging Unicorn Candidate",0.289321635402422,60,12004.26953125
"IQ","IQ",70,0.05,0.527872770899973,"Emerging Unicorn Candidate",0.0609382477199694,40299,1273.8330078125
"NJDCY","NJDCY",68.75,0.05,1.01249288417029,"Emerging Unicorn Candidate",0.0309067406290252,0,15952.7001953125
"DIS","DIS",67.5,0.05,0.786959902670123,"Emerging Unicorn Candidate",0.0111199273203174,67502,169676.203125
"ICE","ICE",67.5,0.05,0.879207972146753,"Emerging Unicorn Candidate",0.0119656494066292,157258,492.19189453125
"STNE","STNE",67.5,0.05,0.542124824034666,"Emerging Unicorn Candidate",0.00503043792139244,152,3388.63598632812
"DDOG","DDOG",65,0.05,0.571318703617445,"Emerging Unicorn Candidate",0.451817803556183,7,41237.828125
"FSLY","FSLY",65,0.05,1.07768873119984,"Emerging Unicorn Candidate",0.260668762760049,0,4796.8798828125
"CAT","CAT",63.75,0.05,2.33502829730601,"Emerging Unicorn Candidate",0.0317803192827235,97783,337072.8125
"CRM","CRM",63.75,0.05,0.79956192476568,"Emerging Unicorn Candidate",0.144322697170379,565,168872.09375
"MCO","MCO",62.5,0.05,0.76372634723196,"Emerging Unicorn Candidate",0.00874735207762435,6293,77965.703125
"SFTBF","SFTBF",62.5,0.05,0.729700149223213,"Emerging Unicorn Candidate",0.01,0,127522.203125
"LIN","LIN",61.25,0.05,0.570414168220104,"Emerging Unicorn Candidate",0.00432531042193844,91547,229190.09375
"COIN","COIN",60,0.05,0.875943626836769,"Emerging Unicorn Candidate",0.206769085092236,802,46260.69140625
"ABT","ABT",58.75,0.05,0.812216472812905,"Emerging Unicorn Candidate",0.0651732539252842,1010,176947.40625
"ANT","ANT",57.5,0.05,2.71776316402615,"Emerging Unicorn Candidate",0.011208626086695,73763,2.57730007171631
"ASAN","ASAN",56.25,0.05,0.550203971390693,"Emerging Unicorn Candidate",0.379822611361067,560,1476.14599609375
