"ticker","company_name","fund_weight","ai_score","ai_label","innovation_score","revenue_growth","volatility","unicorn_tier","in_portfolio","rank","cumulative_weight","weight_pct"
"GOOGL","Alphabet Inc.",0.125272715753877,0.9,"AI Leader",0.9,0.05,0.30383375687982,"Monitor",TRUE,1,0.125272715753877,12.53
"MSFT","Microsoft Corp.",0.0887431115755855,0.875,"AI Leader",0.875,0.05,0.260832245368288,"Monitor",TRUE,2,0.214015827329463,8.87
"AMZN","Amazon.com Inc.",0.0707390479327638,0.8,"AI Leader",0.8,0.05,0.351456770456511,"Monitor",TRUE,3,0.284754875262226,7.07
"NVDA","NVIDIA Corp.",0.0571002108847831,0.7,"AI Adopter",0.7,0.05,0.428008529392873,"Growth Candidate",TRUE,4,0.341855086147009,5.71
"GE","GE",0.0541490345893172,0.825,"AI Leader",0.825,0.05,0.296856100750808,"Monitor",TRUE,5,0.396004120736327,5.41
"META","Meta Platforms Inc.",0.0513280285822061,0.575,"AI Follower",0.575,0.05,0.79866668642071,"Emerging Unicorn Candidate",TRUE,6,0.447332149318533,5.13
"V","Visa Inc.",0.0465020556151788,0.55,"AI Follower",0.55,0.05,3.33204116836677,"Top Unicorn Candidate",TRUE,7,0.493834204933712,4.65
"RTX","RTX",0.0376945971904516,0.8,"AI Leader",0.8,0.05,0.296349331983209,"Monitor",TRUE,8,0.531528802124163,3.77
"000660","000660",0.0354536893625898,0.4,"AI Laggard",0.4,0.05,0.645728253845505,"Emerging Unicorn Candidate",TRUE,9,0.566982491486753,3.55
"005930","005930",0.0352199407395733,0.45,"AI Laggard",0.45,0.05,0.473337149628956,"Growth Candidate",TRUE,10,0.602202432226326,3.52
"AVGO","AVGO",0.0345542103999624,0.525,"AI Laggard",0.525,0.05,0.480479433807571,"Growth Candidate",TRUE,11,0.636756642626289,3.46
"MCO","MCO",0.0313875949629742,0.525,"AI Follower",0.525,0.05,0.739058817934335,"Emerging Unicorn Candidate",TRUE,12,0.668144237589263,3.14
"JBL","JBL",0.0307508030677949,0.425,"AI Laggard",0.425,0.05,0.436087150807298,"Growth Candidate",TRUE,13,0.698895040657058,3.08
"COIN","COIN",0.0303627377236159,0.55,"AI Follower",0.55,0.05,0.872420172209545,"Emerging Unicorn Candidate",TRUE,14,0.729257778380674,3.04
"TSM","TSM",0.0299997273692701,0.8,"AI Leader",0.8,0.05,0.388765845626752,"Monitor",TRUE,15,0.759257505749944,3
"SE","SE",0.0291932626941816,0.825,"AI Leader",0.825,0.05,0.402052263719611,"Monitor",TRUE,16,0.788450768444125,2.92
"SPGI","SPGI",0.023210719489641,0.7,"AI Adopter",0.7,0.05,0.298357777336238,"Growth Candidate",TRUE,17,0.811661487933766,2.32
