"ticker","ai_score","innovation_score","anomaly_score","strategic_profile"
"AMD",0.8,0.8,1,"AI Pioneer"
"T",0.7,0.7,0.992336080068977,"Balanced Performer"
"005930",0.45,0.45,0.945867695010216,"Underperformer"
"000660",0.4,0.4,0.755403112016906,"Underperformer"
"OR",0.7,0.7,0.665043915664494,"Balanced Performer"
"V",0.55,0.55,0.658662666395776,"Underperformer"
"005380",0.325,0.325,0.583295531842069,"Underperformer"
"CAT",0.625,0.625,0.458622518216379,"Underperformer"
"207940",0.35,0.35,0.438041075928654,"Underperformer"
"CME",0.325,0.325,0.407599720069143,"Underperformer"
"SE",0.825,0.825,0.351737296363316,"AI Pioneer"
"9984",0.25,0.25,0.349879384544882,"Underperformer"
"MA",0.65,0.65,0.347314031050645,"Balanced Performer"
"LI",0.675,0.675,0.344879539418653,"Balanced Performer"
"DDOG",0.525,0.525,0.318997334756674,"Underperformer"
"SNOW",0.825,0.825,0.31859305067561,"AI Pioneer"
