"ticker","ai_score","innovation_score","ai_quartile","innovation_quartile","ai_label","innovation_label","in_portfolio"
"000660",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"005380",0.425,0.425,1,1,"AI Laggard","Emerging",TRUE
"005930",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"035420",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"035720",0.5,0.5,1,1,"AI Laggard","Emerging",TRUE
"051910",0.325,0.325,1,1,"AI Laggard","Emerging",TRUE
"207940",0.4,0.4,1,1,"AI Laggard","Emerging",TRUE
"6501",0.35,0.35,1,1,"AI Laggard","Emerging",TRUE
"7974",0.5,0.5,1,1,"AI Laggard","Emerging",TRUE
"8TRA",0.425,0.425,1,1,"AI Laggard","Emerging",TRUE
"9984",0.35,0.35,1,1,"AI Laggard","Emerging",TRUE
"AAPL",0.825,0.825,4,4,"AI Leader","Leader",TRUE
"ABBV",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"ABT",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"ADBE",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"AFRM",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"AMAT",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"AMD",0.95,0.95,4,4,"AI Leader","Leader",TRUE
"AMT",0.45,0.45,1,1,"AI Laggard","Emerging",TRUE
"AMZN",0.9,0.9,4,4,"AI Leader","Leader",TRUE
"ANET",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"ANT",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"APD",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"APH",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"APO",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"ARES",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"ASAN",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"ASML",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"AVGO",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"AXP",0.425,0.425,1,1,"AI Laggard","Emerging",TRUE
"AZN",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"BA",0.725,0.725,3,3,"AI Adopter","Strong",TRUE
"BABA",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"BAC",0.575,0.575,2,2,"AI Follower","Developing",TRUE
"BAM",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"BIDU",0.525,0.525,1,1,"AI Laggard","Emerging",FALSE
"BILI",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"BILL",0.375,0.375,1,1,"AI Laggard","Emerging",TRUE
"BIO",0.775,0.775,4,4,"AI Leader","Leader",TRUE
"BP",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"BX",0.525,0.525,2,2,"AI Follower","Developing",TRUE
"CAJPY",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"CAT",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"CBOE",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"CME",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"COIN",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"CRM",0.575,0.575,2,2,"AI Follower","Developing",TRUE
"CRWD",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"CSCO",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"CVX",0.325,0.325,1,1,"AI Laggard","Emerging",TRUE
"DDOG",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"DE",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"DIS",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"DOCU",0.775,0.775,4,4,"AI Leader","Leader",TRUE
"DUK",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"FSLY",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"GE",0.775,0.775,4,4,"AI Leader","Leader",TRUE
"GOOGL",1,1,4,4,"AI Leader","Leader",TRUE
"GRAB",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"GS",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"HD",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"HMC",0.375,0.375,1,1,"AI Laggard","Emerging",FALSE
"HOOD",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"HSBC",0.525,0.525,1,1,"AI Laggard","Emerging",FALSE
"HTHIY",0.425,0.425,1,1,"AI Laggard","Emerging",FALSE
"HUBS",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"IBM",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"IBN",0.525,0.525,1,1,"AI Laggard","Emerging",FALSE
"ICE",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"INF",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"INFY",0.4,0.4,1,1,"AI Laggard","Emerging",TRUE
"INTC",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"IQ",0.675,0.675,3,3,"AI Adopter","Strong",FALSE
"J",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"JBL",0.425,0.425,1,1,"AI Laggard","Emerging",TRUE
"JD",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"JNJ",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"JPM",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"KKR",0.3,0.3,1,1,"AI Laggard","Emerging",TRUE
"KO",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"KSPI",0.5,0.5,1,1,"AI Laggard","Emerging",TRUE
"LI",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"LIN",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"LLY",0.825,0.825,4,4,"AI Leader","Leader",TRUE
"LMT",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"LRCX",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"MA",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"MC",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"MCD",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"MCO",0.625,0.625,2,2,"AI Follower","Developing",TRUE
"MELI",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"META",0.475,0.475,1,1,"AI Laggard","Emerging",TRUE
"MFG",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"MITSY",0.525,0.525,2,2,"AI Follower","Developing",FALSE
"MKTX",0.525,0.525,1,1,"AI Laggard","Emerging",TRUE
"MMM",0.375,0.375,1,1,"AI Laggard","Emerging",TRUE
"MQ",0.525,0.525,2,2,"AI Follower","Developing",TRUE
"MRK",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"MS",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"MSCI",0.725,0.725,4,4,"AI Leader","Leader",TRUE
"MSFT",0.925,0.925,4,4,"AI Leader","Leader",TRUE
"MU",0.775,0.775,4,4,"AI Leader","Leader",TRUE
"NDAQ",0.575,0.575,2,2,"AI Follower","Developing",TRUE
"NEE",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"NET",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"NFLX",0.725,0.725,3,3,"AI Adopter","Strong",TRUE
"NIO",0.775,0.775,4,4,"AI Leader","Leader",FALSE
"NJDCY",0.5,0.5,1,1,"AI Laggard","Emerging",FALSE
"NOW",0.825,0.825,4,4,"AI Leader","Leader",TRUE
"NSRGY",0.55,0.55,2,2,"AI Follower","Developing",FALSE
"NTES",0.825,0.825,4,4,"AI Leader","Leader",FALSE
"NTRS",0.625,0.625,3,3,"AI Adopter","Strong",TRUE
"NU",0.8,0.8,4,4,"AI Leader","Leader",TRUE
"NVDA",0.75,0.75,4,4,"AI Leader","Leader",TRUE
"NVO",0.575,0.575,2,2,"AI Follower","Developing",FALSE
"NVS",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"OKTA",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"OR",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"ORCL",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"PAGS",0.4,0.4,1,1,"AI Laggard","Emerging",TRUE
"PANW",0.725,0.725,3,3,"AI Adopter","Strong",TRUE
"PCOR",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"PDD",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"PFE",0.6,0.6,2,2,"AI Follower","Developing",TRUE
"PG",0.625,0.625,3,3,"AI Adopter","Strong",TRUE
"PYPL",0.55,0.55,2,2,"AI Follower","Developing",TRUE
"QCOM",0.725,0.725,3,3,"AI Adopter","Strong",TRUE
"RELIANCE",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"RKUNY",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"RMSG",0.35,0.35,1,1,"AI Laggard","Emerging",FALSE
"RTX",0.7,0.7,3,3,"AI Adopter","Strong",TRUE
"SAIL",0.6,0.6,2,2,"AI Follower","Developing",FALSE
"SAP",0.95,0.95,4,4,"AI Leader","Leader",TRUE
"SE",0.725,0.725,3,3,"AI Adopter","Strong",TRUE
"SFTBF",0.425,0.425,1,1,"AI Laggard","Emerging",TRUE
"SHEL",0.675,0.675,3,3,"AI Adopter","Strong",TRUE
"SHOP",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
"SIEGY",0.55,0.55,2,2,"AI Follower","Developing",FALSE
"SMCAY",0.475,0.475,1,1,"AI Laggard","Emerging",FALSE
"SMCI",0.625,0.625,3,3,"AI Adopter","Strong",TRUE
"SMFG",0.525,0.525,2,2,"AI Follower","Developing",FALSE
"SNOW",0.825,0.825,4,4,"AI Leader","Leader",TRUE
"SNPS",0.4,0.4,1,1,"AI Laggard","Emerging",TRUE
"SNY",0.75,0.75,4,4,"AI Leader","Leader",FALSE
"SOFI",0.425,0.425,1,1,"AI Laggard","Emerging",TRUE
"SONY",0.75,0.75,4,4,"AI Leader","Leader",FALSE
"SPGI",0.65,0.65,3,3,"AI Adopter","Strong",TRUE
