"ticker","quality_innovators_weight","innovation_score","volatility"
"AAPL",0.0281287392211753,0.825,0.316127685529451
"ADBE",0.00391805969156749,0.75,0.315271951747013
"AMD",0.000658308526706348,0.95,0.410528503504417
"AMZN",0.0757636055863943,0.9,0.349818952227981
"AZN",0.00570647219189831,0.75,0.243848692515908
"GE",0.0488732157935681,0.775,0.302699912206562
"GOOGL",0.135919370650644,1,0.300851950456231
"MSCI",1.77887357288551e-05,0.725,0.294904763479489
"MSFT",0.090787427315594,0.925,0.246142324486826
"NU",0.00557864284571446,0.8,0.409419652730317
"SAP",3.09462966494123e-06,0.95,0.385530081779062
"TSM",0.0276493410395827,0.8,0.384218952633134
"TW",0.011052718681268,0.85,0.304528324875364
"TXN",4.2044377095379e-05,0.825,0.409564624222305
