"ticker","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","innovation_score","ai_score"
"000660",0,0,0,0.55,0.55
"005380",0,0,0,0.425,0.425
"005930",0,0,0,0.55,0.55
"035420",0,0,0,0.625,0.625
"035720",0,0,0,0.5,0.5
"051910",0,0,0,0.325,0.325
"207940",0,0,0,0.4,0.4
"6501",0,0,0,0.35,0.35
"7974",0,0,0,0.5,0.5
"8TRA",0,0,0,0.425,0.425
"9984",0,0,0,0.35,0.35
"AAPL",0.0281287392211753,0.0281287392211753,0.0281287392211753,0.825,0.825
"ABBV",-0.00123756193354994,-0.00123756193354994,-0.00123756193354994,0.8,0.8
"ABT",0,0,0,0.55,0.55
"ADBE",0.00391805969156749,0.00391805969156749,0.00391805969156749,0.75,0.75
"AFRM",0,0,0,0.625,0.625
"AMAT",0,0,0,0.625,0.625
"AMD",0.000658308526706348,0.000658308526706348,0.000658308526706348,0.95,0.95
"AMT",0,0,0,0.45,0.45
"AMZN",0.0757636055863943,0.0757636055863943,0.0757636055863943,0.9,0.9
"ANET",0,0.00040596130615893,0.00040596130615893,0.75,0.75
"APD",0,0,0,0.525,0.525
"APH",0,0,4.27012888897643e-05,0.65,0.65
"APO",0,-0.00268062532566761,-0.00268062532566761,0.75,0.75
"ARES",0,0,0,0.6,0.6
"ASAN",0,0,2.52231651803547e-05,0.7,0.7
"ASML",0,0,0.009645770000363,0.7,0.7
"AVGO",0,0,0.0356365368986958,0.675,0.675
"AXP",0,0,0,0.425,0.425
"AZN",0.00570647219189831,0.00570647219189831,0.00570647219189831,0.75,0.75
"BA",0,0,-0.000792491815562502,0.725,0.725
"BABA",0,0,0,0.55,0.55
"BAC",0,0,0,0.575,0.575
"BAM",0,0,-0.000173517478069256,0.7,0.7
"BILI",0,0,2.18013912021487e-11,0.7,0.7
"BILL",0,0,0,0.375,0.375
"BIO",0,-0.0012233725952584,-0.0012233725952584,0.775,0.775
"BP",0,0,0,0.6,0.6
"BX",0,0,0,0.525,0.525
"CAT",0,0,0,0.625,0.625
"CBOE",0,0,0,0.625,0.625
"CME",0,0,0,0.475,0.475
"COIN",0,0,0.0237890748476674,0.65,0.65
"CRM",0,0,0,0.575,0.575
"CRWD",0,-0.000753335215090873,-0.000753335215090873,0.75,0.75
"CSCO",-0.00129095103544479,-0.00129095103544479,-0.00129095103544479,0.75,0.75
"CVX",0,0,0,0.325,0.325
"DDOG",0,0,0,0.625,0.625
"DE",0,0,0.00472798594542009,0.7,0.7
"DIS",0,0,0,0.55,0.55
"DOCU",0,5.34806377578142e-05,5.34806377578142e-05,0.775,0.775
"DUK",0,0,-0.00214945824140979,0.65,0.65
"FSLY",0,0,0,0.625,0.625
"GE",0.0488732157935681,0.0488732157935681,0.0488732157935681,0.775,0.775
"GOOGL",0.135919370650644,0.135919370650644,0.135919370650644,1,1
"GRAB",0,0,0.00616630637556258,0.675,0.675
"GS",0,0,0.000754817021376448,0.7,0.7
"HD",0,0,-0.00077159452109594,0.675,0.675
"HOOD",0,0,0.00601018166279522,0.7,0.7
"HUBS",0,0,5.73134998743048e-05,0.7,0.7
