"ticker","innovation_score","ai_score_phase2","ai_quartile_phase2","ai_rd_efficiency","ai_patent_momentum","ai_industry_exposure","ai_profile","efficiency_rating","momentum_rating"
NA,40,100,4,75.5204678362573,0.999941523887492,1,"AI Leader",1,2
"SYN001",35.9,22.2,1,2018263.92204111,1.36834103268815,0.9,"AI Laggard",1,2
"SYN002",26.3,48.1,4,6801017.94564129,0.444425451903765,1.3,"AI Follower",2,1
"SYN003",34.8,68.2,4,87871739.5475667,0.0673012210364388,1.3,"AI Adopter",3,1
"SYN004",34,36.7,3,8244674.25425364,26.6761768901569,1.2,"AI Follower",2,3
"SYN005",11,33.4,2,11732640.14983,0.208544997593712,1.1,"AI Follower",3,1
"SYN006",22.5,24.4,1,17059188.8468997,1.38426044603948,0.9,"AI Laggard",3,2
"SYN007",39.4,51.6,4,8775995.37696482,3.53638215145343,1.3,"AI Adopter",2,3
"SYN008",18.2,35.6,3,10071933.3111089,0.267001727658238,1.1,"AI Follower",3,1
"SYN009",30.2,47,4,8452187.01115724,2.13683591452656,1.2,"AI Follower",2,3
"SYN010",22,29.4,2,25283322.6792739,0.605449041372351,1.1,"AI Laggard",3,1
"SYN011",52.5,37.8,3,2666166.56421871,3.75700651416452,1,"AI Follower",1,3
"SYN012",26.1,86.2,4,1011262782.19442,0.00403209548002097,1.2,"AI Leader",3,1
"SYN013",35.4,52.9,4,32841757.4263355,46.5346534653465,1.2,"AI Adopter",3,3
"SYN014",51.5,44.9,4,1281874.86467621,5.97745160604127,1.2,"AI Follower",1,3
"SYN015",57,41.5,3,8632663.08590687,0.818476210811003,0.9,"AI Follower",2,2
"SYN016",31.8,32.2,2,7775285.28668122,1.06951871657754,1,"AI Follower",2,2
"SYN017",43.4,53.6,4,13619093.3855925,0.308930531279216,0.9,"AI Adopter",3,1
"SYN018",19,21.6,1,6961275.56544463,0.460465728193659,0.9,"AI Laggard",2,1
"SYN019",32.7,32,2,28163729.1640042,1.14253070551271,0.9,"AI Follower",3,2
"SYN020",27.7,20.4,1,602135.506358796,3.14921269682579,1,"AI Laggard",1,3
"SYN021",24.4,52.9,4,17347249.1541475,0.872946591540354,1,"AI Adopter",3,2
"SYN022",4.8,18.2,1,586945.710395095,0.390873556949368,0.9,"AI Laggard",1,1
"SYN023",38.6,34.9,3,7395453.6144007,3.62706347361079,0.9,"AI Follower",2,3
"SYN024",53.4,35.9,3,6630769.23362991,1.43580539708993,0.9,"AI Follower",2,3
"SYN025",42.2,84.1,4,11458964.3949982,0.147314852015535,1.3,"AI Leader",3,1
"SYN026",18.8,21.2,1,5359030.32258287,3.3626173886701,0.9,"AI Laggard",2,3
"SYN027",8.4,18.1,1,13351139.0781739,0.603549229799117,0.9,"AI Laggard",3,1
"SYN028",47,27.3,2,2912621.13091062,4.01432621996717,0.9,"AI Laggard",1,3
"SYN029",29.5,37.8,3,41075928.8021362,0.118954685699416,1,"AI Follower",3,1
