ticker,Tot.Ret.Idx.Gross,Last.Price,Volume,market_cap,rd_expense,patent_activity,Number.of.Employees,GM,revenue_growth,Volatil.360D,analyst_rating,industry,Tot...Hldg.in.Port,Top.10.as.of.Dt,BEst.Target.Px,Rec.Consensus,Earnings.Conference.Call.Date,Tot.Analyst.Rec,news_sentiment,Percent.Change.in.Institutional.Holdings,Shrt.Int,fund_id,fund_name,fund_weight,dumac_allocation,as_of_date,shares_held,position_value,fund_weight_raw,abs_weight
MSFT US,493.2,493.823,4450772,3670000000000,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),5.98094e-4,0.013157895,12/31/2024,242.9198977,2144541.16,5.98094e-4,5.98094e-4
MSFT US,493.2,493.823,4450772,3670000000000,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),0.005139171,0.013157895,12/31/2024,1402.539825,709685.1515,0.005139171,0.005139171
MSFT US,493.2,493.823,4450772,3670000000000,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),-3.94038e-4,0.013157895,12/31/2024,-242.9198977,-1513359.899,-3.94038e-4,3.94038e-4
MSFT US,493.2,493.823,4450772,3670000000000,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:461753,The Children's Investment Fund,0.11,0.013157895,12/31/2024,47031.07031,24402913.84,0.11,0.11
MSFT US,493.2,493.823,4450772,3670000000000,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:2184853,"BWCP, LP (Blackwell Series - A)",0.059156724,0.013157895,12/31/2024,15800.45265,7995029.043,0.059156724,0.059156724
MSFT US,493.2,493.823,4450772,3670000000000,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:1257479,Gladstone Capital Management LLP (Blackwell - Series E),0.077235075,0.013157895,12/31/2024,33809.91641,17107817.7,0.077235075,0.077235075
MSFT US,493.2,493.823,4450772,3670000000000,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:2198791,Stony Point Capital LLC (Blackwell - Series E),0.052741388,0.013157895,12/31/2024,11283.63561,5709519.617,0.052741388,0.052741388
MSFT US,493.2,493.823,4450772,3670000000000,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:461839,"Bridgewater Pure Alpha Fund II, Ltd.",0.005517799,0.013157895,12/31/2024,0.002805354,724428.6794,0.005517799,0.005517799
MSFT US,493.2,493.823,4450772,3670000000000,32488,NA,228000,68.82374239,14.93215623,23.51003645,4.931506634,Software & Services,NA,#N/A Field Not Applicable,630.7750244,4.931506634,#N/A N/A,73,-0.001345312,1.229377542,52549516,bf:3356011,Numerai GP LLC (Blackwell - Series A),0.002918905,0.013157895,12/31/2024,722.4415022,365555.4001,0.002918905,0.002918905
BABA US,160.13,160.435,2451277,382000000000,57151,NA,124320,39.95214519,5.862821515,46.62626311,4.840000153,Consumer Discretionary Distrib,NA,#N/A Field Not Applicable,201.7665863,4.840000153,11/25/2025,50,-0.007304744,-0.892945676,41333243,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),-0.032686206,0.013157895,12/31/2024,-27209.27261,-4513746.233,-0.032686206,0.032686206
BABA US,160.13,160.435,2451277,382000000000,57151,NA,124320,39.95214519,5.862821515,46.62626311,4.840000153,Consumer Discretionary Distrib,NA,#N/A Field Not Applicable,201.7665863,4.840000153,11/25/2025,50,-0.007304744,-0.892945676,41333243,bf:1639201,Discerene Group LP (Blackwell - Series A),0.168267867,0.013157895,12/31/2024,92061.59209,15272097.51,0.168267867,0.168267867
