"company_id","company_name","innovation_quartile","DAII_3.5_Score","strategy","final_weight"
"0170016D US","0170016D US","Q2",33.305133490012,"equal_weight_quartile",0.0208333333333333
"035420 KS","035420 KS","Q2",40.9523829584772,"equal_weight_quartile",0.0208333333333333
"ABBV US","ABBV US","Q4",87.3017133837011,"equal_weight_quartile",0.0192307692307692
"AIEQ US","AIEQ US","Q4",70.9644703318552,"equal_weight_quartile",0.0192307692307692
"AMAT US","AMAT US","Q3",41.5770189882279,"equal_weight_quartile",0.0208333333333333
"ANET US","ANET US","Q3",45.3847704069706,"equal_weight_quartile",0.0208333333333333
"APH US","APH US","Q2",37.0546888125973,"equal_weight_quartile",0.0208333333333333
"ARES US","ARES US","Q2",34.0045212923827,"equal_weight_quartile",0.0208333333333333
"ASAN US","ASAN US","Q1",25.7307808251386,"equal_weight_quartile",0.0192307692307692
"BABA US","BABA US","Q3",43.1904254168411,"equal_weight_quartile",0.0208333333333333
"BIDU US","BIDU US","Q1",12.8142339239876,"equal_weight_quartile",0.0192307692307692
"BLK US","BLK US","Q3",42.2196517666519,"equal_weight_quartile",0.0208333333333333
"BX US","BX US","Q4",56.4499525531634,"equal_weight_quartile",0.0192307692307692
"CAT US","CAT US","Q1",28.9108188309048,"equal_weight_quartile",0.0192307692307692
"CME US","CME US","Q1",29.1723199269877,"equal_weight_quartile",0.0192307692307692
"COIN US","COIN US","Q4",64.8676807483634,"equal_weight_quartile",0.0192307692307692
"CRWD US","CRWD US","Q3",48.9302109201354,"equal_weight_quartile",0.0208333333333333
"CSCO US","CSCO US","Q2",35.6501507520554,"equal_weight_quartile",0.0208333333333333
"DOCU US","DOCU US","Q2",36.2048606993803,"equal_weight_quartile",0.0208333333333333
"EADSY US","EADSY US","Q1",30.8135821892754,"equal_weight_quartile",0.0192307692307692
"JBL US","JBL US","Q1",18.2677802047834,"equal_weight_quartile",0.0192307692307692
"KO US","KO US","Q4",82.0642007957403,"equal_weight_quartile",0.0192307692307692
"KSPI US","KSPI US","Q3",50.0413173931341,"equal_weight_quartile",0.0208333333333333
"KYCCF US","KYCCF US","Q3",41.4471786930528,"equal_weight_quartile",0.0208333333333333
"LRCX US","LRCX US","Q3",43.1291979643589,"equal_weight_quartile",0.0208333333333333
"MA US","MA US","Q1",29.1942987079319,"equal_weight_quartile",0.0192307692307692
"MARUY US","MARUY US","Q3",45.3950804399206,"equal_weight_quartile",0.0208333333333333
"MC US","MC US","Q3",45.0915990573849,"equal_weight_quartile",0.0208333333333333
"MCD US","MCD US","Q2",33.5636747758958,"equal_weight_quartile",0.0208333333333333
"MCO US","MCO US","Q1",30.1449216288886,"equal_weight_quartile",0.0192307692307692
"MFG US","MFG US","Q2",32.9300830020466,"equal_weight_quartile",0.0208333333333333
"MQ US","MQ US","Q1",17.6088792583499,"equal_weight_quartile",0.0192307692307692
"MSBHF US","MSBHF US","Q4",62.8352712387127,"equal_weight_quartile",0.0192307692307692
"MSFT US","MSFT US","Q3",47.624504177863,"equal_weight_quartile",0.0208333333333333
