"ticker","fund_weight","strategy_weight","innovation_score","ai_intensity_score","strategic_position"
NA,5.79702849401973,0.898694263999463,31.4,40.6,"AI Specialist (Low Overall)"
"SYN130",0.0467203398954589,0.00888414907923599,41.7,49.8,"AI-Focused Leader"
"SYN067",0.0497732398610096,0.00364903173858198,44.8,19.2,"AI-Focused Leader"
"SYN190",0.0404115189830773,0.00362621490248781,52.6,23.5,"AI-Focused Leader"
"SYN062",0.0473328300588764,0.00356048531821097,41.3,19.7,"AI-Focused Leader"
"SYN134",0.0345206187961157,0.00351941381544532,34.8,26.7,"Balanced"
"SYN180",0.0458840271739755,0.00338142172384715,44.4,19.3,"AI-Focused Leader"
"SYN178",0.0490373431649059,0.00337038829909203,52.2,18,"AI-Focused Leader"
"SYN101",0.0396545284762979,0.0031948887977836,34.8,21.1,"Balanced"
"SYN002",0.0403614739950281,0.0031593764778683,32,20.5,"Balanced"
"SYN138",0.0404286772024352,0.00305657617187568,38.7,19.8,"Balanced"
"SYN150",0.0367284659252036,0.00291706848429291,49.3,20.8,"AI-Focused Leader"
"SYN153",0.034077745243907,0.00290172476399456,14.5,22.3,"AI Specialist (Low Overall)"
"SYN095",0.0427499462766573,0.00287295446214325,32.4,17.6,"Balanced"
"SYN079",0.0334006772092544,0.0028568260139027,31.7,22.4,"Balanced"
"SYN141",0.0395092254166957,0.00283620008546112,28.6,18.8,"AI Specialist (Low Overall)"
"SYN077",0.0365686200568452,0.00270888646540447,23.5,19.4,"AI Specialist (Low Overall)"
"SYN054",0.039130727333948,0.00268949614781913,53.6,18,"AI-Focused Leader"
"SYN132",0.0318201903679874,0.00267304306397088,32.9,22,"Balanced"
"SYN004",0.0359546826540027,0.00243001652744488,38.4,17.7,"Balanced"
"SYN133",0.0290275845599826,0.00240519966045311,57.3,21.7,"AI-Focused Leader"
"SYN102",0.0335125579186715,0.0023417426642983,16.1,18.3,"AI Specialist (Low Overall)"
"SYN158",0.0291322827502154,0.00230263638597881,31.8,20.7,"Balanced"
"SYN082",0.0296642754087225,0.00215212675509726,23.3,19,"AI Specialist (Low Overall)"
"SYN021",0.0224459631345235,0.0019884136294753,39.4,23.2,"AI-Focused Leader"
"SYN088",0.029037023777375,0.00195139536524096,44.6,17.6,"AI-Focused Leader"
"SYN117",0.0206392788884696,0.00186776987585558,61,23.7,"AI-Focused Leader"
"SYN012",0.0158422355814837,0.00183290348433339,4.6,30.3,"AI Specialist (Low Overall)"
"SYN127",0.0218017406945583,0.00178149843191841,42.4,21.4,"AI-Focused Leader"
"SYN172",0.0231277754320763,0.0017220627564999,42.4,19.5,"AI-Focused Leader"
"SYN131",0.023615111512132,0.00165916021352269,59,18.4,"AI-Focused Leader"
"SYN169",0.0213164286436513,0.00161161067762435,23.3,19.8,"AI Specialist (Low Overall)"
"SYN069",0.0136299583965447,0.00137397540364494,36.5,26.4,"Balanced"
"SYN080",0.0183980512220878,0.00135584371970962,18.3,19.3,"AI Specialist (Low Overall)"
"SYN115",0.0156268876122776,0.00116952379203195,23.8,19.6,"AI Specialist (Low Overall)"
"SYN007",0.0144829543246888,0.00110050175275885,33.2,19.9,"Balanced"
"SYN157",0.014462616112316,0.00108238915246879,36.6,19.6,"Balanced"
"SYN119",0.0130738245376851,0.000913554040838814,16,18.3,"AI Specialist (Low Overall)"
"SYN046",0.0103103166001383,0.000862177365791503,48.4,21.9,"AI-Focused Leader"
"SYN083",0.0105963241341524,0.000837541009680894,25.6,20.7,"AI Specialist (Low Overall)"
"SYN013",0.0115408542423975,0.000810842082164777,24.5,18.4,"AI Specialist (Low Overall)"
"SYN114",0.00924756227061152,0.00071680958418178,34.9,20.3,"Balanced"
"SYN166",0.0102949536996894,0.000695789972067519,46.4,17.7,"AI-Focused Leader"
"SYN025",0.00574603071273305,0.000688934751578772,30.6,31.4,"AI Specialist (Low Overall)"
"SYN049",0.00559797845268622,0.000410405292136747,30.3,19.2,"AI Specialist (Low Overall)"
"SYN045",0.00504396498086862,0.000367862849907588,28.6,19.1,"AI Specialist (Low Overall)"
"SYN110",0.00431017422839068,0.00034561662242775,38.5,21,"Balanced"
"SYN116",0.00288785109948367,0.000259133260927379,39.4,23.5,"AI-Focused Leader"
"SYN003",0.00301533912937157,0.000253302423777939,18.5,22,"AI Specialist (Low Overall)"
"SYN120",0.00212837726064026,0.00015685068528059,24.4,19.3,"AI Specialist (Low Overall)"
