"ticker","fund_weight","strategy_weight","innovation_score","ai_intensity_score","strategic_position"
NA,5.79702849401973,0.688344131423982,31.4,40.6,"AI Specialist (Low Overall)"
"SYN130",0.0467203398954589,0.00710689102445894,41.7,49.8,"AI-Focused Leader"
"SYN028",0.049281359387096,0.00708944444201677,60.9,14.9,"Balanced"
"SYN178",0.0490373431649059,0.00639372282176623,52.2,18,"AI-Focused Leader"
"SYN156",0.0474167908919044,0.00615995760086669,55.3,13,"General Innovator (Low AI)"
"SYN016",0.0453218468402047,0.00615166342290993,55.9,16.4,"Balanced"
"SYN030",0.049422497597523,0.00584839513688098,50.4,11.8,"General Innovator (Low AI)"
"SYN067",0.0497732398610096,0.00582250994683444,44.8,19.2,"AI-Focused Leader"
"SYN190",0.0404115189830773,0.00560280770601713,52.6,23.5,"AI-Focused Leader"
"SYN113",0.0456878972195555,0.00548687890805009,47.8,17,"Balanced"
"SYN170",0.0424530422918033,0.00535129736700941,51.8,15.4,"Balanced"
"SYN180",0.0458840271739755,0.00533648481320582,44.4,19.3,"AI-Focused Leader"
"SYN047",0.0416826331554912,0.00532190876010379,52.2,16,"Balanced"
"SYN062",0.0473328300588764,0.00523262060156025,41.3,19.7,"AI-Focused Leader"
"SYN054",0.039130727333948,0.00521331065111244,53.6,18,"AI-Focused Leader"
"SYN188",0.0494764320286922,0.00511790614640412,42.2,13.1,"General Innovator (Low AI)"
"SYN135",0.0472961643289309,0.00496922004342008,43.6,12.2,"General Innovator (Low AI)"
"SYN192",0.0410756504400633,0.00492184922747107,49.8,13.8,"Balanced"
"SYN107",0.0476912895103451,0.00488482020602428,41.9,12.8,"General Innovator (Low AI)"
"SYN154",0.0488474574438296,0.0048378999128411,42.7,9.1,"General Innovator (Low AI)"
"SYN143",0.0327619260288775,0.00482391089085014,62.7,14.7,"Balanced"
"SYN198",0.0477176386481151,0.00481645134593032,42.1,11.4,"General Innovator (Low AI)"
"SYN100",0.0420894889349584,0.00479543886186946,45.9,15.3,"Balanced"
"SYN150",0.0367284659252036,0.00471175384308389,49.3,20.8,"AI-Focused Leader"
"SYN108",0.045680581868859,0.00465413222128651,41.1,13.6,"Balanced"
"SYN171",0.0429491034843959,0.00462297789881924,43.8,13.8,"Balanced"
"SYN104",0.0477339737638831,0.00432045600781597,36.3,12.4,"Balanced"
"SYN138",0.0404286772024352,0.00426136499820826,38.7,19.8,"Balanced"
"SYN133",0.0290275845599826,0.0042308294500454,57.3,21.7,"AI-Focused Leader"
"SYN181",0.0486094471500255,0.00413643828842906,35.5,9.6,"Balanced"
"SYN195",0.0481487540616654,0.00411027358516879,31.3,16.1,"Balanced"
"SYN014",0.0411660965608899,0.00407155676828159,39.3,14.1,"Balanced"
"SYN164",0.0418127444451675,0.00405059570513023,41.9,8.7,"General Innovator (Low AI)"
"SYN101",0.0396545284762979,0.00393547674519902,34.8,21.1,"Balanced"
"SYN095",0.0427499462766573,0.00383172337569189,32.4,17.6,"Balanced"
"SYN091",0.0379405623483472,0.00382445056362294,43.1,9.8,"General Innovator (Low AI)"
"SYN122",0.0408317414938938,0.00382011587298248,36.2,14.8,"Balanced"
"SYN002",0.0403614739950281,0.00374333052239812,32,20.5,"Balanced"
"SYN197",0.0321528747789562,0.00374167684081176,49.9,11.1,"General Innovator (Low AI)"
"SYN134",0.0345206187961157,0.00368770490480359,34.8,26.7,"Balanced"
"SYN196",0.0385055405749008,0.00367547038240617,39,12,"General Innovator (Low AI)"
"SYN004",0.0359546826540027,0.00366565022015435,38.4,17.7,"Balanced"
"SYN105",0.0353478177220095,0.00357027788634361,41.2,12.8,"General Innovator (Low AI)"
"SYN123",0.0362270008756313,0.00353400331412998,37.7,15.5,"Balanced"
"SYN175",0.0377278299494647,0.00351950538101763,36.4,14.3,"Balanced"
"SYN131",0.023615111512132,0.00341797035463902,59,18.4,"AI-Focused Leader"
"SYN088",0.029037023777375,0.00332207470851407,44.6,17.6,"AI-Focused Leader"
"SYN141",0.0395092254166957,0.00330053441167963,28.6,18.8,"AI Specialist (Low Overall)"
"SYN117",0.0206392788884696,0.00321919722215344,61,23.7,"AI-Focused Leader"
"SYN079",0.0334006772092544,0.00316332327570047,31.7,22.4,"Balanced"
"SYN147",0.0364140567595605,0.00309127179489647,34.2,11.4,"Balanced"
"SYN132",0.0318201903679874,0.00307395380502129,32.9,22,"Balanced"
"SYN024",0.0357062686625868,0.00304327212826894,35.1,10.3,"Balanced"
"SYN193",0.0263202424929477,0.00297739823185867,48.1,11.4,"General Innovator (Low AI)"
"SYN037",0.0284926687639672,0.00288945232211666,38.8,16.7,"Balanced"
"SYN097",0.0284140961465891,0.00285647803820507,40.7,13.2,"General Innovator (Low AI)"
"SYN146",0.0300503062577918,0.00282160329351451,37.1,13.7,"Balanced"
"SYN048",0.0204798800244462,0.00280474821908573,57.7,14.6,"Balanced"
"SYN051",0.0269263181709684,0.00278164751974307,40.6,15.4,"Balanced"
"SYN158",0.0291322827502154,0.00269793327084913,31.8,20.7,"Balanced"
"SYN172",0.0231277754320763,0.00260216883506296,42.4,19.5,"AI-Focused Leader"
"SYN017",0.0304801478784066,0.00257102146244438,30.6,16.4,"Balanced"
"SYN015",0.0287635481772013,0.00257031872084118,37.4,9.9,"Balanced"
"SYN011",0.0306177790083457,0.0025577578947813,34.8,9.5,"Balanced"
"SYN106",0.0296654124455526,0.00253844673443695,34.4,11.6,"Balanced"
"SYN127",0.0218017406945583,0.00250905788826593,42.4,21.4,"AI-Focused Leader"
"SYN021",0.0224459631345235,0.00250114382630472,39.4,23.2,"AI-Focused Leader"
"SYN144",0.0291742929776665,0.00246679675459649,35.3,9.5,"Balanced"
