Portfolio/CL_Asset,Portfolio/CL_Asset_Class,Portfolio/CL_SubAsset_Class,Fund/Client Code,Fund/Fund Legal Name,Risk/Long Exposure,Risk/Short Exposure,Risk/Gross Exposure,Risk/Net Exposure,Positions/Base/Total NAV,Positions/Base/Notional Market Value (Base),Instr/DM Type,Instr/DM SubType,Instr/Insid,Portfolio/CL_Investment_Type,Instr/BB_Code,Positions/End Quantity,Price/End,Price/FX Rate,DW_ID,ISIN,SEDOL,Instr/CCY,Instr/BB_IndustrySector,source_code,Instr/CL_Val,source_effective_date,Report/End Date,Portfolio/CL_Pool,DUMAC/Long,DUMAC/Short,DUMAC/Gross,DUMAC/Net,DUMAC/NAV Levered,Currency,GICS_Extension_Level1,GICS_Extension_Level2,GICS_Extension_Level3,Name_Modified,Name_Modified_Regrouped,COUNTRY_OF_RISK_Modified,Region1,Region2,Summary/COUNTRY_OF_RISK_MODIFIED,Fund/Fund Legal Name (2),Direct vs. Non-direct,Summary/MXWD Weight,Beta_Mapping,Beta_Overlap,Long (%LTP),Short (%LTP),Net (%LTP),NAV (%LTP),Long (%Manager),Short (%Manager),Net (%Manager),NAV (%Manager),Net (%Equity)
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,-5062000,-5062000,Cash,FX Cash,USD Curncy,Holdings,USD Curncy,-5062000,,1,4840146,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,-5062000,,Not Classified,Currency,Cash/FX Spot,CASH,Cash,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,-3.54E-04,0,0,0,7.480597219,0
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,-9603683.95,-9603683.95,Cash,Cash collateral,USD Curncy,Holdings,USD Curncy,-9603683.95,,1,4831629,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,-9603683.95,,Not Classified,Currency,Cash/FX Spot,SWAP COLLATERAL WITH CITIBANK,Swap Collateral With Citibank,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,-6.72E-04,0,0,0,14.19227409,0
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,-1030000,-1030000,Cash,Cash collateral,USD Curncy,Holdings,USD Curncy,-1030000,,1,4831616,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,-1030000,,Not Classified,Currency,Cash/FX Spot,SWAP COLLATERAL WITH GOLDMAN,Swap Collateral With Goldman,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,-7.20E-05,0,0,0,1.522128632,0
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,57900000.01,57900000.01,Cash,Cash collateral,USD Curncy,Holdings,USD Curncy,57900000.01,,1,4831589,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,57900000.01,,Not Classified,Currency,Cash/FX Spot,FUTURES CASH COLLATERAL MARGIN,Futures Cash Collateral Margin,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,0.004050144,0,0,0,-85.56431827,0
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,-20140000,-20140000,Cash,Cash collateral,USD Curncy,Holdings,USD Curncy,-20140000,,1,4839249,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,-20140000,,Not Classified,Currency,Cash/FX Spot,SWAP COLLATERAL WITH GOLDMAN,Swap Collateral With Goldman,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,-0.001408806,0,0,0,29.76278704,0
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,-48860000,-48860000,Cash,Cash collateral,USD Curncy,Holdings,USD Curncy,-48860000,,1,4832811,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,-48860000,,Not Classified,Currency,Cash/FX Spot,SWAP COLLATERAL WITH BANK OF,Swap Collateral With Bank Of,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,-0.00341779,0,0,0,72.20505337,0
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,-55120000,-55120000,Cash,Cash collateral,USD Curncy,Holdings,USD Curncy,-55120000,,1,4832632,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,-55120000,,Not Classified,Currency,Cash/FX Spot,SWAP COLLATERAL WITH JP MORGAN,Swap Collateral With Jp Morgan,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,-0.003855681,0,0,0,81.45604874,0
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,1570000,1570000,Cash,Cash collateral,USD Curncy,Holdings,USD Curncy,1570000,,1,4832629,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,1570000,,Not Classified,Currency,Cash/FX Spot,SWAP COLLATERAL WITH BARCLAYS,Swap Collateral With Barclays,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,1.10E-04,0,0,0,-2.320137818,0
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,-390000,-390000,Cash,Cash collateral,USD Curncy,Holdings,USD Curncy,-390000,,1,4831655,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,-390000,,Not Classified,Currency,Cash/FX Spot,SWAP COLLATERAL WITH SOCIETE,Swap Collateral With Societe,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,-2.73E-05,0,0,0,0.576339968,0
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,-10190000,-10190000,Cash,Cash collateral,USD Curncy,Holdings,USD Curncy,-10190000,,1,4831651,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,-10190000,,Not Classified,Currency,Cash/FX Spot,SWAP COLLATERAL WITH BNP,Swap Collateral With Bnp,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,-7.13E-04,0,0,0,15.05872889,0
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,-10640000,-10640000,Cash,Cash collateral,USD Curncy,Holdings,USD Curncy,-10640000,,1,4831639,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,-10640000,,Not Classified,Currency,Cash/FX Spot,SWAP COLLATERAL WITH UBS,Swap Collateral With Ubs,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,-7.44E-04,0,0,0,15.72373655,0
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,-1680000,-1680000,Cash,Cash collateral,USD Curncy,Holdings,USD Curncy,-1680000,,1,5681267,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,-1680000,,Not Classified,Currency,Cash/FX Spot,SWAP COLLATERAL WITH RBC,Swap Collateral With Rbc,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,-1.18E-04,0,0,0,2.482695245,0
PS,Cash Management,Cash Management,bf:2032041,Derivatives Collateral,0,0,0,0,102569000,102569000,Cash,Cash collateral,USD Curncy,Holdings,USD Curncy,102569000,,1,4839733,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,102569000,,Not Classified,Currency,Cash/FX Spot,CCPC COLLATERAL WITH GOLDMAN,Ccpc Collateral With Goldman,United States,North America,United States,United States,Derivatives Collateral,Direct,0,Cash,Cash,0,0,0,0.00717477,0,0,0,-151.5759337,0
PS,Cash Management,Cash Management,bf:2032037,Gothic Cash,0,0,0,0,202869,202869,Cash,"Fees, taxes and other accounting accruals",USD Curncy,Holdings,USD Curncy,202869,,1,4841522,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,202869,,Not Classified,Currency,Cash/FX Spot,MISCELLANEOUS RECEIVABLES,Miscellaneous Receivables,United States,North America,United States,United States,Gothic Cash,Direct,0,Cash,Cash,0,0,0,1.42E-05,0,0,0,1,0
PS,Cash Management,Cash Management,bf:2032047,Gothic International Cash,0,0,0,0,388569.1182,388569.1182,Cash,FX Cash,USD Curncy,Holdings,USD Curncy,387691.4403,,1,4831310,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,388569.1182,,Not Classified,Currency,Cash/FX Spot,MORGAN STNLY GLOBA TR INS 8304,Morgan Stnly Globa Tr Ins 8304,United States,North America,United States,United States,Gothic International Cash,Direct,0,Cash,Cash,0,0,0,2.72E-05,0,0,0,0.985893386,0
PS,Cash Management,Cash Management,bf:2032047,Gothic International Cash,0,0,0,0,5559.824801,5559.824801,Cash,FX Cash,USD Curncy,Holdings,USD Curncy,5559.824801,,1,4840146,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,5559.824801,,Not Classified,Currency,Cash/FX Spot,CASH,Cash,United States,North America,United States,United States,Gothic International Cash,Direct,0,Cash,Cash,0,0,0,3.89E-07,0,0,0,0.014106614,0
PS,Cash Management,Cash Management,bf:2032019,Internal Cash Management,0,0,0,0,162188.48,162188.48,Cash,"Fees, taxes and other accounting accruals",EUR Curncy,Holdings,EUR Curncy,138015.12,,1.177967,4840166,,,EUR,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,162188.48,,Not Classified,Currency,Cash/FX Spot,DIVIDENDS RECEIVABLE RECLAIM,Dividends Receivable Reclaim,Eurozone,Western Europe,Developed International,Eurozone,Internal Cash Management,Direct,0,Currency,Currency,0,0,0,1.13E-05,0,0,0,1.81E-04,0
PS,Cash Management,Cash Management,bf:2032019,Internal Cash Management,0,0,0,0,8809.86016,8809.86016,Cash,"Fees, taxes and other accounting accruals",USD Curncy,Holdings,USD Curncy,8809.86016,,1,4841522,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,8809.86016,,Not Classified,Currency,Cash/FX Spot,MISCELLANEOUS RECEIVABLES,Miscellaneous Receivables,United States,North America,United States,United States,Internal Cash Management,Direct,0,Cash,Cash,0,0,0,6.16E-07,0,0,0,9.82E-06,0
PS,Cash Management,Cash Management,bf:2032019,Internal Cash Management,0,0,0,0,25608838.47,25608838.47,Cash,FX Cash,USD Curncy,Holdings,USD Curncy,25527432.68,,1,4831307,,,USD,PS,mellon,,1/2/2026,1/3/2026,LTP,0,0,0,0,25608838.47,,Not Classified,Currency,Cash/FX Spot,DUKE STIF,Duke Stif,United States,North America,United States,United States,Internal Cash Management,Direct,0,Cash,Cash,0,0,0,0.001791355,0,0,0,0.028552059,0
