Ticker,Tot.Ret.Idx.Gross,Last.Price,Volume,Mkt.Cap,R.D.Exp,Patents...Trademarks...Copy.Rgt,Number.of.Employees,GM,Rev...1.Yr.Gr,Volatil.360D,BEst.Analyst.Rtg,GICS.Ind.Grp.Name,Tot...Hldg.in.Port,Top.10.as.of.Dt,BEst.Target.Px,Rec.Consensus,Earnings.Conference.Call.Date,Tot.Analyst.Rec,News.Sent,Percent.Change.in.Institutional.Holdings,Shrt.Int,fund_id,fund_name,fund_weight,dumac_allocation,as_of_date,shares_held,position_value,fund_weight_raw,abs_weight
NVDA US,185.79,187.32,57014860,4.51E+12,12914,171,36000,74.98869706,114.2034076,52.92787558,4.772151947,Semiconductors & Semiconductor,NA,#N/A Field Not Applicable,237.1779938,4.772151947,11/19/2025,79,-0.038048955,-8.305667591,238599888,bf:1257479,Gladstone Capital Management LLP (Blackwell - Series E),1.01E-04,0.013157895,12/31/2024,112.2112523,22335.64977,1.01E-04,1.01E-04
NVDA US,185.79,187.32,57014860,4.51E+12,12914,171,36000,74.98869706,114.2034076,52.92787558,4.772151947,Semiconductors & Semiconductor,NA,#N/A Field Not Applicable,237.1779938,4.772151947,11/19/2025,79,-0.038048955,-8.305667591,238599888,bf:2036429,"Orso Partners, LP (Blackwell - Series A)",-0.021575164,0.013157895,12/31/2024,-10659.30267,-2121734.197,-0.021575164,0.021575164
NVDA US,185.79,187.32,57014860,4.51E+12,12914,171,36000,74.98869706,114.2034076,52.92787558,4.772151947,Semiconductors & Semiconductor,NA,#N/A Field Not Applicable,237.1779938,4.772151947,11/19/2025,79,-0.038048955,-8.305667591,238599888,bf:2198791,Stony Point Capital LLC (Blackwell - Series E),0.065506582,0.013157895,12/31/2024,35626.30403,7091415.817,0.065506582,0.065506582
NVDA US,185.79,187.32,57014860,4.51E+12,12914,171,36000,74.98869706,114.2034076,52.92787558,4.772151947,Semiconductors & Semiconductor,NA,#N/A Field Not Applicable,237.1779938,4.772151947,11/19/2025,79,-0.038048955,-8.305667591,238599888,bf:461839,"Bridgewater Pure Alpha Fund II, Ltd.",0.008378202,0.013157895,12/31/2024,0.003759501,1099969.399,0.008378202,0.008378202
NVDA US,185.79,187.32,57014860,4.51E+12,12914,171,36000,74.98869706,114.2034076,52.92787558,4.772151947,Semiconductors & Semiconductor,NA,#N/A Field Not Applicable,237.1779938,4.772151947,11/19/2025,79,-0.038048955,-8.305667591,238599888,bf:3356011,Numerai GP LLC (Blackwell - Series A),3.93E-04,0.013157895,12/31/2024,247.4037357,49245.71359,3.93E-04,3.93E-04
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:2237801,Paradigm BioCapital Advisors (Blackwell - Series A),-0.008483129,0.013157895,12/31/2024,-7263.473246,-1588594.234,-0.008483129,0.008483129
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:461839,"Bridgewater Pure Alpha Fund II, Ltd.",8.60E-04,0.013157895,12/31/2024,3.67E-04,112971.3879,8.60E-04,8.60E-04
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1249015,"Nantahala Capital Mangement, LLC (Blackwell - Series A)",0.00331525,0.013157895,12/31/2024,204848.7957,911577.1408,0.00331525,0.00331525
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1249015,"Nantahala Capital Mangement, LLC (Blackwell - Series A)",-4.48E-04,0.013157895,12/31/2024,-60628.99156,-123076.8529,-4.48E-04,4.48E-04
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1249015,"Nantahala Capital Mangement, LLC (Blackwell - Series A)",-2.51E-04,0.013157895,12/31/2024,-54322.61149,-68989.71659,-2.51E-04,2.51E-04
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1914537,Jones Road Capital Management LP (Blackwell-Series A),-0.057016605,0.013157895,12/31/2024,-110135.8423,-7873611.366,-0.057016605,0.057016605
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1475721,Silverback Asset Management (Blackwell - Series B),-0.026030408,0.013157895,12/31/2024,-182482.516,-3313882.49,-0.026030408,0.026030408
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1475721,Silverback Asset Management (Blackwell - Series B),-0.00802741,0.013157895,12/31/2024,-7129.086783,-1021954.59,-0.00802741,0.00802741
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1475721,Silverback Asset Management (Blackwell - Series B),-8.98E-04,0.013157895,12/31/2024,-243.16265,-441583.3724,-8.98E-04,8.98E-04
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:2467377,Silverback Convertible Fund Limited,-0.040106162,0.013157895,12/31/2024,-4866.969196,-795262.3837,-0.040106162,0.040106162
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:2467377,Silverback Convertible Fund Limited,-0.026269782,0.013157895,12/31/2024,-41048.21171,-520901.7277,-0.026269782,0.026269782
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1440829,Alta Fundamental Advisers LLC (Blackwell - Series A),0.037179994,0.013157895,12/31/2024,185102.157,5715954.607,0.037179994,0.037179994
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:3356011,Numerai GP LLC (Blackwell - Series A),-0.002686612,0.013157895,12/31/2024,-4075.383455,-336463.658,-0.002686612,0.002686612
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:2198669,Boldhaven Management LLP (Blackwell - Series E),0.006653057,0.013157895,12/31/2024,40999.12225,5015012.634,0.006653057,0.006653057
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1249015,"Nantahala Capital Mangement, LLC (Blackwell - Series A)",-2.08E-04,0.013157895,12/31/2024,-15600.73098,-57098.6754,-2.08E-04,2.08E-04
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1249021,"RA Capital Management, LP (Blackwell - Series A)",0.003912439,0.013157895,12/31/2024,38328.60834,140282.7065,0.003912439,0.003912439
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1971799,Direct: Negative CF NI Short (Blackwell - Series A),-0.014845979,0.013157895,12/31/2024,-60427.58684,-325100.4172,-0.014845979,0.014845979
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:3356011,Numerai GP LLC (Blackwell - Series A),2.13E-04,0.013157895,12/31/2024,1042.710722,26714.24869,2.13E-04,2.13E-04
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1249015,"Nantahala Capital Mangement, LLC (Blackwell - Series A)",0.004152149,0.013157895,12/31/2024,2779.833933,3979492.081,0.004152149,0.004152149
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1249015,"Nantahala Capital Mangement, LLC (Blackwell - Series A)",1.67E-04,0.013157895,12/31/2024,0.005610159,0,1.67E-04,1.67E-04
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:3356011,Numerai GP LLC (Blackwell - Series A),4.02E-04,0.013157895,12/31/2024,4235.23564,50314.5994,4.02E-04,4.02E-04
V US,322.56,323.235,1621680,6.32E+11,NA,4084,34100,NA,11.33997662,21.91587397,4.510204315,Financial Services,NA,#N/A Field Not Applicable,397.7631531,4.510204315,#N/A N/A,49,0.022329807,10.20996782,23894949,bf:1249015,"Nantahala Capital Mangement, LLC (Blackwell - Series A)",2.31E-04,0.013157895,12/31/2024,430.8602343,-722821.9342,2.31E-04,2.31E-04
