Ticker,Date,fund_id,Open,High,Low,Close,Volume,N200_Index_Close,VIX_Close,Treasury_10Y_Yield,base_market_cap,market_cap,volume_value,log_return,volatility_30d
NVDA US,1/1/2019,bf:1257479,99.69299491,101.0098826,98.21718468,100,1255790,4000,16.69,2.517,29470174492,29470174492,125579000,NA,NA
V US,1/1/2019,bf:2237801,99.75387783,100.8296513,98.2671619,100,2844255,4000,16.69,2.517,79042208409,79042208409,284425500,NA,NA
LLY US,1/1/2019,bf:1257479,99.55334849,101.0365498,99.3705212,100,3133133,4000,16.69,2.517,41488715259,41488715259,313313300,NA,NA
BIO US,1/1/2019,bf:1475721,100.6996367,100.8541706,99.53109356,100,2336530,4000,16.69,2.517,88418722996,88418722996,233653000,NA,NA
META US,1/1/2019,bf:1914537,99.78865996,100.7953775,98.70973566,100,397379,4000,16.69,2.517,94106261145,94106261145,39737900,NA,NA
AMZN US,1/1/2019,bf:2184853,100.6004047,100.2618425,98.67404972,100,1649248,4000,16.69,2.517,5510093440,5510093440,164924800,NA,NA
MSFT US,1/1/2019,bf:1914537,100.4908383,100.3101408,98.11572686,100,2662437,4000,16.69,2.517,53282443317,53282443317,266243700,NA,NA
TSLA US,1/1/2019,bf:1257479,99.20775756,101.0995368,99.46124274,100,443277,4000,16.69,2.517,89349485395,89349485395,44327700,NA,NA
HDB US,1/1/2019,DEFAULT_FUND_001,99.07218124,101.5914759,99.09661158,100,4160646,4000,16.69,2.517,55592066432,55592066432,416064600,NA,NA
AMD US,1/1/2019,bf:461839,100.0151716,100.6727616,98.97116776,100,3608843,4000,16.69,2.517,46204858795,46204858795,360884300,NA,NA
ORCL US,1/1/2019,bf:1914537,100.7029404,100.7647021,98.90491703,100,2812847,4000,16.69,2.517,95726501190,95726501190,281284700,NA,NA
9984 JT,1/1/2019,bf:461753,100.5820581,100.2107111,99.56334863,100,4048464,4000,16.69,2.517,45880081463,45880081463,404846400,NA,NA
005930 KS,1/1/2019,bf:1098061,99.78865996,100.7953775,98.70973566,100,397379,4000,16.69,2.517,68079492910,68079492910,39737900,NA,NA
BABA US,1/1/2019,bf:1914537,99.30590295,101.2944958,99.73184998,100,1545684,4000,16.69,2.517,57690706794,57690706794,154568400,NA,NA
LMT US,1/1/2019,bf:3356011,100.1939037,100.1815459,98.26188947,100,1405775,4000,16.69,2.517,11189543584,11189543584,140577500,NA,NA
8TRA GR,1/1/2019,bf:3428225,99.05517764,101.7655017,99.3619213,100,4300408,4000,16.69,2.517,90082672070,90082672070,430040800,NA,NA
6501 JT,1/1/2019,bf:461753,100.7570986,101.941452,98.61840398,100,1286057,4000,16.69,2.517,25362685701,25362685701,128605700,NA,NA
GE US,1/1/2019,bf:1922841,99.44080776,100.270069,99.53818089,100,1514052,4000,16.69,2.517,5163893820,5163893820,151405200,NA,NA
AMT US,1/1/2019,bf:2184853,100.5465255,101.3268863,98.03003521,100,3452535,4000,16.69,2.517,33464151209,33464151209,345253500,NA,NA
NET US,1/1/2019,bf:461839,99.29581897,100.3869206,98.92820171,100,3077491,4000,16.69,2.517,95495861266,95495861266,307749100,NA,NA
SPOT US,1/1/2019,bf:2735887,100.1497382,101.1706414,98.07063256,100,4747108,4000,16.69,2.517,89064392290,89064392290,474710800,NA,NA
PCOR US,1/1/2019,bf:1632133,99.20775756,101.0995368,99.46124274,100,443277,4000,16.69,2.517,69587537210,69587537210,44327700,NA,NA
JBL US,1/1/2019,bf:1632133,100.4458853,100.348532,99.55813164,100,4849751,4000,16.69,2.517,64410174563,64410174563,484975100,NA,NA
J US,1/1/2019,bf:1919567,100.9000123,101.8804372,99.64702285,100,1979654,4000,16.69,2.517,99432707886,99432707886,197965400,NA,NA
INF US,1/1/2019,bf:1922841,99.67411072,101.212486,98.47780283,100,3256573,4000,16.69,2.517,65914874112,65914874112,325657300,NA,NA
