ticker,market_cap,rd_expense,patent_activity,industry,fund_weight,dumac_allocation,n_funds,rd_intensity,patent_productivity,industry_ai_multiplier,ai_patent_count_placeholder,ai_intensity_proxy
NA,4.51E+12,12914,171,Unknown,5.797028494,17.6447372,1436,2.86E-07,13241443.39,1,40,62.1
SYN001,91896369430,472273757.8,234,Financials,0.026308734,0.008222573,1,0.51391993,495.4753385,0.8,56,10.5
SYN002,35786988908,707305866.3,104,Technology,0.040361474,0.001787094,1,1.976433022,147.0368124,1.5,11,32.7
SYN003,26144852348,615102176.8,7,Technology,0.003015339,0.011189105,1,2.352670303,11.3802231,1.5,2,17.5
SYN004,71697043129,1541754086,187,Healthcare,0.035954683,0.007138355,1,2.150373318,121.2904196,1.3,33,5.9
SYN005,22628578356,457572965.8,39,Industrials,0.035732161,0.010110321,1,2.022102134,85.23230809,1.1,6,12.9
SYN006,44893199698,921196197.7,54,Energy,0.044879242,0.009190665,1,2.051972691,58.61943431,0.8,11,20.1
SYN007,69925055512,1676215117,191,Technology,0.014482954,0.009530767,1,2.397159508,113.9471886,1.5,15,19.1
SYN008,67676910067,513668598.9,51,Industrials,0.007605452,0.022839244,1,0.759001258,99.28580433,1.1,9,7.2
SYN009,18873378273,921288384.2,109,Healthcare,0.046381613,0.0132058,1,4.88141747,118.3125739,1.3,21,10.2
SYN010,73442772472,1668699297,66,Industrials,0.032510188,0.02088282,1,2.272108256,39.55176354,1.1,9,15.7
SYN011,33329735269,661209307.9,248,Consumer,0.030617779,0.028556203,1,1.983842064,375.0703401,1,48,17
SYN012,35890034540,1011262782,1,Healthcare,0.015842236,0.015661542,1,2.817670128,0.988862655,1.3,0,12
SYN013,79110325146,1543562599,47,Healthcare,0.011540854,0.00649716,1,1.951151883,30.44904044,1.3,5,2.7
SYN014,37089169865,360206837,281,Healthcare,0.041166097,0.017574062,1,0.971191424,780.1073471,1.3,40,15
SYN015,29032932534,1985512510,230,Energy,0.028763548,0.020528411,1,6.838828656,115.839109,0.8,55,19.3
SYN016,26801339854,1912720181,246,Consumer,0.045321847,0.01221216,1,7.136658805,128.6126442,1,60,17
SYN017,3665057858,1035051097,76,Financials,0.030480148,0.029034523,1,28.24105751,73.42632668,0.8,6,17.5
