"Ticker","Copy_Paste"
"NVDA US","NVDA US"
"MSFT US","MSFT US"
"AAPL US","AAPL US"
"GOOGL US","GOOGL US"
"META US","META US"
"TSLA US","TSLA US"
"AMD US","AMD US"
"INTC US","INTC US"
"AMZN US","AMZN US"
"V US","V US"
"MA US","MA US"
"NFLX US","NFLX US"
"ADBE US","ADBE US"
"CRM US","CRM US"
"ORCL US","ORCL US"
"IBM US","IBM US"
"CSCO US","CSCO US"
"QCOM US","QCOM US"
"TXN US","TXN US"
"AVGO US","AVGO US"
"JPM US","JPM US"
"BAC US","BAC US"
"WFC US","WFC US"
"C US","C US"
"GS US","GS US"
"MS US","MS US"
"BLK US","BLK US"
"SCHW US","SCHW US"
"AXP US","AXP US"
"USB US","USB US"
"PNC US","PNC US"
"TFC US","TFC US"
"COF US","COF US"
"BK US","BK US"
"STT US","STT US"
"JNJ US","JNJ US"
"PFE US","PFE US"
"MRK US","MRK US"
"ABBV US","ABBV US"
"ABT US","ABT US"
"TMO US","TMO US"
"DHR US","DHR US"
"UNH US","UNH US"
"CVS US","CVS US"
"AMGN US","AMGN US"
"GILD US","GILD US"
"VRTX US","VRTX US"
"REGN US","REGN US"
"ISRG US","ISRG US"
"SYK US","SYK US"
"BDX US","BDX US"
"BSX US","BSX US"
"MDT US","MDT US"
"EW US","EW US"
"ILMN US","ILMN US"
"WMT US","WMT US"
"COST US","COST US"
"HD US","HD US"
"LOW US","LOW US"
"PG US","PG US"
"KO US","KO US"
"PEP US","PEP US"
"PM US","PM US"
"MO US","MO US"
"MDLZ US","MDLZ US"
"MCD US","MCD US"
"SBUX US","SBUX US"
"CMG US","CMG US"
"YUM US","YUM US"
"NKE US","NKE US"
"TJX US","TJX US"
"ROST US","ROST US"
"TGT US","TGT US"
"DG US","DG US"
"DLTR US","DLTR US"
"HON US","HON US"
"UPS US","UPS US"
"FDX US","FDX US"
"BA US","BA US"
"LMT US","LMT US"
"RTX US","RTX US"
"GD US","GD US"
"NOC US","NOC US"
"GE US","GE US"
"MMM US","MMM US"
"CAT US","CAT US"
"DE US","DE US"
"CMI US","CMI US"
"ETN US","ETN US"
"EMR US","EMR US"
"XOM US","XOM US"
"CVX US","CVX US"
"COP US","COP US"
"EOG US","EOG US"
"SLB US","SLB US"
"HAL US","HAL US"
"BKR US","BKR US"
"OXY US","OXY US"
"VLO US","VLO US"
"PSX US","PSX US"
"MU US","MU US"
"LRCX US","LRCX US"
"AMAT US","AMAT US"
"KLAC US","KLAC US"
"ADI US","ADI US"
"NXPI US","NXPI US"
"MPWR US","MPWR US"
"ON US","ON US"
"SWKS US","SWKS US"
"NOW US","NOW US"
"WDAY US","WDAY US"
"HUBS US","HUBS US"
"SNOW US","SNOW US"
"DDOG US","DDOG US"
"MDB US","MDB US"
"PANW US","PANW US"
"CRWD US","CRWD US"
"ZS US","ZS US"
"OKTA US","OKTA US"
"NET US","NET US"
"9984 JT","9984 JT"
"6501 JT","6501 JT"
"6758 JT","6758 JT"
"6861 JT","6861 JT"
"6954 JT","6954 JT"
"7974 JT","7974 JT"
"8031 JT","8031 JT"
"8058 JT","8058 JT"
"8306 JT","8306 JT"
"8316 JT","8316 JT"
"005930 KS","005930 KS"
"000660 KS","000660 KS"
"035420 KS","035420 KS"
"051910 KS","051910 KS"
"005380 KS","005380 KS"
"207940 KS","207940 KS"
"035720 KS","035720 KS"
"034730 KS","034730 KS"
"SAP GR","SAP GR"
"SIE GR","SIE GR"
"ALV GR","ALV GR"
"BAS GR","BAS GR"
"BAYN GR","BAYN GR"
"RMS FP","RMS FP"
"MC FP","MC FP"
"OR FP","OR FP"
"SAN SM","SAN SM"
"BBVA SM","BBVA SM"
"ULVR LN","ULVR LN"
"AZN LN","AZN LN"
"HSBA LN","HSBA LN"
"BP LN","BP LN"
"SHEL LN","SHEL LN"
"BABA US","BABA US"
"BIDU US","BIDU US"
"JD US","JD US"
"PDD US","PDD US"
"NTES US","NTES US"
"TCEHY US","TCEHY US"
"0700 HK","0700 HK"
"9988 HK","9988 HK"
"3690 HK","3690 HK"
"1810 HK","1810 HK"
"1024 HK","1024 HK"
"9618 HK","9618 HK"
"9888 HK","9888 HK"
"9999 HK","9999 HK"
"2015 HK","2015 HK"
"SPY US","SPY US"
"QQQ US","QQQ US"
"IWM US","IWM US"
"EFA US","EFA US"
"EEM US","EEM US"
"XLK US","XLK US"
"XLF US","XLF US"
"XLE US","XLE US"
"XLI US","XLI US"
"XLP US","XLP US"
"XLV US","XLV US"
"XLY US","XLY US"
"XLU US","XLU US"
"XLB US","XLB US"
"XLRE US","XLRE US"
"SQ US","SQ US"
"SHOP US","SHOP US"
"UBER US","UBER US"
"LYFT US","LYFT US"
"PINS US","PINS US"
"SNAP US","SNAP US"
"TWTR US","TWTR US"
"SPOT US","SPOT US"
"RBLX US","RBLX US"
"COIN US","COIN US"
"HOOD US","HOOD US"
"SOFI US","SOFI US"
"AFRM US","AFRM US"
"PLTR US","PLTR US"
