"Ticker","RepNo","CompanyName","ISIN","Exchange","Country","TRBC_Industry"
"000660","A6A0F","SK Hynix Inc","KR7000660001","KRX","KOR","Semiconductors (NEC)"
"005380","A4AFC","Hyundai Motor Co","KR7005380001","KRX","KOR","Auto & Truck Manufacturers (NEC)"
"005930","A69DA","Samsung Electronics Co Ltd","KR7005930003","KRX","KOR","Phones & Handheld Devices (NEC)"
"035420","A6DDF","Naver Corp","KR7035420009","KRX","KOR","Search Engines"
"035720","A5D59","Kakao Corp","KR7035720002","KRX","KOR","Online Services (NEC)"
"051910","A6A0D","LG Chem Ltd","KR7051910008","KRX","KOR","Plastics"
"207940","F7B0D","Samsung Biologics Co Ltd","KR7207940008","KRX","KOR","Biopharmaceuticals"
"6501","A4C4C","Hitachi Ltd","JP3788600009","TYO","JPN","Consumer Goods Conglomerates"
"7974","A4406","Nintendo Co Ltd","JP3756600007","TYO","JPN","Games, Toys & Children's Vehicles"
"8TRA","00A54","Traton SE","DE000TRAT0N7","ETR","DEU","Heavy Buses & Coaches"
"9984","A4C3E","SoftBank Group Corp","JP3436100006","TYO","JPN","Wireless Telecommunications Services (NEC)"
"AAPL","05680","Apple Inc","US0378331005","NASD","USA","Phones & Smart Phones"
"ABBV","E2F10","AbbVie Inc","US00287Y1091","NYSE","USA","Pharmaceuticals (NEC)"
"ABT","0091N","Abbott Laboratories","US0028241000","NYSE","USA","Medical Equipment, Supplies & Distribution (NEC)"
"ABT","09478","Advanced Bitcoin Technologies AG","DE000A2YPJ22","DUS","DEU","Financial Technology (Fintech) (NEC)"
"ABT","AEB51","Bentre Aquaproduct Import and Export JSC","VN000000ABT2","HCM","VNM","Seafood Product Preparation & Packaging"
"ABT","FA2F2","Abitare In SpA","IT0005445280","BIT","ITA","Real Estate Services (NEC)"
"ADBE","01010","Adobe Inc","US00724F1012","NASD","USA","Application Software"
"AFRM","07881","Affirm Holdings Inc","US00827B1061","NASD","USA","Financial Technology (Fintech) (NEC)"
"AMAT","05840","Applied Materials Inc","US0382221051","NASD","USA","Semiconductor Machinery Manufacturing"
"AMAT","CA065","Al Madina Insurance Company SAOG","OM0000004768","MSM","OMN","Islamic Insurance"
"AMD","0147N","Advanced Micro Devices Inc","US0079031078","NASD","USA","Semiconductors (NEC)"
"AMD","AB425","Arrow Minerals Ltd","AU000000AMD2","ASX","AUS","Iron Ore Mining"
"AMT","A1AD8","American Tower Corp","US03027X1000","NYSE","USA","Specialized REITs (NEC)"
"AMT","CA66A","AmeriTrust Financial Technologies Inc","CA0307361026","CVE","CAN","Financial Technology (Fintech) (NEC)"
"AMZN","A13EF","Amazon.com Inc","US0231351067","NASD","USA","Internet & Mail Order Department Stores"
"ANET","EEDC5","Arista Networks Inc","US0404132054","NYSE","USA","Communications & Networking (NEC)"
"ANT","0BBEA","Anteros Metals Inc","CA0369341072","CNQ","CAN","Diversified Mining"
"APD","0177N","Air Products and Chemicals Inc","US0091581068","NYSE","USA","Industrial Gases"
"APH","07323","An Phat Holdings JSC","VN000000APH7","HCM","VNM","Plastics"
"APH","A01DE","Amphenol Corp","US0320951017","NYSE","USA","Electronic Components"
"APO","0E0AE","Asian Palm Oil PCL","THB886010008","BAK","THA","Starch, Vegetable Fat & Oil Manufacturing"
"APO","AF6B1","Anglo Philippine Holdings Corp","PHY0136Q1288","PSE","PHL","Oil Related Services and Equipment (NEC)"
"APO","CC9E1","Apollo Global Management Inc","US03769M1062","NYSE","USA","Pension Funds"
"ARES","EED76","Ares Management Corp","US03990B1017","NYSE","USA","Investment Management"
"ASAN","033A4","Asana Inc","US04342Y1047","NYSE","USA","Application Software"
"ASML","A1BEF","ASML Holding NV (ADR)","USN070592100","NASD","USA","Semiconductor Equipment & Testing (NEC)"
"ASML","A2F3F","ASML Holding NV","NL0010273215","AMS","NLD","Semiconductor Equipment & Testing (NEC)"
"AVGO","FA5AD","Broadcom Inc","US11135F1012","NASD","USA","Semiconductors (NEC)"
"AXP","0409N","American Express Co","US0258161092","NYSE","USA","Consumer Credit Cards Services"
"AXP","AC760","AXP Energy Ltd","AU0000162950","ASX","AUS","Oil & Gas Exploration and Production (NEC)"
"AZN","049D4","AstraZeneca PLC (US)","GB0009895292","NYSE","USA","Pharmaceuticals (NEC)"
"AZN","A48A5","AstraZeneca plc","GB0009895292","LON","GBR","Pharmaceuticals (NEC)"
"BA","A16E8","Boeing Co","US0970231058","NYSE","USA","Commercial Aircraft Manufacturing"
"BA","D56BC","Bangkok Airways PCL","TH4403010002","BAK","THA","Airlines (NEC)"
"BABA","030D1","Baba Eco Group Bhd","MYL03012O001","KUL","MYS","Appliances, Tools & Housewares (NEC)"
"BABA","EAE54","Alibaba Group Holding Ltd - ADR","US01609W1027","NYSE","USA","E-commerce & Auction Services"
"BAC","028FC","Bactech Environmental Corp","CA0704902067","CNQ","CAN","Mining Support Services & Equipment (NEC)"
"BAC","0D088","Africa Bitcoin Corporation Ltd","ZAE000337051","JNB","ZAF","Investment Holding Companies (NEC)"
"BAC","A1CD8","Bank of America Corp","US0605051046","NYSE","USA","Banks (NEC)"
"BAC","AAC1F","Camsing Healthcare Ltd","SG1BC8000002","SIN","SGP","Health Food Stores"
"BAC","ACA15","Banco Agricola SA","PAL3102171A3","SAS","SLV","Banks (NEC)"
"BAM","0E019","BROOKFIELD ASSET MANAGEMENT LTD","CA1130041058","NYSE","USA","Investment Management & Fund Operators (NEC)"
"BAM","CAF8C","Bangkok Commercial Asset Management PCL","TH9479010000","BAK","THA","Investment Management"
"BIDU","AAE7D","Baidu Inc (ADR)","US0567521085","NASD","USA","Search Engines"
"BILI","02852","Bilibili Inc - ADR","US0900401060","NASD","USA","Online Services (NEC)"
"BILL","057DA","BILL Holdings Inc","US0900431000","NYSE","USA","Software (NEC)"
"BILL","A663D","Billerud AB (publ)","SE0000862997","STO","SWE","Paper Packaging (NEC)"
"BIO","0CFFA","Biome Australia Ltd","AU0000184137","ASX","AUS","Pharmaceuticals (NEC)"
"BIO","1178A","Bio Rad Laboratories Inc","US0905722072","NYSE","USA","Medical Equipment, Supplies & Distribution (NEC)"
"BIO","AA7DE","BIOTON SA","PLBIOTN00029","WAR","POL","Bio Therapeutic Drugs"
"BIO","AB863","Biofarm SA","ROBIOFACNOR9","BSE","ROU","Generic Pharmaceuticals"
"BP","A1D5C","BP PLC (ADR)","US0556221044","NYSE","USA","Oil & Gas Refining and Marketing (NEC)"
"BX","AE995","Blackstone Inc","US09260D1072","NYSE","USA","Investment Management"
"CAJPY","A01ED","Canon Inc (ADR)","US1380063099","OTC","USA","Office Equipment (NEC)"
"CAT","1668N","Caterpillar Inc","US1491231015","NYSE","USA","Construction Machinery"
"CAT","A4C33","Caxton and CTP Publishers and Printers","ZAE000043345","JNB","ZAF","Consumer Publishing (NEC)"
"CAT","AF6FA","Central Azucarera de Tarlac Inc","PHY124141193","PSE","PHL","Sugar & Artificial Sweeteners"
"CAT","CE6C8","CATCo Reinsurance Opportunities Fund Ltd","BMG1961Q3325","LON","GBR","Closed End Funds"
"CAT","D737C","CAT Strategic Metals Corp","CA14875E1025","CNQ","CAN","Diversified Mining"
"CAT","F338A","Catapult Sports Ltd","AU000000CAT9","ASX","AUS","Software (NEC)"
"CBOE","C51CF","Cboe Global Markets Inc","US12503M1080","BAT","USA","Financial & Commodity Market Operators & Service Providers (NEC)"
"CME","A4903","CME Group Inc","US12572Q1058","NASD","USA","Securities & Commodity Exchanges"
"CME","AB877","CME Group Berhad","MYL7018OO004","KUL","MYS","Heavy Machinery & Vehicles (NEC)"
"COIN","0BBFC","Coinbase Global Inc","US19260Q1076","NASD","USA","Blockchain & Cryptocurrency (NEC)"
"COIN","0DCC7","Indokripto Koin Semesta Tbk PT","ID1000211105","JAK","IDN","Corporate Financial Services (NEC)"
"CRM","A7FD7","Salesforce Inc","US79466L3024","NYSE","USA","Cloud Computing Services"
"CRM","B21A9","PZ Cormay SA","PLCMRAY00029","WAR","POL","Laboratory Diagnostic & Testing Substances"
"CRWD","0867D","Crowdstrike Holdings Inc","US22788C1053","NASD","USA","Security Software"
"CSCO","18528","Cisco Systems Inc","US17275R1023","NASD","USA","Communications & Networking (NEC)"
"CVX","09546","Carvolix","FR0013333077","EPA","FRA","Medical Equipment"
"CVX","A2E5A","Chevron Corp","US1667641005","NYSE","USA","Integrated Oil & Gas"
"DDOG","0992F","Datadog Inc","US23804L1035","NASD","USA","Application Software"
"DE","2565N","Deere & Co","US2441991054","NYSE","USA","Agricultural Machinery"
"DE","E85C8","Decisive Dividend Corp","CA24345T1003","CVE","CAN","Heating, Ventilation & Air Conditioning Systems"
"DIS","9569N","Walt Disney Co","US2546871060","NYSE","USA","Broadcasting (NEC)"
"DIS","A349C","Distil PLC","GB0030164023","LON","GBR","Distilleries"
"DIS","AEBDB","d'Amico International Shipping S.A.","LU2592315662","BIT","ITA","Oil & Gas Transportation Services (NEC)"
"DOCU","02947","Docusign Inc","US2561631068","NASD","USA","Enterprise Software"
"DUK","2797N","Duke Energy Corp","US26441C2044","NYSE","USA","Electric Utilities (NEC)"
"FSLY","0A685","Fastly Inc","US31188V1008","NASD","USA","IT Services & Consulting (NEC)"
"GE","3737N","General Electric Co","US3696043013","NYSE","USA","Aerospace & Defense (NEC)"
"GE","A32A9","Gefran S.p.a","IT0003203947","BIT","ITA","Electrical Components"
"GOOGL","A997D","Alphabet Inc","US02079K3059","NASD","USA","Search Engines"
"GRAB","09DC3","Grab Holdings Ltd","KYG4124C1096","NASD","USA","Application Software"
"GS","A1E61","Goldman Sachs Group Inc","US38141G1040","NYSE","USA","Investment Banking & Brokerage Services (NEC)"
"HD","4366N","Home Depot Inc","US4370761029","NYSE","USA","Home Improvement Products & Services Retailers (NEC)"
"HMC","08E94","HMC Capital Ltd","AU0000058943","ASX","AUS","Investment Management & Fund Operators (NEC)"
"HMC","4404N","Honda Motor Co Ltd (ADR)","US4381283088","NYSE","USA","Auto & Truck Manufacturers (NEC)"
"HMC","AEC09","Vnsteel Hochiminh City Metal Corp","VN000000HMC0","HCM","VNM","Iron & Steel (NEC)"
"HOOD","0734C","Robinhood Markets Inc","US7707001027","NASD","USA","Financial Technology (Fintech) (NEC)"
"HSBC","A1A32","HSBC Holdings PLC (ADR)","US4042804066","NYSE","USA","Banks (NEC)"
"HTHIY","A0082","Hitachi Ltd (ADR)","US4335785071","OTC","USA","Consumer Goods Conglomerates"
"HUBS","DF5F4","HubSpot Inc","US4435731009","NYSE","USA","Enterprise Software"
"IBM","4741N","International Business Machines Corp","US4592001014","NYSE","USA","IT Services & Consulting (NEC)"
