"ticker","RepNo","CompanyName","ISIN","Exchange","Country","TRBC_Industry","rd_expense","revenue","fiscal_year_end","market_cap","pe_ratio_fy","beta_5y","volatility_30d","volatility_90d","volatility_260d","company_name","total_patents","ai_patents","patent_source","rd_intensity","patent_activity","total_return","volatility","bloomberg_volatility","total_return_5yr","revenue_growth","industry","rd_imputed","growth_imputed","volatility_imputed","innovation_imputed","rd_quartile","patent_quartile","growth_quartile","volatility_quartile","innovation_score","innovation_quartile","innovation_label","matched_by","in_portfolio","n_funds","fund_weight","total_net_exposure_usd","total_net_pct_ltp","multiplier","ai_score","ai_quartile","ai_label","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","discovery_quality_weight","discovery_ai_weight","discovery_tier","innovation_rank","ai_rank","combined_rank","strategic_profile","ai_exposure","innovation_exposure","anomaly_score","is_anomaly","rd_score_norm","patent_score_norm","growth_score_norm","stability_score_norm","ai_score_aggressive","high_growth","high_volatility","has_rd","not_ai_leader","high_potential_flag","unicorn_tier","ai_label_aggressive"
"000660","A6A0F","SK Hynix Inc","KR7000660001","KRX","KOR","Semiconductors (NEC)",6406434,97146675,"2025-12-31",803928320,18.6823692321777,1.59742999076843,0.897057959924018,0.889913356963447,0.67104052242128,"000660",0,0,"USPTO Only",0.0659459935195929,0,0.1,0.67104052242128,NA,NA,0.467628506113037,"Semiconductors (NEC)",FALSE,FALSE,FALSE,FALSE,3,1,4,1,0.55,2,"Developing","ISIN",TRUE,11,0.0351186875621629,34383681.9960081,0.00235229674485225,1,0.55,2,"AI Follower",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.7345889199362,TRUE,75,25,100,100,78.75,TRUE,TRUE,TRUE,TRUE,TRUE,"Top Unicorn Candidate","AI Leader (Aggressive)"
"005930","A69DA","Samsung Electronics Co Ltd","KR7005930003","KRX","KOR","Phones & Handheld Devices (NEC)",37740392,333605938,"2025-12-31",1380423936,32.7104301452637,1.25853002071381,0.73670280748335,0.755015323757439,0.500400023178605,"005930",0,0,"USPTO Only",0.11312865779985,0,0.1,0.500400023178605,NA,NA,0.108800933136429,"Phones & Handheld Devices (NEC)",FALSE,FALSE,FALSE,FALSE,3,1,3,2,0.55,2,"Developing","ISIN",TRUE,14,0.0334964778870909,32795423.8499771,0.00224363896738305,1,0.55,2,"AI Follower",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.894456666787195,TRUE,75,25,75,75,65,FALSE,FALSE,TRUE,TRUE,FALSE,"Monitor","AI Adopter"
"035420","A6DDF","Naver Corp","KR7035420009","KRX","KOR","Search Engines",1018758,12035007.21898,"2025-12-31",33958600,16.7810497283936,0.737290024757385,0.456598084382482,0.496978188879282,0.463221901402148,"035420",0,0,"USPTO Only",0.151991501307566,0,0.1,0.463221901402148,NA,NA,0.120815968676034,"Search Engines",TRUE,FALSE,FALSE,TRUE,4,1,3,2,0.625,2,"Developing","ISIN",TRUE,7,8.9688759609695e-06,8781.16468212982,6.00747328346e-07,1,0.625,2,"AI Follower",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.299160720996503,TRUE,100,25,75,75,71.25,TRUE,FALSE,TRUE,TRUE,FALSE,"Growth Candidate","AI Leader (Aggressive)"
"AAPL","05680","Apple Inc","US0378331005","NASD","USA","Phones & Smart Phones",34550,416161,"2025-09-27",3967285,36.357349395752,1.0757600069046,0.216997906277358,0.256193738922305,0.317622419618462,"Apple Inc.",38288,5035,"USPTO Only",0.0830207539870387,38288,0.1,0.317622419618462,NA,NA,0.0642551178283274,"Phones & Smart Phones",FALSE,FALSE,FALSE,FALSE,3,4,3,3,0.825,4,"Leader","ISIN",TRUE,17,0.0269096843616025,26346486.5554705,0.0018024467120747,1,0.825,4,"AI Leader",0.0269096843616025,0.0269096843616025,0.0269096843616025,0,0,NA,NA,NA,NA,"AI Pioneer","High","High",0.166441579235949,FALSE,75,100,75,50,76.25,FALSE,FALSE,TRUE,FALSE,FALSE,"Monitor","AI Leader (Aggressive)"
"AFRM","07881","Affirm Holdings Inc","US00827B1061","NASD","USA","Financial Technology (Fintech) (NEC)",644.56921875,3224.412,"2025-06-30",21485.640625,421.485992431641,3.75567007064819,0.58715915727999,0.640356407291676,0.695271121906175,"AFRM",0,0,"USPTO Only",0.200536552649229,0,0.1,0.695271121906175,NA,NA,0.388038479568868,"Financial Technology (Fintech) (NEC)",TRUE,FALSE,FALSE,TRUE,4,1,4,1,0.625,2,"Developing","ISIN",TRUE,16,-0.000165082752640942,-161627.704901687,-1.1057463949391e-05,1,0.625,2,"AI Follower",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.0834800190709071,FALSE,100,25,100,100,85,TRUE,TRUE,TRUE,TRUE,TRUE,"Top Unicorn Candidate","AI Leader (Aggressive)"
"AMD","0147N","Advanced Micro Devices Inc","US0079031078","NASD","USA","Semiconductors (NEC)",2.29337,0.10217,"2025-12-31",453870,106.686996459961,2.11179995536804,0.326742518311096,0.371520975477233,0.411087590896444,"AMD Inc.",12971,2805,"USPTO Only",22.4466085935206,12971,0.1,0.411087590896444,NA,NA,0.343377932906729,"Semiconductors (NEC)",FALSE,FALSE,FALSE,FALSE,4,4,4,3,0.95,4,"Leader","ISIN",TRUE,16,0.0018021889348076,1764470.58625026,0.000120713029422093,1,0.95,4,"AI Leader",0.0018021889348076,0.0018021889348076,0.0018021889348076,0,0,NA,NA,NA,NA,"AI Pioneer","High","High",1,TRUE,100,100,100,50,92.5,TRUE,FALSE,TRUE,FALSE,FALSE,"Monitor","AI Leader (Aggressive)"
"AMZN","A13EF","Amazon.com Inc","US0231351067","NASD","USA","Internet & Mail Order Department Stores",108521,716924,"2025-12-31",2694619,34.9274406433105,1.41982996463776,0.347330063483475,0.325769848080695,0.355102331164098,"Amazon.com Inc.",22269,2463,"USPTO Only",0.151370298664851,22269,0.1,0.355102331164098,NA,NA,0.123777546832947,"Internet & Mail Order Department Stores",FALSE,FALSE,FALSE,FALSE,4,4,3,3,0.9,4,"Leader","ISIN",TRUE,23,0.0810230003766445,79327254.8805184,0.00542702911966124,1,0.9,4,"AI Leader",0.0810230003766445,0.0810230003766445,0.0810230003766445,0,0,NA,NA,NA,NA,"AI Pioneer","High","High",0.179439728308357,FALSE,100,100,75,50,82.5,TRUE,FALSE,TRUE,FALSE,FALSE,"Monitor","AI Leader (Aggressive)"
"ANT","0BBEA","Anteros Metals Inc","CA0369341072","CNQ","CAN","Diversified Mining",0.139072494506836,0.69536247253418,"2025-09-30",4.63574981689453,NA,1,1.83618926456546,4.24000803361145,2.73665250741164,"ANT",73763,4916,"USPTO Only",0.011208626086695,73763,0.1,2.73665250741164,NA,NA,0.0604811925107801,"Diversified Mining",TRUE,TRUE,FALSE,TRUE,2,4,2,1,0.6,2,"Developing","ISIN",FALSE,0,0,0,0,1,0.6,2,"AI Follower",0,0,0,0,0,"Tier 2: Strong Candidates",14,14,14,"Underperformer","Low","Low",0.473693251908313,TRUE,50,100,50,100,67.5,FALSE,TRUE,TRUE,TRUE,FALSE,"Monitor","AI Adopter"
"CAT","1668N","Caterpillar Inc","US1491231015","NYSE","USA","Construction Machinery",2148,67589,"2025-12-31",369740.59375,42.2459716796875,1.53817999362946,3.39461292509017,2.05954151098678,2.22224547470652,"CAT",97783,6200,"USPTO Only",0.0317803192827235,97783,0.1,2.22224547470652,NA,NA,-0.78753487140856,"Construction Machinery",FALSE,FALSE,FALSE,FALSE,3,4,1,1,0.625,2,"Developing","ISIN",TRUE,15,-0.010995934326825,-10765798.3651384,-0.000736522413538803,1,0.625,2,"AI Follower",0,0,0,0,0,NA,NA,NA,NA,"Underperformer","Low","Low",0.444541583287879,TRUE,75,100,25,100,63.75,FALSE,TRUE,TRUE,TRUE,FALSE,"Monitor","AI Adopter"
"CRM","A7FD7","Salesforce Inc","US79466L3024","NYSE","USA","Cloud Computing Services",5993,41525,"2026-01-31",149000.296875,23.3506507873535,1.18703997135162,0.400089591901494,1.44373998376769,0.800264828059323,"CRM",565,57,"USPTO Only",0.144322697170379,565,0.1,0.800264828059323,NA,NA,0.0957910014513788,"Cloud Computing Services",FALSE,FALSE,FALSE,FALSE,4,2,3,1,0.65,3,"Strong","ISIN",TRUE,12,0.000591193411310768,578820.214071597,3.9598926769198e-05,1,0.65,3,"AI Adopter",0,0,0.000591193411310768,0,0,NA,NA,NA,NA,"Balanced Performer","Medium","Medium",0.0454468338456465,FALSE,100,50,75,100,80,FALSE,TRUE,TRUE,TRUE,FALSE,"Monitor","AI Leader (Aggressive)"
