"ticker","company_name","revenue","rd_expense","rd_intensity","fiscal_year","in_portfolio","volatility","fund_weight","patent_activity","revenue_growth","market_cap","total_return","rd_quartile","patent_quartile","growth_quartile","volatility_quartile","innovation_score","innovation_quartile","innovation_label","industry","multiplier","ai_score","ai_quartile","ai_label","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","discovery_tier","discovery_quality_weight","discovery_ai_weight","discovery_balanced_weight","innovation_rank","ai_rank","combined_rank","strategic_profile","ai_exposure","innovation_exposure","anomaly_score","is_anomaly"
"AAPL","Apple Inc.",416161,34550,0.0830207539870387,2025-09-27,TRUE,0.3,0.1,86,0.166041507974077,1248483,0.1,1,3,1,4,0.55,2,"Developing","Technology Hardware & Equipmen",1.2,0.66,1,"AI Laggard",0,0,0,"Tier 4: Monitor",0,0,0,6,7,6,"Underperformer","Low","Low",0.190469188693017,FALSE
"AMD","AMD Inc.",34639,8091,0.233580646092555,2025-12-27,TRUE,0.3,0.1,69,0.467161292185109,103917,0.1,4,2,4,4,0.85,4,"Leader","Semiconductors & Semiconductor",1.5,1.275,4,"AI Leader",0,0.5,0.25,"Tier 1: Top Opportunities",0,0.53968253968254,0.290201433936497,1,1,1,"AI Pioneer","High","High",0.693828580976684,FALSE
"AMZN","Amazon.com Inc.",716924,108521,0.151370298664851,2025-12-31,TRUE,0.3,0.1,83,0.302740597329703,2150772,0.1,3,3,3,4,0.8,4,"Leader","Technology Hardware & Equipmen",1.2,0.96,3,"AI Adopter",0,0,0.25,"Tier 2: Strong Candidates",0,0,0.240355069989758,2,4,3,"Balanced Performer","Medium","High",0.601649917364924,FALSE
"GOOGL","Alphabet Inc.",402836,58687,0.145684596212851,2025-12-31,TRUE,0.3,0.1,43,0.291369192425702,1208508,0.1,3,1,3,3,0.6,2,"Developing","Software & Services",1.4,0.84,2,"AI Follower",0,0,0,"Tier 3: Watch List",0,0,0,5,5,5,"Underperformer","Low","Low",0.431101292001208,FALSE
"INTC","Intel Corp.",52853,13774,0.26060961534823,2025-12-27,TRUE,0.3,0.1,36,0.52121923069646,158559,0.1,4,1,4,3,0.725,3,"Strong","Semiconductors & Semiconductor",1.5,1.0875,4,"AI Leader",0,0.5,0.25,"Tier 1: Top Opportunities",0,0.46031746031746,0.247524752475248,3,2,2,"Balanced Performer","High","Medium",0.877266143102466,FALSE
"META","Meta Platforms Inc.",0.5095,NA,NA,2023-06-30,TRUE,0.3,0.1,40,NA,1.5285,0.1,NA,1,NA,3,NA,NA,"Emerging","Software & Services",1.4,NA,NA,"AI Laggard",0,0,0,"Tier 4: Monitor",0,0,0,10,10,10,"Underperformer","Low","Low",1,TRUE
"MSFT","Microsoft Corp.",281724,32488,0.115318538711647,2025-06-30,TRUE,0.3,0.1,52,0.230637077423294,845172,0.1,2,2,2,2,0.5,1,"Emerging","Software & Services",1.4,0.7,2,"AI Follower",0,0,0,"Tier 3: Watch List",0,0,0,7,6,7,"Underperformer","Low","Low",0,FALSE
"NVDA","NVIDIA Corp.",215938,18497,0.0856588465207606,2026-01-25,TRUE,0.3,0.1,88,0.171317693041521,647814,0.1,2,4,2,2,0.65,3,"Strong","Semiconductors & Semiconductor",1.5,0.975,3,"AI Adopter",0,0,0.25,"Tier 2: Strong Candidates",0,0,0.221918743598498,4,3,4,"Balanced Performer","Medium","Medium",0.301591083104436,FALSE
"TSLA","Tesla Inc.",94827,6411,0.0676073270271125,2025-12-31,TRUE,0.3,0.1,58,0.135214654054225,284481,0.1,1,2,1,1,0.325,1,"Emerging","Automobiles & Components",1.1,0.3575,1,"AI Laggard",0,0,0,"Tier 4: Monitor",0,0,0,9,9,9,"Underperformer","Low","Low",0.138505443742101,FALSE
"V","Visa Inc.",1963.276,56.012,0.0285298653882592,2006-12-31,TRUE,0.3,0.1,94,0.0570597307765184,5889.828,0.1,1,4,1,1,0.475,1,"Emerging","Financial Services",0.8,0.38,1,"AI Laggard",0,0,0,"Tier 4: Monitor",0,0,0,8,8,8,"Underperformer","Low","Low",0.577807873156363,FALSE
