"ticker","market_cap","volatility","total_return","rd_expense","patent_activity","rd_intensity","revenue_growth","industry","fund_weight","n_obs","first_date","last_date","rd_quartile","patent_quartile","growth_quartile","volatility_quartile","innovation_score","innovation_quartile","innovation_label","multiplier","ai_score","ai_quartile","ai_label","quality_innovators_weight","ai_concentrated_weight","balanced_growth_weight","strategic_profile","ai_exposure","innovation_exposure","predicted_ai_leader","anomaly_score","is_anomaly"
"005930 KS",71666147320,0.205712056705423,0.05268333,35021531,0,0.000488676066869113,0.1619531118,"Technology Hardware & Equipmen",0.0136986301369863,200,"2019-01-01","2019-10-07",3,1,4,4,0.7,3,"Strong",1.2,0.84,3,"AI Adopter",0,0,0.0457676561488834,"Balanced Performer","Medium","Medium","Leader",0.120075698612961,FALSE
"005930 KS",71666147320,0.205712056705423,0.05268333,35021531,0,0.000488676066869113,0.1619531118,"Technology Hardware & Equipmen",0.0136986301369863,200,"2019-01-01","2019-10-07",4,1,4,4,0.775,4,"Leader",1.2,0.93,4,"AI Leader",0.151032718274237,0.0738822173105756,0.0457676561488834,"AI Pioneer","High","High","Other",0.160145032558861,FALSE
"6501 JT",33647113273,0.268974358184044,0.32663842,259400,0,0.00000770942808363161,0.00561780198,"Capital Goods",0.0136986301369863,200,"2019-01-01","2019-10-07",3,1,1,1,0.4,1,"Emerging",0.9,0.36,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.266105872968371,FALSE
"8TRA GR",85325483612,0.254847390313987,-0.0528091401999999,2471,1684,0.0000000289596952211412,0.01282215395,"Capital Goods",0.0136986301369863,200,"2019-01-01","2019-10-07",1,4,1,2,0.525,1,"Emerging",0.9,0.4725,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.203696291121724,FALSE
"9984 JT",46085304332,0.257394923547645,0.00447302800000005,507590,549725,0.0000110141401333342,0.07211603641,"Telecommunication Services",0.0136986301369863,200,"2019-01-01","2019-10-07",3,4,3,2,0.775,4,"Leader",1,0.775,3,"AI Adopter",0,0,0.029431139262526,"Balanced Performer","Medium","High","Other",1,TRUE
"ADBE US",24795072745,0.25483079380185,-0.2370728011,3944,114,0.000000159063860814658,0.1079911381,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",2,3,3,2,0.625,2,"Developing",1.4,0.875,4,"AI Leader",0,0.0255617892308044,0,"AI Focused (Low Innovation)","High","Low","Leader",0.0847190092244115,FALSE
"ADBE US",24795072745,0.25483079380185,-0.2370728011,3944,114,0.000000159063860814658,0.1079911381,"Software & Services",0.0136986301369863,200,"2019-01-01","2019-10-07",2,3,3,2,0.625,2,"Developing",1.4,0.875,4,"AI Leader",0,0.0255617892308044,0,"AI Focused (Low Innovation)","High","Low","Leader",0.0847190092244115,FALSE
"AIEQ US",106000000000,0.285786362342957,0.233226389,3180000000,0,0.03,0.05,"Unknown",0.0136986301369863,200,"2019-01-01","2019-10-07",4,1,2,1,0.525,1,"Emerging",1,0.525,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.309845618126112,FALSE
"AIQ US",33429808881,0.27414682562256,0.388836182,1002894266.43,0,0.03,0.05,"Unknown",0.0136986301369863,200,"2019-01-01","2019-10-07",4,1,2,1,0.525,1,"Emerging",1,0.525,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.178017289187169,FALSE
"AMD US",48696379091,0.237753311714383,0.0539233400000001,6456,689,0.000000132576592356806,0.1369047619,"Semiconductors & Semiconductor",0.0136986301369863,200,"2019-01-01","2019-10-07",2,3,3,2,0.625,2,"Developing",1.5,0.9375,4,"AI Leader",0,0.0502021749009994,0,"AI Focused (Low Innovation)","High","Low","Leader",0.0618923180376628,FALSE
"AMD US",48696379091,0.237753311714383,0.0539233400000001,6456,689,0.000000132576592356806,0.1369047619,"Semiconductors & Semiconductor",0.0136986301369863,200,"2019-01-01","2019-10-07",2,4,3,2,0.7,3,"Strong",1.5,1.05,4,"AI Leader",0,0.0502021749009994,0.0310986318823726,"Balanced Performer","High","Medium","Leader",0.123978900896001,FALSE
"AMT US",39895037873,0.339250412189365,0.192172412,1196851136.19,0,0.03,0.0114859871,"Equity Real Estate Investment",0.0136986301369863,200,"2019-01-01","2019-10-07",4,1,1,1,0.475,1,"Emerging",1,0.475,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.367968005661806,FALSE
"AMZN US",5483063208,0.230993541576566,-0.00490558489999993,88544,0,0.0000161486374752731,0.1099089225,"Consumer Discretionary Distrib",0.0136986301369863,200,"2019-01-01","2019-10-07",3,1,3,3,0.6,2,"Developing",1,0.6,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0.145197677159611,FALSE
"AMZN US",5483063208,0.230993541576566,-0.00490558489999993,88544,0,0.0000161486374752731,0.1099089225,"Consumer Discretionary Distrib",0.0136986301369863,200,"2019-01-01","2019-10-07",3,1,3,3,0.6,2,"Developing",1,0.6,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0.145197677159611,FALSE
"ANET US",53961902964,0.249406865465607,0.286071596,996.717,0,0.0000000184707533510252,0.1950418486,"Technology Hardware & Equipmen",0.0136986301369863,200,"2019-01-01","2019-10-07",1,1,4,2,0.45,1,"Emerging",1.2,0.54,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.127098495489799,FALSE
"APD US",31168301674,0.245557890053627,0.0520301539999999,96.3,48.5,0.00000000308967748731499,-0.00523114556,"Materials",0.0136986301369863,200,"2019-01-01","2019-10-07",1,3,1,2,0.45,1,"Emerging",0.8,0.36,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.201795622240007,FALSE
"ASML US",75439199519,0.261040039966572,1.010870122,4303.7,54.9,0.0000000570485904866485,0.025560172,"Semiconductors & Semiconductor",0.0136986301369863,200,"2019-01-01","2019-10-07",2,3,2,2,0.575,2,"Developing",1.5,0.8625,3,"AI Adopter",0,0,0,"Underperformer","Medium","Low","Other",0.0499434739724704,FALSE
"ASML US",75439199519,0.261040039966572,1.010870122,4303.7,54.9,0.0000000570485904866485,0.025560172,"Semiconductors & Semiconductor",0.0136986301369863,200,"2019-01-01","2019-10-07",2,3,2,2,0.575,2,"Developing",1.5,0.8625,4,"AI Leader",0,0.0777719403236734,0,"AI Focused (Low Innovation)","High","Low","Other",0.0499434739724704,FALSE
"BABA US",65802451176,0.230855616023886,0.140607471,57151,0,0.000000868523876825497,0.05862821515,"Consumer Discretionary Distrib",0.0136986301369863,200,"2019-01-01","2019-10-07",3,1,2,3,0.55,1,"Emerging",1,0.55,1,"AI Laggard",0,0,0,"Underperformer","Low","Low","Other",0.00900587968147988,FALSE
"BABA US",65802451176,0.230855616023886,0.140607471,57151,0,0.000000868523876825497,0.05862821515,"Consumer Discretionary Distrib",0.0136986301369863,200,"2019-01-01","2019-10-07",3,1,3,3,0.6,2,"Developing",1,0.6,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0,FALSE
"BABA US",65802451176,0.230855616023886,0.140607471,57151,0,0.000000868523876825497,0.05862821515,"Consumer Discretionary Distrib",0.0136986301369863,200,"2019-01-01","2019-10-07",3,1,3,3,0.6,2,"Developing",1,0.6,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0,FALSE
"BIO US",98213132980,0.130726152374148,0.110773031,295.9,1.1,0.00000000301283536144048,-0.03921816729,"Pharmaceuticals, Biotechnology",0.0136986301369863,200,"2019-01-01","2019-10-07",1,3,1,4,0.55,1,"Emerging",1.2,0.66,2,"AI Follower",0,0,0,"Underperformer","Low","Low","Other",0.306401499933323,FALSE
