"ticker","ai_score","innovation_score","patent_activity","industry","strategic_profile"
"MSFT US",1.085,0.775,0,"Software & Services","AI Pioneer"
"MSFT US",1.015,0.725,0,"Software & Services","Balanced Performer"
"MU US",0.975,0.65,0,"Semiconductors & Semiconductor","Balanced Performer"
"005930 KS",0.93,0.775,0,"Technology Hardware & Equipmen","AI Pioneer"
"PCOR US",0.875,0.625,0,"Software & Services","Balanced Performer"
"005930 KS",0.84,0.7,0,"Technology Hardware & Equipmen","Balanced Performer"
"SPOT US",0.8125,0.625,0,"Media & Entertainment","Balanced Performer"
"SAP GR",0.77,0.55,0,"Software & Services","Underperformer"
"HDB US",0.7,0.7,0,"Banks","Balanced Performer"
"HDB US",0.7,0.7,0,"Banks","Balanced Performer"
"TSLA US",0.6875,0.625,0,"Automobiles & Components","Balanced Performer"
"TSLA US",0.6875,0.625,0,"Automobiles & Components","Balanced Performer"
