"section_number","file_name","section_title","start_line","end_line","line_count"
1,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__001_Section_001.txt","Section_001",8,103,96
2,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__002_Section_002.txt","Section_002",104,844,741
3,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__003_Section_003.txt","Section_003",853,1514,662
4,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__004_Section_004.txt","Section_004",1517,2080,564
5,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__005_Section_005.txt","Section_005",2083,2935,853
6,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__006_Section_006.txt","Section_006",2938,3818,881
7,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__007_Section_007.txt","Section_007",3828,4656,829
8,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__008_Section_008.txt","Section_008",4659,5134,476
9,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__009_Section_009.txt","Section_009",5137,5686,550
10,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__010_Section_010.txt","Section_010",5689,6551,863
11,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__011_Section_011.txt","Section_011",6561,7298,738
12,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__012_Section_012.txt","Section_012",7301,8309,1009
13,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__013_Section_013.txt","Section_013",8312,8976,665
14,"DAII_3.5_Master_Phase2_MachineLearning_CompleteFramework_Architecture_Code_1_23_2026__014_Section_014.txt","Section_014",8979,9599,621
